[01:20:10] Combined | Iter 1 OK | fold: 1 | AUC: 0.725 | TSS: 0.419
[01:20:34] Combined | Iter 2 OK | fold: 2 | AUC: 0.83 | TSS: 0.564
[01:21:00] Combined | Iter 3 OK | fold: 3 | AUC: 0.785 | TSS: 0.451
[01:21:24] Combined | Iter 4 OK | fold: 4 | AUC: 0.884 | TSS: 0.677
[01:21:55] Combined | Iter 5 OK | fold: 1 | AUC: 0.799 | TSS: 0.533
[01:22:29] Combined | Iter 6 OK | fold: 2 | AUC: 0.85 | TSS: 0.615
[01:22:58] Combined | Iter 7 OK | fold: 3 | AUC: 0.781 | TSS: 0.471
[01:23:30] Combined | Iter 8 OK | fold: 4 | AUC: 0.887 | TSS: 0.724
[01:23:59] Combined | Iter 9 OK | fold: 1 | AUC: 0.744 | TSS: 0.442
[01:24:30] Combined | Iter 10 OK | fold: 2 | AUC: 0.84 | TSS: 0.589
[01:24:55] Combined | Iter 11 OK | fold: 3 | AUC: 0.75 | TSS: 0.416
[01:25:23] Combined | Iter 12 OK | fold: 4 | AUC: 0.888 | TSS: 0.674
[01:25:49] Combined | Iter 13 OK | fold: 1 | AUC: 0.79 | TSS: 0.508
[01:26:20] Combined | Iter 14 OK | fold: 2 | AUC: 0.843 | TSS: 0.639
[01:26:47] Combined | Iter 15 OK | fold: 3 | AUC: 0.776 | TSS: 0.452
[01:27:16] Combined | Iter 16 OK | fold: 4 | AUC: 0.861 | TSS: 0.638
[01:27:46] Combined | Iter 17 OK | fold: 1 | AUC: 0.752 | TSS: 0.408
[01:28:14] Combined | Iter 18 OK | fold: 2 | AUC: 0.861 | TSS: 0.654
[01:28:39] Combined | Iter 19 OK | fold: 3 | AUC: 0.763 | TSS: 0.46
[01:29:03] Combined | Iter 20 OK | fold: 4 | AUC: 0.906 | TSS: 0.756
[01:29:34] Combined | Iter 21 OK | fold: 1 | AUC: 0.78 | TSS: 0.471
[01:30:04] Combined | Iter 22 OK | fold: 2 | AUC: 0.844 | TSS: 0.569
[01:30:30] Combined | Iter 23 OK | fold: 3 | AUC: 0.795 | TSS: 0.448
[01:31:01] Combined | Iter 24 OK | fold: 4 | AUC: 0.88 | TSS: 0.652
[01:31:31] Combined | Iter 25 OK | fold: 1 | AUC: 0.772 | TSS: 0.492
[01:31:58] Combined | Iter 26 OK | fold: 2 | AUC: 0.846 | TSS: 0.626
[01:32:28] Combined | Iter 27 OK | fold: 3 | AUC: 0.78 | TSS: 0.461
[01:32:57] Combined | Iter 28 OK | fold: 4 | AUC: 0.886 | TSS: 0.687
[01:33:22] Combined | Iter 29 OK | fold: 1 | AUC: 0.771 | TSS: 0.446
[01:33:44] Combined | Iter 30 OK | fold: 2 | AUC: 0.864 | TSS: 0.646
[01:34:11] Combined | Iter 31 OK | fold: 3 | AUC: 0.799 | TSS: 0.477
[01:34:39] Combined | Iter 32 OK | fold: 4 | AUC: 0.868 | TSS: 0.63
[01:35:04] Combined | Iter 33 OK | fold: 1 | AUC: 0.775 | TSS: 0.506
[01:35:31] Combined | Iter 34 OK | fold: 2 | AUC: 0.868 | TSS: 0.659
[01:35:56] Combined | Iter 35 OK | fold: 3 | AUC: 0.791 | TSS: 0.514
[01:36:20] Combined | Iter 36 OK | fold: 4 | AUC: 0.874 | TSS: 0.628
[01:36:44] Combined | Iter 37 OK | fold: 1 | AUC: 0.792 | TSS: 0.508
[01:37:10] Combined | Iter 38 OK | fold: 2 | AUC: 0.852 | TSS: 0.619
[01:37:38] Combined | Iter 39 OK | fold: 3 | AUC: 0.81 | TSS: 0.47
[01:38:06] Combined | Iter 40 OK | fold: 4 | AUC: 0.881 | TSS: 0.656
