[23:15:56] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.645 | TSS: 0.414
[23:16:19] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.802 | TSS: 0.481
[23:16:38] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.779 | TSS: 0.48
[23:17:02] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.864 | TSS: 0.632
[23:17:31] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.745 | TSS: 0.418
[23:17:55] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.851 | TSS: 0.544
[23:18:23] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.776 | TSS: 0.478
[23:18:48] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.851 | TSS: 0.587
[23:19:15] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.648 | TSS: 0.439
[23:19:39] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.791 | TSS: 0.495
[23:20:05] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.711 | TSS: 0.338
[23:20:32] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.875 | TSS: 0.624
[23:20:58] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.751 | TSS: 0.464
[23:21:25] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.843 | TSS: 0.59
[23:21:47] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.786 | TSS: 0.517
[23:22:13] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.853 | TSS: 0.603
[23:22:37] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.689 | TSS: 0.417
[23:22:57] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.869 | TSS: 0.57
[23:23:24] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.738 | TSS: 0.431
[23:23:46] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.906 | TSS: 0.717
[23:24:10] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.701 | TSS: 0.399
[23:24:32] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.812 | TSS: 0.53
[23:24:57] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.784 | TSS: 0.451
[23:25:21] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.862 | TSS: 0.627
[23:25:47] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.697 | TSS: 0.435
[23:26:14] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.843 | TSS: 0.529
[23:26:38] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.762 | TSS: 0.443
[23:27:04] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.868 | TSS: 0.644
[23:27:30] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.695 | TSS: 0.432
[23:27:54] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.869 | TSS: 0.589
[23:28:20] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.814 | TSS: 0.505
[23:28:45] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.844 | TSS: 0.577
[23:29:03] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.708 | TSS: 0.402
[23:29:23] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.858 | TSS: 0.567
[23:29:45] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.736 | TSS: 0.397
[23:30:13] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.871 | TSS: 0.628
[23:30:31] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.762 | TSS: 0.442
[23:31:00] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.856 | TSS: 0.596
[23:31:26] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.823 | TSS: 0.534
[23:31:47] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.87 | TSS: 0.597
