[00:26:57] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.818 | TSS: 0.542
[00:27:12] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.812 | TSS: 0.587
[00:27:28] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.743 | TSS: 0.392
[00:27:40] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.842 | TSS: 0.644
[00:27:54] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.811 | TSS: 0.532
[00:28:08] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.866 | TSS: 0.665
[00:28:28] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.745 | TSS: 0.419
[00:28:48] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.869 | TSS: 0.683
[00:29:10] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.806 | TSS: 0.518
[00:29:27] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.827 | TSS: 0.557
[00:29:42] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.757 | TSS: 0.447
[00:29:56] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.821 | TSS: 0.643
[00:30:06] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.818 | TSS: 0.518
[00:30:23] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.865 | TSS: 0.655
[00:30:37] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.738 | TSS: 0.413
[00:30:55] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.822 | TSS: 0.621
[00:31:09] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.824 | TSS: 0.56
[00:31:23] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.876 | TSS: 0.676
[00:31:37] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.749 | TSS: 0.412
[00:31:54] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.852 | TSS: 0.646
[00:32:10] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.822 | TSS: 0.57
[00:32:25] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.798 | TSS: 0.559
[00:32:39] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.742 | TSS: 0.402
[00:32:53] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.849 | TSS: 0.628
[00:33:05] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.816 | TSS: 0.545
[00:33:23] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.862 | TSS: 0.632
[00:33:33] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.738 | TSS: 0.382
[00:33:48] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.839 | TSS: 0.634
[00:34:03] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.81 | TSS: 0.539
[00:34:13] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.884 | TSS: 0.688
[00:34:26] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.748 | TSS: 0.426
[00:34:42] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.835 | TSS: 0.615
[00:34:58] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.8 | TSS: 0.525
[00:35:11] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.867 | TSS: 0.651
[00:35:23] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.744 | TSS: 0.393
[00:35:34] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.84 | TSS: 0.637
[00:35:46] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.824 | TSS: 0.556
[00:35:59] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.848 | TSS: 0.608
[00:36:13] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.739 | TSS: 0.387
[00:36:25] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.848 | TSS: 0.64
