[01:57:40] Combined | Iter 1 OK | fold: 1 | AUC: 0.91 | TSS: 0.746
[01:58:03] Combined | Iter 2 OK | fold: 2 | AUC: 0.999 | TSS: 0.998
[01:58:29] Combined | Iter 3 OK | fold: 3 | AUC: 0.997 | TSS: 0.987
[01:58:55] Combined | Iter 4 OK | fold: 4 | AUC: 0.962 | TSS: 0.878
[01:59:16] Combined | Iter 5 OK | fold: 1 | AUC: 0.904 | TSS: 0.743
[01:59:46] Combined | Iter 6 OK | fold: 2 | AUC: 0.999 | TSS: 0.998
[02:00:04] Combined | Iter 7 OK | fold: 3 | AUC: 0.988 | TSS: 0.94
[02:00:29] Combined | Iter 8 OK | fold: 4 | AUC: 0.975 | TSS: 0.907
[02:00:51] Combined | Iter 9 OK | fold: 1 | AUC: 0.889 | TSS: 0.732
[02:01:16] Combined | Iter 10 OK | fold: 2 | AUC: 0.998 | TSS: 0.993
[02:01:40] Combined | Iter 11 OK | fold: 3 | AUC: 0.997 | TSS: 0.993
[02:02:02] Combined | Iter 12 OK | fold: 4 | AUC: 0.976 | TSS: 0.903
[02:02:25] Combined | Iter 13 OK | fold: 1 | AUC: 0.902 | TSS: 0.744
[02:02:49] Combined | Iter 14 OK | fold: 2 | AUC: 0.999 | TSS: 0.998
[02:03:13] Combined | Iter 15 OK | fold: 3 | AUC: 0.983 | TSS: 0.919
[02:03:34] Combined | Iter 16 OK | fold: 4 | AUC: 0.971 | TSS: 0.914
[02:03:54] Combined | Iter 17 OK | fold: 1 | AUC: 0.885 | TSS: 0.726
[02:04:16] Combined | Iter 18 OK | fold: 2 | AUC: 0.997 | TSS: 0.993
[02:04:41] Combined | Iter 19 OK | fold: 3 | AUC: 0.915 | TSS: 0.839
[02:05:02] Combined | Iter 20 OK | fold: 4 | AUC: 0.977 | TSS: 0.905
[02:05:24] Combined | Iter 21 OK | fold: 1 | AUC: 0.898 | TSS: 0.743
[02:05:47] Combined | Iter 22 OK | fold: 2 | AUC: 0.994 | TSS: 0.987
[02:06:08] Combined | Iter 23 OK | fold: 3 | AUC: 0.989 | TSS: 0.955
[02:06:26] Combined | Iter 24 OK | fold: 4 | AUC: 0.98 | TSS: 0.903
[02:06:45] Combined | Iter 25 OK | fold: 1 | AUC: 0.893 | TSS: 0.735
[02:07:12] Combined | Iter 26 OK | fold: 2 | AUC: 0.993 | TSS: 0.986
[02:07:30] Combined | Iter 27 OK | fold: 3 | AUC: 0.995 | TSS: 0.984
[02:07:49] Combined | Iter 28 OK | fold: 4 | AUC: 0.977 | TSS: 0.907
[02:08:08] Combined | Iter 29 OK | fold: 1 | AUC: 0.891 | TSS: 0.75
[02:08:28] Combined | Iter 30 OK | fold: 2 | AUC: 0.998 | TSS: 0.996
[02:08:44] Combined | Iter 31 OK | fold: 3 | AUC: 0.998 | TSS: 0.993
[02:09:03] Combined | Iter 32 OK | fold: 4 | AUC: 0.975 | TSS: 0.91
[02:09:21] Combined | Iter 33 OK | fold: 1 | AUC: 0.905 | TSS: 0.74
[02:09:40] Combined | Iter 34 OK | fold: 2 | AUC: 0.999 | TSS: 0.996
[02:10:04] Combined | Iter 35 OK | fold: 3 | AUC: 0.987 | TSS: 0.941
[02:10:21] Combined | Iter 36 OK | fold: 4 | AUC: 0.968 | TSS: 0.903
[02:10:40] Combined | Iter 37 OK | fold: 1 | AUC: 0.9 | TSS: 0.739
[02:11:00] Combined | Iter 38 OK | fold: 2 | AUC: 0.985 | TSS: 0.976
[02:11:15] Combined | Iter 39 OK | fold: 3 | AUC: 0.997 | TSS: 0.986
[02:11:36] Combined | Iter 40 OK | fold: 4 | AUC: 0.978 | TSS: 0.9
