[23:51:24] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.896 | TSS: 0.745
[23:51:44] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.998 | TSS: 0.993
[23:52:04] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.992 | TSS: 0.963
[23:52:26] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.953 | TSS: 0.888
[23:52:48] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.885 | TSS: 0.748
[23:53:10] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.995 | TSS: 0.979
[23:53:33] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.967 | TSS: 0.865
[23:54:00] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.956 | TSS: 0.896
[23:54:23] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.879 | TSS: 0.746
[23:54:46] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.991 | TSS: 0.958
[23:55:09] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.991 | TSS: 0.968
[23:55:30] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.962 | TSS: 0.899
[23:55:47] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.883 | TSS: 0.748
[23:56:08] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.999 | TSS: 0.997
[23:56:32] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.979 | TSS: 0.902
[23:56:56] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.961 | TSS: 0.901
[23:57:17] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.868 | TSS: 0.728
[23:57:35] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.991 | TSS: 0.977
[23:57:58] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.894 | TSS: 0.83
[23:58:18] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.966 | TSS: 0.911
[23:58:37] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.887 | TSS: 0.755
[23:59:01] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.99 | TSS: 0.977
[23:59:23] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.975 | TSS: 0.894
[23:59:43] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.965 | TSS: 0.91
[00:00:06] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.874 | TSS: 0.743
[00:00:26] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.984 | TSS: 0.975
[00:00:45] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.994 | TSS: 0.977
[00:01:04] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.965 | TSS: 0.905
[00:01:26] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.87 | TSS: 0.74
[00:01:42] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.997 | TSS: 0.996
[00:02:00] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.995 | TSS: 0.985
[00:02:17] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.953 | TSS: 0.899
[00:02:33] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.884 | TSS: 0.744
[00:02:51] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.992 | TSS: 0.975
[00:03:07] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.979 | TSS: 0.916
[00:03:23] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.95 | TSS: 0.884
[00:03:39] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.883 | TSS: 0.74
[00:03:56] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.978 | TSS: 0.948
[00:04:12] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.992 | TSS: 0.967
[00:04:28] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.965 | TSS: 0.903
