[00:53:08] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.865 | TSS: 0.614
[00:53:22] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.988 | TSS: 0.961
[00:53:40] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.945 | TSS: 0.864
[00:53:54] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.917 | TSS: 0.782
[00:54:08] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.868 | TSS: 0.621
[00:54:20] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.983 | TSS: 0.946
[00:54:34] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.929 | TSS: 0.851
[00:54:45] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.939 | TSS: 0.815
[00:54:58] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.844 | TSS: 0.585
[00:55:15] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.988 | TSS: 0.969
[00:55:23] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.931 | TSS: 0.864
[00:55:38] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.935 | TSS: 0.813
[00:55:48] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.871 | TSS: 0.637
[00:56:02] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.988 | TSS: 0.96
[00:56:12] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.94 | TSS: 0.851
[00:56:26] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.928 | TSS: 0.796
[00:56:39] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.865 | TSS: 0.609
[00:56:52] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.987 | TSS: 0.97
[00:57:05] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.935 | TSS: 0.844
[00:57:14] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.928 | TSS: 0.794
[00:57:27] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.835 | TSS: 0.582
[00:57:42] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.985 | TSS: 0.966
[00:57:52] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.949 | TSS: 0.855
[00:58:06] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.94 | TSS: 0.831
[00:58:17] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.862 | TSS: 0.609
[00:58:32] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.973 | TSS: 0.94
[00:58:42] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.925 | TSS: 0.847
[00:58:56] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.944 | TSS: 0.831
[00:59:11] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.882 | TSS: 0.669
[00:59:24] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.985 | TSS: 0.956
[00:59:39] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.929 | TSS: 0.853
[00:59:50] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.939 | TSS: 0.854
[01:00:04] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.867 | TSS: 0.627
[01:00:17] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.985 | TSS: 0.958
[01:00:30] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.947 | TSS: 0.85
[01:00:40] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.932 | TSS: 0.805
[01:00:45] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.863 | TSS: 0.61
[01:00:56] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.982 | TSS: 0.964
[01:01:07] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.947 | TSS: 0.84
[01:01:15] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.939 | TSS: 0.809
