[00:04:02] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.793 | TSS: 0.489
[00:04:26] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.796 | TSS: 0.506
[00:04:44] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.792 | TSS: 0.54
[00:05:06] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.916 | TSS: 0.73
[00:05:24] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.783 | TSS: 0.513
[00:05:40] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.776 | TSS: 0.457
[00:05:57] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.795 | TSS: 0.504
[00:06:17] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.918 | TSS: 0.743
[00:06:32] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.794 | TSS: 0.535
[00:06:52] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.775 | TSS: 0.451
[00:07:08] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.784 | TSS: 0.497
[00:07:25] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.907 | TSS: 0.71
[00:07:44] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.782 | TSS: 0.475
[00:08:01] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.755 | TSS: 0.43
[00:08:20] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.82 | TSS: 0.538
[00:08:35] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.909 | TSS: 0.728
[00:08:51] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.782 | TSS: 0.481
[00:09:06] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.773 | TSS: 0.46
[00:09:19] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.842 | TSS: 0.611
[00:09:34] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.921 | TSS: 0.753
[00:09:48] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.787 | TSS: 0.463
[00:10:00] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.802 | TSS: 0.498
[00:10:14] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.833 | TSS: 0.579
[00:10:26] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.921 | TSS: 0.712
[00:10:41] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.788 | TSS: 0.473
[00:10:52] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.755 | TSS: 0.441
[00:11:06] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.85 | TSS: 0.59
[00:11:20] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.923 | TSS: 0.752
[00:11:36] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.789 | TSS: 0.478
[00:11:50] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.764 | TSS: 0.449
[00:12:06] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.832 | TSS: 0.587
[00:12:20] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.91 | TSS: 0.735
[00:12:37] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.793 | TSS: 0.487
[00:12:47] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.737 | TSS: 0.392
[00:13:00] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.808 | TSS: 0.575
[00:13:17] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.912 | TSS: 0.722
[00:13:29] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.788 | TSS: 0.485
[00:13:44] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.778 | TSS: 0.449
[00:13:56] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.84 | TSS: 0.606
[00:14:11] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.911 | TSS: 0.732
