[01:17:29] Combined | Iter 1 OK | fold: 2 | AUC: 0.555 | TSS: 0.252
[01:17:50] Combined | Iter 2 OK | fold: 3 | AUC: 0.586 | TSS: 0.338
[01:18:10] Combined | Iter 3 OK | fold: 2 | AUC: 0.518 | TSS: 0.244
[01:18:40] Combined | Iter 4 OK | fold: 3 | AUC: 0.513 | TSS: 0.198
[01:19:07] Combined | Iter 5 OK | fold: 2 | AUC: 0.563 | TSS: 0.238
[01:19:29] Combined | Iter 6 OK | fold: 3 | AUC: 0.653 | TSS: 0.299
[01:19:50] Combined | Iter 7 OK | fold: 2 | AUC: 0.559 | TSS: 0.22
[01:20:13] Combined | Iter 8 OK | fold: 3 | AUC: 0.452 | TSS: 0.18
[01:20:35] Combined | Iter 9 OK | fold: 2 | AUC: 0.541 | TSS: 0.291
[01:21:03] Combined | Iter 10 OK | fold: 3 | AUC: 0.47 | TSS: 0.223
[01:21:26] Combined | Iter 11 OK | fold: 2 | AUC: 0.52 | TSS: 0.199
[01:21:51] Combined | Iter 12 OK | fold: 3 | AUC: 0.567 | TSS: 0.301
[01:22:15] Combined | Iter 13 OK | fold: 2 | AUC: 0.466 | TSS: 0.183
[01:22:42] Combined | Iter 14 OK | fold: 3 | AUC: 0.37 | TSS: 0.112
[01:23:05] Combined | Iter 15 OK | fold: 2 | AUC: 0.485 | TSS: 0.264
[01:23:28] Combined | Iter 16 OK | fold: 3 | AUC: 0.462 | TSS: 0.231
[01:23:50] Combined | Iter 17 OK | fold: 2 | AUC: 0.477 | TSS: 0.264
[01:24:15] Combined | Iter 18 OK | fold: 3 | AUC: 0.608 | TSS: 0.332
[01:24:38] Combined | Iter 19 OK | fold: 2 | AUC: 0.541 | TSS: 0.272
[01:25:06] Combined | Iter 20 OK | fold: 3 | AUC: 0.52 | TSS: 0.19
[01:25:27] Combined | Iter 21 OK | fold: 2 | AUC: 0.562 | TSS: 0.269
[01:25:49] Combined | Iter 22 OK | fold: 3 | AUC: 0.593 | TSS: 0.349
[01:26:10] Combined | Iter 23 OK | fold: 2 | AUC: 0.512 | TSS: 0.231
[01:26:34] Combined | Iter 24 OK | fold: 3 | AUC: 0.595 | TSS: 0.301
[01:26:59] Combined | Iter 25 OK | fold: 2 | AUC: 0.549 | TSS: 0.219
[01:27:20] Combined | Iter 26 OK | fold: 3 | AUC: 0.423 | TSS: 0.227
[01:27:42] Combined | Iter 27 OK | fold: 2 | AUC: 0.56 | TSS: 0.205
[01:28:07] Combined | Iter 28 OK | fold: 3 | AUC: 0.572 | TSS: 0.287
[01:28:29] Combined | Iter 29 OK | fold: 2 | AUC: 0.519 | TSS: 0.243
[01:28:57] Combined | Iter 30 OK | fold: 3 | AUC: 0.486 | TSS: 0.267
[01:29:23] Combined | Iter 31 OK | fold: 2 | AUC: 0.545 | TSS: 0.218
[01:29:51] Combined | Iter 32 OK | fold: 3 | AUC: 0.51 | TSS: 0.289
[01:30:13] Combined | Iter 33 OK | fold: 2 | AUC: 0.502 | TSS: 0.254
[01:30:35] Combined | Iter 34 OK | fold: 3 | AUC: 0.517 | TSS: 0.305
[01:30:55] Combined | Iter 35 OK | fold: 2 | AUC: 0.546 | TSS: 0.188
[01:31:19] Combined | Iter 36 OK | fold: 3 | AUC: 0.591 | TSS: 0.247
[01:31:46] Combined | Iter 37 OK | fold: 2 | AUC: 0.569 | TSS: 0.334
[01:32:07] Combined | Iter 38 OK | fold: 3 | AUC: 0.466 | TSS: 0.192
[01:32:28] Combined | Iter 39 OK | fold: 2 | AUC: 0.646 | TSS: 0.451
[01:32:49] Combined | Iter 40 OK | fold: 3 | AUC: 0.586 | TSS: 0.289
