[23:13:40] EnvOnly | Iter 1 OK | fold: 2 | AUC: 0.49 | TSS: 0.258
[23:14:02] EnvOnly | Iter 2 OK | fold: 3 | AUC: 0.554 | TSS: 0.253
[23:14:26] EnvOnly | Iter 3 OK | fold: 2 | AUC: 0.488 | TSS: 0.206
[23:14:48] EnvOnly | Iter 4 OK | fold: 3 | AUC: 0.518 | TSS: 0.35
[23:15:06] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.507 | TSS: 0.243
[23:15:33] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.655 | TSS: 0.322
[23:15:55] EnvOnly | Iter 7 OK | fold: 2 | AUC: 0.514 | TSS: 0.27
[23:16:17] EnvOnly | Iter 8 OK | fold: 3 | AUC: 0.409 | TSS: 0.129
[23:16:38] EnvOnly | Iter 9 OK | fold: 2 | AUC: 0.487 | TSS: 0.278
[23:17:04] EnvOnly | Iter 10 OK | fold: 3 | AUC: 0.453 | TSS: 0.158
[23:17:30] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.503 | TSS: 0.2
[23:17:59] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.569 | TSS: 0.27
[23:18:21] EnvOnly | Iter 13 OK | fold: 2 | AUC: 0.449 | TSS: 0.203
[23:18:42] EnvOnly | Iter 14 OK | fold: 3 | AUC: 0.399 | TSS: 0.061
[23:19:02] EnvOnly | Iter 15 OK | fold: 2 | AUC: 0.454 | TSS: 0.266
[23:19:24] EnvOnly | Iter 16 OK | fold: 3 | AUC: 0.444 | TSS: 0.233
[23:19:41] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.441 | TSS: 0.263
[23:20:03] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.587 | TSS: 0.294
[23:20:28] EnvOnly | Iter 19 OK | fold: 2 | AUC: 0.497 | TSS: 0.262
[23:20:53] EnvOnly | Iter 20 OK | fold: 3 | AUC: 0.586 | TSS: 0.297
[23:21:17] EnvOnly | Iter 21 OK | fold: 2 | AUC: 0.515 | TSS: 0.256
[23:21:38] EnvOnly | Iter 22 OK | fold: 3 | AUC: 0.569 | TSS: 0.248
[23:21:58] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.456 | TSS: 0.24
[23:22:20] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.59 | TSS: 0.27
[23:22:40] EnvOnly | Iter 25 OK | fold: 2 | AUC: 0.502 | TSS: 0.21
[23:23:03] EnvOnly | Iter 26 OK | fold: 3 | AUC: 0.402 | TSS: 0.069
[23:23:25] EnvOnly | Iter 27 OK | fold: 2 | AUC: 0.529 | TSS: 0.223
[23:23:50] EnvOnly | Iter 28 OK | fold: 3 | AUC: 0.583 | TSS: 0.321
[23:24:08] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.496 | TSS: 0.285
[23:24:32] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.494 | TSS: 0.238
[23:24:53] EnvOnly | Iter 31 OK | fold: 2 | AUC: 0.489 | TSS: 0.174
[23:25:16] EnvOnly | Iter 32 OK | fold: 3 | AUC: 0.545 | TSS: 0.262
[23:25:37] EnvOnly | Iter 33 OK | fold: 2 | AUC: 0.438 | TSS: 0.259
[23:25:58] EnvOnly | Iter 34 OK | fold: 3 | AUC: 0.49 | TSS: 0.232
[23:26:19] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.488 | TSS: 0.173
[23:26:40] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.605 | TSS: 0.29
[23:27:00] EnvOnly | Iter 37 OK | fold: 2 | AUC: 0.528 | TSS: 0.279
[23:27:24] EnvOnly | Iter 38 OK | fold: 3 | AUC: 0.466 | TSS: 0.192
[23:27:49] EnvOnly | Iter 39 OK | fold: 2 | AUC: 0.649 | TSS: 0.362
[23:28:10] EnvOnly | Iter 40 OK | fold: 3 | AUC: 0.59 | TSS: 0.279
