[00:23:53] HostOnly | Iter 1 OK | fold: 2 | AUC: 0.545 | TSS: 0.176
[00:24:09] HostOnly | Iter 2 OK | fold: 3 | AUC: 0.564 | TSS: 0.178
[00:24:18] HostOnly | Iter 3 OK | fold: 2 | AUC: 0.6 | TSS: 0.273
[00:24:31] HostOnly | Iter 4 OK | fold: 3 | AUC: 0.493 | TSS: 0.137
[00:24:41] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.575 | TSS: 0.211
[00:24:56] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.732 | TSS: 0.406
[00:25:09] HostOnly | Iter 7 OK | fold: 2 | AUC: 0.575 | TSS: 0.214
[00:25:20] HostOnly | Iter 8 OK | fold: 3 | AUC: 0.635 | TSS: 0.261
[00:25:32] HostOnly | Iter 9 OK | fold: 2 | AUC: 0.572 | TSS: 0.194
[00:25:41] HostOnly | Iter 10 OK | fold: 3 | AUC: 0.683 | TSS: 0.31
[00:25:54] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.575 | TSS: 0.213
[00:26:07] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.7 | TSS: 0.337
[00:26:19] HostOnly | Iter 13 OK | fold: 2 | AUC: 0.578 | TSS: 0.237
[00:26:38] HostOnly | Iter 14 OK | fold: 3 | AUC: 0.493 | TSS: 0.137
[00:26:51] HostOnly | Iter 15 OK | fold: 2 | AUC: 0.575 | TSS: 0.214
[00:27:06] HostOnly | Iter 16 OK | fold: 3 | AUC: 0.5 | TSS: 0
[00:27:18] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.576 | TSS: 0.213
[00:27:35] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.653 | TSS: 0.275
[00:27:44] HostOnly | Iter 19 OK | fold: 2 | AUC: 0.575 | TSS: 0.213
[00:28:00] HostOnly | Iter 20 OK | fold: 3 | AUC: 0.493 | TSS: 0.134
[00:28:12] HostOnly | Iter 21 OK | fold: 2 | AUC: 0.562 | TSS: 0.199
[00:28:26] HostOnly | Iter 22 OK | fold: 3 | AUC: 0.671 | TSS: 0.297
[00:28:37] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.576 | TSS: 0.213
[00:28:51] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.5 | TSS: 0
[00:29:04] HostOnly | Iter 25 OK | fold: 2 | AUC: 0.579 | TSS: 0.236
[00:29:15] HostOnly | Iter 26 OK | fold: 3 | AUC: 0.493 | TSS: 0.137
[00:29:29] HostOnly | Iter 27 OK | fold: 2 | AUC: 0.579 | TSS: 0.237
[00:29:38] HostOnly | Iter 28 OK | fold: 3 | AUC: 0.688 | TSS: 0.315
[00:29:52] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.574 | TSS: 0.211
[00:30:04] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.714 | TSS: 0.365
[00:30:17] HostOnly | Iter 31 OK | fold: 2 | AUC: 0.578 | TSS: 0.241
[00:30:31] HostOnly | Iter 32 OK | fold: 3 | AUC: 0.562 | TSS: 0.172
[00:30:45] HostOnly | Iter 33 OK | fold: 2 | AUC: 0.575 | TSS: 0.21
[00:31:01] HostOnly | Iter 34 OK | fold: 3 | AUC: 0.714 | TSS: 0.364
[00:31:13] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.576 | TSS: 0.216
[00:31:29] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.728 | TSS: 0.395
[00:31:40] HostOnly | Iter 37 OK | fold: 2 | AUC: 0.574 | TSS: 0.212
[00:31:52] HostOnly | Iter 38 OK | fold: 3 | AUC: 0.5 | TSS: 0
[00:32:05] HostOnly | Iter 39 OK | fold: 2 | AUC: 0.576 | TSS: 0.215
[00:32:18] HostOnly | Iter 40 OK | fold: 3 | AUC: 0.493 | TSS: 0.137
