[02:05:55] Combined | Iter 1 OK | fold: 1 | AUC: 0.981 | TSS: 0.955
[02:06:15] Combined | Iter 2 OK | fold: 2 | AUC: 0.975 | TSS: 0.935
[02:06:33] Combined | Iter 3 OK | fold: 3 | AUC: 0.954 | TSS: 0.898
[02:06:51] Combined | Iter 4 OK | fold: 1 | AUC: 0.992 | TSS: 0.978
[02:07:09] Combined | Iter 5 OK | fold: 2 | AUC: 0.962 | TSS: 0.905
[02:07:27] Combined | Iter 6 OK | fold: 3 | AUC: 0.975 | TSS: 0.915
[02:07:43] Combined | Iter 7 OK | fold: 1 | AUC: 0.987 | TSS: 0.977
[02:08:01] Combined | Iter 8 OK | fold: 2 | AUC: 0.984 | TSS: 0.928
[02:08:18] Combined | Iter 9 OK | fold: 3 | AUC: 0.975 | TSS: 0.901
[02:08:37] Combined | Iter 10 OK | fold: 1 | AUC: 0.99 | TSS: 0.97
[02:08:54] Combined | Iter 11 OK | fold: 2 | AUC: 0.973 | TSS: 0.912
[02:09:08] Combined | Iter 12 OK | fold: 3 | AUC: 0.977 | TSS: 0.936
[02:09:29] Combined | Iter 13 OK | fold: 1 | AUC: 0.985 | TSS: 0.974
[02:09:48] Combined | Iter 14 OK | fold: 2 | AUC: 0.955 | TSS: 0.854
[02:10:07] Combined | Iter 15 OK | fold: 3 | AUC: 0.973 | TSS: 0.912
[02:10:26] Combined | Iter 16 OK | fold: 1 | AUC: 0.985 | TSS: 0.961
[02:10:45] Combined | Iter 17 OK | fold: 2 | AUC: 0.991 | TSS: 0.975
[02:11:04] Combined | Iter 18 OK | fold: 3 | AUC: 0.96 | TSS: 0.883
[02:11:17] Combined | Iter 19 OK | fold: 1 | AUC: 0.992 | TSS: 0.974
[02:11:36] Combined | Iter 20 OK | fold: 2 | AUC: 0.967 | TSS: 0.921
[02:11:49] Combined | Iter 21 OK | fold: 3 | AUC: 0.97 | TSS: 0.927
[02:12:02] Combined | Iter 22 OK | fold: 1 | AUC: 0.991 | TSS: 0.974
[02:12:11] Combined | Iter 23 OK | fold: 2 | AUC: 0.971 | TSS: 0.912
[02:12:24] Combined | Iter 24 OK | fold: 3 | AUC: 0.974 | TSS: 0.902
[02:12:35] Combined | Iter 25 OK | fold: 1 | AUC: 0.987 | TSS: 0.971
[02:12:48] Combined | Iter 26 OK | fold: 2 | AUC: 0.984 | TSS: 0.931
[02:13:00] Combined | Iter 27 OK | fold: 3 | AUC: 0.969 | TSS: 0.917
[02:13:10] Combined | Iter 28 OK | fold: 1 | AUC: 0.988 | TSS: 0.97
[02:13:25] Combined | Iter 29 OK | fold: 2 | AUC: 0.958 | TSS: 0.891
[02:13:37] Combined | Iter 30 OK | fold: 3 | AUC: 0.973 | TSS: 0.919
[02:13:53] Combined | Iter 31 OK | fold: 1 | AUC: 0.994 | TSS: 0.986
[02:14:05] Combined | Iter 32 OK | fold: 2 | AUC: 0.99 | TSS: 0.963
[02:14:18] Combined | Iter 33 OK | fold: 3 | AUC: 0.976 | TSS: 0.917
[02:14:19] Combined | Iter 34 ERROR: non-conformable arguments
[02:14:34] Combined | Iter 35 OK | fold: 2 | AUC: 0.965 | TSS: 0.912
[02:14:46] Combined | Iter 36 OK | fold: 3 | AUC: 0.971 | TSS: 0.924
[02:14:47] Combined | Iter 37 ERROR: non-conformable arguments
[02:15:03] Combined | Iter 38 OK | fold: 2 | AUC: 0.971 | TSS: 0.903
[02:15:13] Combined | Iter 39 OK | fold: 3 | AUC: 0.974 | TSS: 0.936
[02:15:25] Combined | Iter 40 OK | fold: 1 | AUC: 0.993 | TSS: 0.987
