[00:03:57] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.991 | TSS: 0.979
[00:04:12] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.977 | TSS: 0.935
[00:04:28] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.919 | TSS: 0.782
[00:04:44] EnvOnly | Iter 4 OK | fold: 1 | AUC: 0.995 | TSS: 0.991
[00:05:00] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.968 | TSS: 0.905
[00:05:13] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.988 | TSS: 0.955
[00:05:23] EnvOnly | Iter 7 OK | fold: 1 | AUC: 0.994 | TSS: 0.987
[00:05:37] EnvOnly | Iter 8 OK | fold: 2 | AUC: 0.987 | TSS: 0.956
[00:05:50] EnvOnly | Iter 9 OK | fold: 3 | AUC: 0.986 | TSS: 0.952
[00:06:03] EnvOnly | Iter 10 OK | fold: 1 | AUC: 0.995 | TSS: 0.986
[00:06:17] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.975 | TSS: 0.924
[00:06:31] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.958 | TSS: 0.891
[00:06:43] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.992 | TSS: 0.986
[00:06:55] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.934 | TSS: 0.729
[00:07:10] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.982 | TSS: 0.949
[00:07:22] EnvOnly | Iter 16 OK | fold: 1 | AUC: 0.991 | TSS: 0.981
[00:07:36] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.983 | TSS: 0.958
[00:07:50] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.958 | TSS: 0.896
[00:08:02] EnvOnly | Iter 19 OK | fold: 1 | AUC: 0.994 | TSS: 0.985
[00:08:17] EnvOnly | Iter 20 OK | fold: 2 | AUC: 0.976 | TSS: 0.944
[00:08:29] EnvOnly | Iter 21 OK | fold: 3 | AUC: 0.989 | TSS: 0.963
[00:08:43] EnvOnly | Iter 22 OK | fold: 1 | AUC: 0.993 | TSS: 0.985
[00:08:53] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.979 | TSS: 0.949
[00:09:06] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.983 | TSS: 0.949
[00:09:18] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.994 | TSS: 0.99
[00:09:27] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.985 | TSS: 0.951
[00:09:39] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.981 | TSS: 0.916
[00:09:50] EnvOnly | Iter 28 OK | fold: 1 | AUC: 0.99 | TSS: 0.978
[00:10:03] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.98 | TSS: 0.938
[00:10:17] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.988 | TSS: 0.949
[00:10:27] EnvOnly | Iter 31 OK | fold: 1 | AUC: 0.997 | TSS: 0.993
[00:10:40] EnvOnly | Iter 32 OK | fold: 2 | AUC: 0.985 | TSS: 0.954
[00:10:50] EnvOnly | Iter 33 OK | fold: 3 | AUC: 0.987 | TSS: 0.956
[00:11:03] EnvOnly | Iter 34 OK | fold: 1 | AUC: 0.996 | TSS: 0.988
[00:11:16] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.978 | TSS: 0.94
[00:11:25] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.978 | TSS: 0.934
[00:11:38] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.991 | TSS: 0.975
[00:11:48] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.977 | TSS: 0.914
[00:12:03] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.989 | TSS: 0.971
[00:12:16] EnvOnly | Iter 40 OK | fold: 1 | AUC: 0.997 | TSS: 0.994
