[00:55:28] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.979 | TSS: 0.94
[00:55:40] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.985 | TSS: 0.944
[00:55:51] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.974 | TSS: 0.895
[00:56:02] HostOnly | Iter 4 OK | fold: 1 | AUC: 0.988 | TSS: 0.97
[00:56:13] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.976 | TSS: 0.94
[00:56:23] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.973 | TSS: 0.911
[00:56:37] HostOnly | Iter 7 OK | fold: 1 | AUC: 0.986 | TSS: 0.959
[00:56:47] HostOnly | Iter 8 OK | fold: 2 | AUC: 0.991 | TSS: 0.954
[00:57:00] HostOnly | Iter 9 OK | fold: 3 | AUC: 0.976 | TSS: 0.927
[00:57:13] HostOnly | Iter 10 OK | fold: 1 | AUC: 0.988 | TSS: 0.97
[00:57:23] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.978 | TSS: 0.924
[00:57:33] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.973 | TSS: 0.913
[00:57:43] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.972 | TSS: 0.936
[00:57:52] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.975 | TSS: 0.914
[00:58:03] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.975 | TSS: 0.928
[00:58:15] HostOnly | Iter 16 OK | fold: 1 | AUC: 0.987 | TSS: 0.969
[00:58:30] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.993 | TSS: 0.986
[00:58:40] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.959 | TSS: 0.874
[00:58:51] HostOnly | Iter 19 OK | fold: 1 | AUC: 0.985 | TSS: 0.951
[00:59:03] HostOnly | Iter 20 OK | fold: 2 | AUC: 0.983 | TSS: 0.94
[00:59:12] HostOnly | Iter 21 OK | fold: 3 | AUC: 0.971 | TSS: 0.923
[00:59:21] HostOnly | Iter 22 OK | fold: 1 | AUC: 0.985 | TSS: 0.963
[00:59:29] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.979 | TSS: 0.938
[00:59:40] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.975 | TSS: 0.928
[00:59:55] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.98 | TSS: 0.933
[01:00:06] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.987 | TSS: 0.94
[01:00:18] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.971 | TSS: 0.919
[01:00:30] HostOnly | Iter 28 OK | fold: 1 | AUC: 0.985 | TSS: 0.967
[01:00:42] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.986 | TSS: 0.931
[01:00:50] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.967 | TSS: 0.911
[01:01:01] HostOnly | Iter 31 OK | fold: 1 | AUC: 0.99 | TSS: 0.979
[01:01:09] HostOnly | Iter 32 OK | fold: 2 | AUC: 0.992 | TSS: 0.979
[01:01:19] HostOnly | Iter 33 OK | fold: 3 | AUC: 0.969 | TSS: 0.899
[01:01:27] HostOnly | Iter 34 OK | fold: 1 | AUC: 0.99 | TSS: 0.975
[01:01:36] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.981 | TSS: 0.928
[01:01:43] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.972 | TSS: 0.927
[01:01:52] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.979 | TSS: 0.939
[01:02:01] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.981 | TSS: 0.926
[01:02:09] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.969 | TSS: 0.927
[01:02:19] HostOnly | Iter 40 OK | fold: 1 | AUC: 0.984 | TSS: 0.95
