species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_akallopisos,EnvOnly,1,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7950052687038989,0.5397260273972604,0.41376259,0.7397260273972602,0.8,0.7698630136986302,54,65,260,19,0.1437412350883823,0.45332347549111063,0.631816517039177,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_akallopisos,EnvOnly,2,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8017187172500524,0.5720737028638938,0.28153306,0.9230769230769232,0.6489967797869706,0.7860368514319469,12,1417,2620,1,0.08462726640938704,0.31184918830793434,0.08116586916445623,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_akallopisos,EnvOnly,3,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.8784480825297152,0.7317784256559767,0.54974444,1,0.7317784256559767,0.8658892128279884,13,92,251,0,0.22365621819018616,0.6379538809211552,0.4718325906031894,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_akallopisos,EnvOnly,4,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5330152777777778,0.16308888888888884,0.0165278,0.7638888888888888,0.3992,0.5815444444444444,55,3004,1996,17,0.03162117259856726,0.13492677689258803,-0.4852307395701187,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_akallopisos,EnvOnly,5,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.7422339304531085,0.4385669125395153,0.52468084,0.5616438356164384,0.8769230769230769,0.7192834562697576,41,40,285,32,0.16034854211503607,0.49616452928314886,0.27340725373163605,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_akallopisos,EnvOnly,6,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8109601570092033,0.5898896743583393,0.36461077,0.7692307692307693,0.82065890512757,0.7949448371791696,10,724,3313,3,0.08674708912171011,0.31125608610303107,0.0141158033329489,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_akallopisos,EnvOnly,7,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.7584660237721462,0.4723032069970845,0.57354815,1,0.47230320699708456,0.7361516034985423,13,181,162,0,0.31829203564200925,0.8472423020165855,0.5946282154004727,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_akallopisos,EnvOnly,8,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6199319444444444,0.22931111111111124,0.03559892999999999,0.7361111111111112,0.4932,0.6146555555555556,53,2534,2466,19,0.03302619057615601,0.13611849200579296,-0.48302783856093184,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_akallopisos,EnvOnly,9,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.8256480505795575,0.5948155953635406,0.46471493,0.7671232876712328,0.8276923076923077,0.7974077976817703,56,56,269,17,0.13971557497197623,0.44215648831366067,0.8518328445454776,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_akallopisos,EnvOnly,10,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8435433776033231,0.6732531773403707,0.35006682,0.8461538461538461,0.8270993311865247,0.8366265886701854,11,698,3339,2,0.06997899130396495,0.25885436985738625,-0.077636918331219,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_akallopisos,EnvOnly,11,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.7995066158331464,0.629737609329446,0.62602131,1,0.6297376093294461,0.814868804664723,13,127,216,0,0.3126614517503078,0.831645053937227,0.4753787567887474,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_akallopisos,EnvOnly,12,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5330958333333333,0.13786666666666658,0.04662521,0.6666666666666666,0.4712,0.5689333333333333,48,2644,2356,24,0.04118703073143321,0.1669721006129003,-0.5249956724573309,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_akallopisos,EnvOnly,13,lqh,1.5,block_quadrant,4,1,171,10000,98,9675,73,325,0.799473129610116,0.5369441517386724,0.43534037,0.7123287671232876,0.8246153846153846,0.7684720758693362,52,57,268,21,0.13961330718232043,0.4460162856835254,0.9013940282281236,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_akallopisos,EnvOnly,14,lqh,1.5,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8043863493454774,0.6136887635525237,0.35279181,0.9230769230769232,0.6906118404756006,0.8068443817762618,12,1249,2788,1,0.1010614128465399,0.34680925281414143,0.10763300041373544,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_akallopisos,EnvOnly,15,lqh,1.5,block_quadrant,4,3,171,10000,158,9657,13,343,0.8082529715182777,0.5429468490692981,0.60446527,0.8461538461538461,0.6967930029154519,0.7714734245346491,11,104,239,2,0.26878626020568874,0.7325175230034396,0.4699786315045521,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_akallopisos,EnvOnly,16,lqh,1.5,block_quadrant,4,4,171,10000,99,4705,72,5000,0.5675708333333334,0.20517777777777768,0.03494957,0.7777777777777778,0.4274,0.6025888888888888,56,2863,2137,16,0.03389504563308131,0.1431897614680478,-0.5382524552409819,PC1;PC2;PC3;PC4;rugosity,16
