species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_akallopisos,HostOnly,1,lqh,2,block_quadrant,4,1,171,10000,98,9675,73,325,0.6291464699683877,0.3129188619599579,0.32507551,0.6575342465753424,0.6553846153846153,0.6564594309799789,48,112,213,25,0.1812634695682508,0.5659258356538892,0.5256030057012354,rugosity;biotic_suitability,1
Amphiprion_akallopisos,HostOnly,2,lqh,2,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8312722699643681,0.5820963777367048,0.37655378,0.8461538461538461,0.7359425315828586,0.7910481888683524,11,1066,2971,2,0.104410861318729,0.3541296916379945,0.39834379061293373,rugosity;biotic_suitability,2
Amphiprion_akallopisos,HostOnly,3,lqh,2,block_quadrant,4,3,171,10000,158,9657,13,343,0.304552590266876,0.22448979591836735,0.36379943,1,0.22448979591836735,0.6122448979591837,13,266,77,0,0.5182866351537072,1.4875283752667807,0.0797202412414033,rugosity;biotic_suitability,3
Amphiprion_akallopisos,HostOnly,4,lqh,2,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6528569444444444,0.27317777777777774,0.03530006999999999,0.9027777777777778,0.3704,0.6365888888888889,65,3148,1852,7,0.06027276322750238,0.21409469070994352,-0.4091026488900044,rugosity;biotic_suitability,4
Amphiprion_akallopisos,HostOnly,5,lqh,2,block_quadrant,4,1,171,10000,98,9675,73,325,0.5279030558482614,0.12868282402528974,0.38769565,0.4794520547945205,0.6492307692307693,0.5643414120126449,35,114,211,38,0.20585689954114111,0.6512298382998047,0.15349891478539351,rugosity;biotic_suitability,5
Amphiprion_akallopisos,HostOnly,6,lqh,2,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8773460871553515,0.6913359120443587,0.4476307,0.8461538461538461,0.8451820658905127,0.8456679560221794,11,625,3412,2,0.10424906111110724,0.351196985664276,0.4058293458222811,rugosity;biotic_suitability,6
Amphiprion_akallopisos,HostOnly,7,lqh,2,block_quadrant,4,3,171,10000,158,9657,13,343,0.33639829558196904,0.24489795918367352,0.39404887,1,0.24489795918367344,0.6224489795918368,13,259,84,0,0.5009835814579459,1.4442045115593791,0.1650639103828836,rugosity;biotic_suitability,7
Amphiprion_akallopisos,HostOnly,8,lqh,2,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6532125,0.2705777777777778,0.04363556,0.9027777777777778,0.3678,0.6352888888888889,65,3161,1839,7,0.05974652464299651,0.21407224558854965,-0.454135607499069,rugosity;biotic_suitability,8
Amphiprion_akallopisos,HostOnly,9,lqh,2,block_quadrant,4,1,171,10000,98,9675,73,325,0.6219388830347734,0.234604847207587,0.36548372,0.6438356164383562,0.5907692307692308,0.6173024236037935,47,133,192,26,0.19146550108873892,0.5684995789254716,0.4088860058678664,rugosity;biotic_suitability,9
Amphiprion_akallopisos,HostOnly,10,lqh,2,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8608639317086183,0.6425372992130485,0.34883558000000003,0.8461538461538461,0.7963834530592023,0.8212686496065242,11,822,3215,2,0.0823534960977224,0.30784677977248964,0.02117370499942336,rugosity;biotic_suitability,10
Amphiprion_akallopisos,HostOnly,11,lqh,2,block_quadrant,4,3,171,10000,158,9657,13,343,0.3314644539134335,0.26239067055393583,0.43459029,1,0.26239067055393583,0.6311953352769679,13,253,90,0,0.5188977785797132,1.466730606434089,0.23996865666013145,rugosity;biotic_suitability,11
Amphiprion_akallopisos,HostOnly,12,lqh,2,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6768680555555555,0.29384444444444435,0.07482783,0.8194444444444444,0.4744,0.6469222222222222,59,2628,2372,13,0.07172266550832065,0.24437778391015555,-0.34201880382603156,rugosity;biotic_suitability,12
Amphiprion_akallopisos,HostOnly,13,lqh,2,block_quadrant,4,1,171,10000,98,9675,73,325,0.6118651211801897,0.290495258166491,0.31824797,0.7397260273972602,0.5507692307692308,0.6452476290832455,54,146,179,19,0.19298966662190736,0.6122440107455521,0.4303153788324491,rugosity;biotic_suitability,13
Amphiprion_akallopisos,HostOnly,14,lqh,2,block_quadrant,4,2,171,10000,158,5963,13,4037,0.871572569120253,0.6782073512318743,0.48668543,0.8461538461538461,0.8320535050780282,0.8391036756159371,11,678,3359,2,0.12275930096371011,0.39438246175308617,0.4162138176440707,rugosity;biotic_suitability,14
Amphiprion_akallopisos,HostOnly,15,lqh,2,block_quadrant,4,3,171,10000,158,9657,13,343,0.30500112132765195,0.2157434402332361,0.40144237,1,0.21574344023323616,0.607871720116618,13,269,74,0,0.5237038265093744,1.4850117569771484,0.19663205775296208,rugosity;biotic_suitability,15
Amphiprion_akallopisos,HostOnly,16,lqh,2,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6691625,0.28564444444444437,0.065756,0.8194444444444444,0.4662,0.6428222222222222,59,2669,2331,13,0.05905588724914296,0.21290882832370928,-0.44880180002844233,rugosity;biotic_suitability,16
Amphiprion_akallopisos,HostOnly,17,lqh,2,block_quadrant,4,1,171,10000,98,9675,73,325,0.55159114857745,0.17761854583772396,0.37635193,0.5068493150684932,0.6707692307692308,0.588809272918862,37,107,218,36,0.19735327826298768,0.6758871779071435,0.441099264984325,rugosity;biotic_suitability,17
Amphiprion_akallopisos,HostOnly,18,lqh,2,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8372744421790743,0.5877936777119337,0.40766972,0.8461538461538461,0.7416398315580877,0.7938968388559668,11,1043,2994,2,0.1334764347166549,0.4309766708944636,0.4481767558211278,rugosity;biotic_suitability,18
