species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_akindynos,Combined,1,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9555555555555556,0.8962962962962964,0.38387277,1,0.8962962962962963,0.9481481481481482,5,70,605,0,0.04332109302817311,0.1398690189245679,0.34765970189956646,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_akindynos,Combined,2,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9628006522625356,0.8518956379942928,0.01012504,0.990909090909091,0.8609865470852018,0.9259478189971464,109,62,384,1,0.10390530556954888,0.34617396221612573,0.6514035610330967,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_akindynos,Combined,3,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8675927272727273,0.5636363636363637,0.16126288,0.6636363636363637,0.9,0.7818181818181819,73,500,4500,37,0.02407581703680956,0.10123754978301168,0.9056036744228204,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_akindynos,Combined,4,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9543703703703704,0.8622222222222222,0.26967410000000003,1,0.8622222222222222,0.9311111111111112,5,93,582,0,0.04067679752911131,0.13640690131288344,0.36272854346796873,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_akindynos,Combined,5,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9636975132490828,0.8675907052588667,0.01366002,0.990909090909091,0.8766816143497758,0.9337953526294334,109,55,391,1,0.0958526181921818,0.3162902587197847,0.6828210396618115,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_akindynos,Combined,6,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8160345454545455,0.5696909090909092,0.31130620000000003,0.6090909090909091,0.9606,0.7848454545454546,67,197,4803,43,0.02273564738675404,0.10719323569810311,0.21886948287833435,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_akindynos,Combined,7,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.954074074074074,0.8725925925925926,0.287221,1,0.8725925925925926,0.9362962962962964,5,86,589,0,0.04413851564399747,0.14344225362654722,0.4355846074648024,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_akindynos,Combined,8,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.966041581736649,0.882918874847126,0.01699925,0.9636363636363636,0.9192825112107624,0.941459437423563,106,36,410,4,0.10157767743234382,0.3408284618842486,0.730601223963557,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_akindynos,Combined,9,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.9098218181818182,0.6775636363636361,0.03185106,0.8363636363636363,0.8412,0.8387818181818181,92,794,4206,18,0.01707527951041772,0.0724573868756729,0.6104521198013056,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_akindynos,Combined,10,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9505185185185184,0.8577777777777778,0.34506695,1,0.8577777777777778,0.9288888888888888,5,96,579,0,0.05352842847361837,0.16985714189922146,0.2457601904324524,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
Amphiprion_akindynos,Combined,11,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9623929881777415,0.864859355890746,0.01116294,0.9545454545454546,0.9103139013452914,0.932429677945373,105,40,406,5,0.10646389532990996,0.39688308946845213,0.6956685668639174,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11
Amphiprion_akindynos,Combined,12,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.87312,0.6165272727272728,0.03203720999999999,0.7727272727272727,0.8438,0.8082636363636364,85,781,4219,25,0.01937879916522317,0.08710757918675649,0.418462549119803,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12
Amphiprion_akindynos,Combined,13,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9484444444444444,0.8651851851851853,0.3583903,1,0.8651851851851852,0.9325925925925926,5,91,584,0,0.05211161508588138,0.16891898651853374,0.3974999356630601,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13
Amphiprion_akindynos,Combined,14,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.95625764370159,0.815776600081533,0.01067742,0.9727272727272728,0.8430493273542601,0.9078883000407664,107,70,376,3,0.1006143613886875,0.34243691534122295,0.5753213585691157,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14
Amphiprion_akindynos,Combined,15,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8709254545454546,0.6166181818181817,0.06193601999999999,0.7818181818181819,0.8348,0.8083090909090909,86,826,4174,24,0.02142220681418249,0.09262069601441109,0.9040993493822508,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,15
Amphiprion_akindynos,Combined,16,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9487407407407408,0.8607407407407406,0.32989746000000003,1,0.8607407407407407,0.9303703703703704,5,94,581,0,0.04815792358933434,0.1545492659557408,0.40738799376413126,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,16
Amphiprion_akindynos,Combined,17,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9613126783530372,0.831593966571545,0.01479004,0.9818181818181818,0.8497757847533632,0.9157969832857724,108,67,379,2,0.0956177818153916,0.30753669730579536,0.33629059305904535,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,17
Amphiprion_akindynos,Combined,18,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8296727272727272,0.5575636363636365,0.14362160000000002,0.6363636363636364,0.9212,0.7787818181818182,70,394,4606,40,0.02584830470814972,0.11388220994164436,-0.16364105955600175,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,18
Amphiprion_akindynos,Combined,19,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9434074074074074,0.8592592592592592,0.29611255000000003,1,0.8592592592592593,0.9296296296296296,5,95,580,0,0.04240640516170253,0.14268124266646418,0.1717437590868736,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,19
Amphiprion_akindynos,Combined,20,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9613534447615164,0.8608642478597637,0.01882533,0.990909090909091,0.8699551569506726,0.9304321239298818,109,58,388,1,0.10010967502551822,0.319788252348808,0.5714285714285714,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,20
Amphiprion_akindynos,Combined,21,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8785854545454546,0.6299454545454544,0.03212722,0.8545454545454545,0.7754,0.8149727272727272,94,1123,3877,16,0.02236663193374833,0.09230179002362895,0.6631578947368421,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,21
Amphiprion_akindynos,Combined,22,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9522962962962964,0.9066666666666668,0.47051638,1,0.9066666666666666,0.9533333333333334,5,63,612,0,0.05408118522390227,0.16928862990587593,0.4205273617746611,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,22
Amphiprion_akindynos,Combined,23,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.96110884631064,0.8517733387688544,0.01003617,0.9818181818181818,0.8699551569506726,0.9258866693844272,108,58,388,2,0.09821335435018524,0.33496465591745,0.5919448657459025,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,23
Amphiprion_akindynos,Combined,24,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8934018181818182,0.7043454545454546,0.04515918999999999,0.8545454545454545,0.8498,0.8521727272727273,94,751,4249,16,0.02016550629278262,0.08367061223071798,0.3687446548482318,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,24
Amphiprion_akindynos,Combined,25,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9472592592592592,0.8681481481481481,0.27833907,1,0.8681481481481481,0.934074074074074,5,89,586,0,0.04023238469718428,0.1323076879252767,0.30222043135212223,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,25
Amphiprion_akindynos,Combined,26,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9554626987362412,0.8106807990216063,0.01193673,0.9272727272727272,0.8834080717488789,0.9053403995108033,102,52,394,8,0.1058752426002275,0.38841633975778184,0.3537658665108649,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,26
Amphiprion_akindynos,Combined,27,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8648309090909091,0.6347454545454545,0.04968611,0.7545454545454545,0.8802,0.8173727272727273,83,599,4401,27,0.01950221351514002,0.08888027616792644,0.36243970141170273,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,27
Amphiprion_akindynos,Combined,28,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.930074074074074,0.8059259259259259,0.18512398,1,0.8059259259259259,0.902962962962963,5,131,544,0,0.04211369888182911,0.13840748811300524,0.33421636381620473,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,28
Amphiprion_akindynos,Combined,29,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9501630656339176,0.8241337138198124,0.0353504,0.9272727272727272,0.8968609865470852,0.9120668569099062,102,46,400,8,0.09651347829856156,0.3372281848615781,0.5547045985902692,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,29
Amphiprion_akindynos,Combined,30,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8916163636363637,0.6750363636363637,0.03779236,0.8636363636363636,0.8114,0.8375181818181818,95,943,4057,15,0.02000879814886503,0.08408131386801503,0.6676691729323309,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,30
Amphiprion_akindynos,Combined,31,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9514074074074074,0.8622222222222222,0.27262936,1,0.8622222222222222,0.9311111111111112,5,93,582,0,0.04203185036242032,0.14004406818803103,0.5072589935398115,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,31
Amphiprion_akindynos,Combined,32,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9553403995108032,0.8178964533224624,0.00323999,0.9636363636363636,0.8542600896860987,0.9089482266612312,106,65,381,4,0.11342389945012736,0.4385801491713486,0.4919865241627221,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,32
Amphiprion_akindynos,Combined,33,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.9036981818181818,0.670290909090909,0.07613560999999999,0.8090909090909091,0.8612,0.8351454545454545,89,694,4306,21,0.02201251339039359,0.08730307502964743,0.34223394672955415,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,33
Amphiprion_akindynos,Combined,34,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9454814814814816,0.8592592592592592,0.34604799,1,0.8592592592592593,0.9296296296296296,5,95,580,0,0.05236249806710445,0.16588860823634607,0.36997803695775816,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,34
Amphiprion_akindynos,Combined,35,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9650835711373827,0.8675907052588667,0.01196489,0.990909090909091,0.8766816143497758,0.9337953526294334,109,55,391,1,0.09527624218390145,0.3181917881372109,0.7578994022883043,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,35
Amphiprion_akindynos,Combined,36,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8867854545454545,0.6272727272727274,0.04001118999999999,0.8272727272727273,0.8,0.8136363636363637,91,1000,4000,19,0.02195412982322929,0.09030767495726744,0.6192627787665631,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,36
Amphiprion_akindynos,Combined,37,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9511111111111112,0.8607407407407406,0.3371851,1,0.8607407407407407,0.9303703703703704,5,94,581,0,0.0508331199398948,0.1643442655876548,0.4044215763338099,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,37
