species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_akindynos,EnvOnly,1,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9351111111111112,0.8429629629629629,0.33578725000000004,1,0.8429629629629629,0.9214814814814816,5,106,569,0,0.05388165909683115,0.16977447009430552,0.3140511243943761,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_akindynos,EnvOnly,2,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.952649816551162,0.7927435792906645,0.03090336,0.9272727272727272,0.8654708520179372,0.8963717896453323,102,60,386,8,0.08500299160432072,0.28511723351933455,0.5152065488893103,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_akindynos,EnvOnly,3,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8565072727272727,0.6483818181818182,0.24910539,0.7181818181818181,0.9302,0.8241909090909091,79,349,4651,31,0.02398728899433804,0.1082194577121788,0.6511278195488722,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_akindynos,EnvOnly,4,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.933037037037037,0.8059259259259259,0.22043559,1,0.8059259259259259,0.902962962962963,5,131,544,0,0.05317483159043246,0.17168764252939855,0.3506187210704336,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_akindynos,EnvOnly,5,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9426824296779454,0.8101916021198532,0.08610948,0.8909090909090909,0.9192825112107624,0.9050958010599266,98,36,410,12,0.0785638627746833,0.2648042380200205,0.5583511246122229,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_akindynos,EnvOnly,6,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.7995018181818182,0.6010545454545455,0.28460061000000003,0.6454545454545455,0.9556,0.8005272727272728,71,222,4778,39,0.0214722308268357,0.11153046070964684,0.2389474098241162,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_akindynos,EnvOnly,7,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9202962962962964,0.7955555555555556,0.23175551,1,0.7955555555555556,0.8977777777777778,5,138,537,0,0.05986471887148589,0.18676262870877963,0.23338730819719047,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_akindynos,EnvOnly,8,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9620464737056664,0.8690990623726051,0.06933478,0.9363636363636364,0.9327354260089686,0.9345495311863026,103,30,416,7,0.08190218264919438,0.2578032611148397,0.683906271681109,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_akindynos,EnvOnly,9,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8829818181818182,0.6551090909090909,0.04889179,0.7909090909090909,0.8642,0.8275545454545454,87,679,4321,23,0.01752083417525166,0.07738282135168388,0.653250773993808,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_akindynos,EnvOnly,10,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9383703703703704,0.8207407407407408,0.30726438,1,0.8207407407407408,0.9103703703703704,5,121,554,0,0.06418677159471048,0.1991950867768904,0.5122014096354853,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_akindynos,EnvOnly,11,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9591112922951488,0.8487973909498572,0.05100809,0.9272727272727272,0.92152466367713,0.9243986954749286,102,35,411,8,0.0897634992026659,0.2891507992356422,0.5750338347732887,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_akindynos,EnvOnly,12,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8519818181818182,0.6141272727272726,0.17149112000000002,0.6727272727272727,0.9414,0.8070636363636363,74,293,4707,36,0.01917779965941659,0.09163155202925828,0.4080737558267355,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_akindynos,EnvOnly,13,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9188148148148148,0.8192592592592591,0.32777784,1,0.8192592592592592,0.9096296296296296,5,122,553,0,0.070479129324941,0.22192057042224625,0.30652250154930544,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_akindynos,EnvOnly,14,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9173257236037504,0.7694659600489198,0.10430288,0.8636363636363636,0.905829596412556,0.8847329800244599,95,42,404,15,0.08015539648680997,0.28019631511113996,0.7583374703080135,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_akindynos,EnvOnly,15,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8488127272727273,0.6505090909090909,0.09305053,0.7909090909090909,0.8596,0.8252545454545455,87,702,4298,23,0.02198728364055971,0.09831568796094356,0.9323308270676692,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_akindynos,EnvOnly,16,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9297777777777778,0.8207407407407408,0.29870019000000003,1,0.8207407407407408,0.9103703703703704,5,121,554,0,0.0638456775805209,0.1988106589779041,0.29469180850705157,PC1;PC2;PC3;PC4;rugosity,16
Amphiprion_akindynos,EnvOnly,17,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9406033428454952,0.7921320831634733,0.07616266,0.8818181818181818,0.9103139013452914,0.8960660415817366,97,40,406,13,0.08046683748993944,0.27338061625716276,0.705449955047748,PC1;PC2;PC3;PC4;rugosity,17
Amphiprion_akindynos,EnvOnly,18,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8198709090909091,0.5864545454545453,0.20047586,0.6454545454545455,0.941,0.7932272727272727,71,295,4705,39,0.02236159292189086,0.1039164184545666,0.15817247625964584,PC1;PC2;PC3;PC4;rugosity,18
Amphiprion_akindynos,EnvOnly,19,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.922074074074074,0.8133333333333335,0.25142195,1,0.8133333333333334,0.9066666666666668,5,126,549,0,0.05251597364466817,0.17107938378481552,0.13874176385915932,PC1;PC2;PC3;PC4;rugosity,19
Amphiprion_akindynos,EnvOnly,20,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9575417855686914,0.8307378719934775,0.08324466999999999,0.9181818181818182,0.9125560538116592,0.9153689359967389,101,39,407,9,0.08013606838833665,0.2550572634088111,0.6094781254763567,PC1;PC2;PC3;PC4;rugosity,20
Amphiprion_akindynos,EnvOnly,21,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.85428,0.6307818181818181,0.16862284000000002,0.7181818181818181,0.9126,0.815390909090909,79,437,4563,31,0.02237965986241463,0.1026700323862276,0.21084361260221476,PC1;PC2;PC3;PC4;rugosity,21
Amphiprion_akindynos,EnvOnly,22,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.928,0.8414814814814815,0.40647337,1,0.8414814814814815,0.9207407407407407,5,107,568,0,0.06722499460118687,0.20391470333872896,0.36782700185916656,PC1;PC2;PC3;PC4;rugosity,22
Amphiprion_akindynos,EnvOnly,23,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9459437423562984,0.7874031797798615,0.09123674,0.8636363636363636,0.9237668161434978,0.8937015898899308,95,34,412,15,0.08009813168945924,0.2669419131992796,0.7532377578833344,PC1;PC2;PC3;PC4;rugosity,23
Amphiprion_akindynos,EnvOnly,24,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8770472727272727,0.7184909090909091,0.11639322,0.8090909090909091,0.9094,0.8592454545454545,89,453,4547,21,0.02014013384130962,0.08941213607718027,0.19277130295059633,PC1;PC2;PC3;PC4;rugosity,24
Amphiprion_akindynos,EnvOnly,25,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9158518518518518,0.797037037037037,0.20899511,1,0.797037037037037,0.8985185185185185,5,137,538,0,0.05001978743017434,0.16049451624668534,0.26482782330872573,PC1;PC2;PC3;PC4;rugosity,25
Amphiprion_akindynos,EnvOnly,26,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9168772931104768,0.7517733387688543,0.03444924,0.8818181818181818,0.8699551569506726,0.8758866693844272,97,58,388,13,0.09092423082836584,0.33763319770104205,0.7007599662435975,PC1;PC2;PC3;PC4;rugosity,26
Amphiprion_akindynos,EnvOnly,27,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8520509090909091,0.649509090909091,0.04136873,0.7909090909090909,0.8586,0.8247545454545455,87,707,4293,23,0.01969330036092386,0.09182850343423958,0.10725300628700836,PC1;PC2;PC3;PC4;rugosity,27
Amphiprion_akindynos,EnvOnly,28,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9001481481481481,0.7451851851851852,0.16249109,1,0.7451851851851852,0.8725925925925926,5,172,503,0,0.05249540819706081,0.16786222120547317,0.06130450030986109,PC1;PC2;PC3;PC4;rugosity,28
Amphiprion_akindynos,EnvOnly,29,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9238075825519771,0.7922543823889114,0.08110619,0.8909090909090909,0.9013452914798208,0.8961271911944557,98,44,402,12,0.08219356077535757,0.29123247408083874,0.7475233834410858,PC1;PC2;PC3;PC4;rugosity,29
Amphiprion_akindynos,EnvOnly,30,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8676218181818182,0.6741454545454544,0.14280053,0.7545454545454545,0.9196,0.8370727272727272,83,402,4598,27,0.02000158774182612,0.0877250068921118,0.9804511278195488,PC1;PC2;PC3;PC4;rugosity,30
Amphiprion_akindynos,EnvOnly,31,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9354074074074074,0.8311111111111111,0.243561,1,0.8311111111111111,0.9155555555555556,5,114,561,0,0.04965660297308165,0.16062127292270795,0.2495200714366276,PC1;PC2;PC3;PC4;rugosity,31
Amphiprion_akindynos,EnvOnly,32,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9142682429677944,0.7240114145943743,0.05578692,0.8181818181818182,0.905829596412556,0.8620057072971872,90,42,404,20,0.09651453541665587,0.3490545179674481,0.45218963543415175,PC1;PC2;PC3;PC4;rugosity,32
Amphiprion_akindynos,EnvOnly,33,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8840145454545455,0.6598363636363636,0.12859143,0.7636363636363637,0.8962,0.8299181818181818,84,519,4481,26,0.02110795969549347,0.09162836022376857,0.8538833643428251,PC1;PC2;PC3;PC4;rugosity,33
Amphiprion_akindynos,EnvOnly,34,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.928,0.8355555555555556,0.31391132,1,0.8355555555555556,0.9177777777777778,5,111,564,0,0.0614514157480516,0.191304315611885,0.29576732605634737,PC1;PC2;PC3;PC4;rugosity,34
Amphiprion_akindynos,EnvOnly,35,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.948063595597228,0.8304932735426009,0.06931161999999999,0.9,0.9304932735426008,0.9152466367713004,99,31,415,11,0.08090947080661656,0.2705303272267855,0.7166456072442844,PC1;PC2;PC3;PC4;rugosity,35
Amphiprion_akindynos,EnvOnly,36,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8511,0.6368727272727273,0.14572139,0.7272727272727273,0.9096,0.8184363636363636,80,452,4548,30,0.02146408990923035,0.09754481847853488,0.668421052631579,PC1;PC2;PC3;PC4;rugosity,36
Amphiprion_akindynos,EnvOnly,37,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9297777777777778,0.8133333333333335,0.32586379,1,0.8133333333333334,0.9066666666666668,5,126,549,0,0.0676129757147667,0.20803647146022955,0.29361629095775577,PC1;PC2;PC3;PC4;rugosity,37
Amphiprion_akindynos,EnvOnly,38,h,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9173461068079902,0.7878923766816144,0.0649228,0.9,0.8878923766816144,0.8939461883408072,99,50,396,11,0.08500502076010115,0.31126792867776837,0.7973490376736221,PC1;PC2;PC3;PC4;rugosity,38
Amphiprion_akindynos,EnvOnly,39,h,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8412036363636364,0.6248909090909089,0.16966546000000002,0.7090909090909091,0.9158,0.8124454545454545,78,421,4579,32,0.021638974431085,0.10248994125084104,0.6615067079463364,PC1;PC2;PC3;PC4;rugosity,39
Amphiprion_akindynos,EnvOnly,40,h,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9188148148148148,0.8103703703703704,0.22158288,1,0.8103703703703704,0.9051851851851852,5,128,547,0,0.05450740744050261,0.17171402586204249,0.2659887629188138,PC1;PC2;PC3;PC4;rugosity,40
