species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_akindynos,HostOnly,1,lqh,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9407407407407408,0.8888888888888888,0.47654356,1,0.8888888888888888,0.9444444444444444,5,75,600,0,0.06040863818682925,0.19165624433358852,0.4087985251504456,rugosity;biotic_suitability,1
Amphiprion_akindynos,HostOnly,2,lqh,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.945902975947819,0.784508764777823,0.0311753,0.9818181818181818,0.8026905829596412,0.8922543823889115,108,88,358,2,0.08775919423859821,0.28230750162999146,0.8735158624066353,rugosity;biotic_suitability,2
Amphiprion_akindynos,HostOnly,3,lqh,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.7936618181818181,0.538981818181818,0.51939625,0.6181818181818182,0.9208,0.769490909090909,68,396,4604,42,0.06347531250297626,0.2123655804224232,0.2430692261614145,rugosity;biotic_suitability,3
Amphiprion_akindynos,HostOnly,4,lqh,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9425185185185184,0.8903703703703703,0.4717281,1,0.8903703703703704,0.9451851851851852,5,74,601,0,0.06048658003052995,0.194581966222588,0.4345090899155067,rugosity;biotic_suitability,4
Amphiprion_akindynos,HostOnly,5,lqh,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9462902568283734,0.7977170811251528,0.03861999999999999,0.9636363636363636,0.8340807174887892,0.8988585405625764,106,74,372,4,0.09046439827254904,0.29275256768592484,0.8756440928365745,rugosity;biotic_suitability,5
Amphiprion_akindynos,HostOnly,6,lqh,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.7307436363636364,0.5432727272727274,0.43942616,0.6272727272727273,0.916,0.7716363636363637,69,420,4580,41,0.05353646541226598,0.1956083503793885,0.5177848773038393,rugosity;biotic_suitability,6
Amphiprion_akindynos,HostOnly,7,lqh,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9508148148148148,0.9125925925925926,0.52340759,1,0.9125925925925926,0.9562962962962964,5,59,616,0,0.06117649326339745,0.1959660821646403,0.5715396337729715,rugosity;biotic_suitability,7
Amphiprion_akindynos,HostOnly,8,lqh,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9457602935181412,0.7800244598450876,0.015322,0.9818181818181818,0.7982062780269058,0.8900122299225438,108,90,356,2,0.09168604105246674,0.3068738412265717,0.9440495609857218,rugosity;biotic_suitability,8
Amphiprion_akindynos,HostOnly,9,lqh,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.8214236363636364,0.5498727272727273,0.47633722,0.6272727272727273,0.9226,0.7749363636363636,69,387,4613,41,0.05670433716588637,0.18924090412286132,0.4894079836721163,rugosity;biotic_suitability,9
Amphiprion_akindynos,HostOnly,10,lqh,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9324444444444444,0.8933333333333333,0.53590153,1,0.8933333333333333,0.9466666666666668,5,72,603,0,0.07109400015579735,0.22182819540950624,0.4366601250140983,rugosity;biotic_suitability,10
Amphiprion_akindynos,HostOnly,11,lqh,0.5,block_quadrant,4,2,230,10000,120,9554,110,446,0.9398491642886262,0.7371789645332245,0.00565113,0.9636363636363636,0.773542600896861,0.8685894822666123,106,101,345,4,0.0905744426920835,0.35061460075177264,0.9060014771421396,rugosity;biotic_suitability,11
Amphiprion_akindynos,HostOnly,12,lqh,0.5,block_quadrant,4,3,230,10000,120,1273,110,5000,0.7992236363636364,0.5566545454545455,0.4822858,0.6454545454545455,0.9112,0.7783272727272728,71,444,4556,39,0.06064051577201632,0.2004413760722437,0.3000086091860032,rugosity;biotic_suitability,12
Amphiprion_akindynos,HostOnly,13,lqh,0.5,block_quadrant,4,1,230,10000,225,9325,5,675,0.9487407407407408,0.8977777777777778,0.4990735,1,0.8977777777777778,0.9488888888888888,5,69,606,0,0.06984670969727491,0.2217609202955843,0.5022666955211426,rugosity;biotic_suitability,13
