species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_allardi,Combined,1,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.7780687054880603,0.5972716799329703,0.07996534999999999,0.8181818181818182,0.779089861751152,0.7986358399664851,18,767,2705,4,0.01843330804582924,0.09803902929400651,-0.04457465302476975,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_allardi,Combined,2,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.950304761904762,0.8067619047619048,0.14364829,0.9047619047619048,0.902,0.9033809523809524,19,490,4510,2,0.02218447099001903,0.07728452602242619,0.6663735308320557,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_allardi,Combined,3,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.7910949937159615,0.5725020946795141,0.02820536,0.8181818181818182,0.7543202764976958,0.786251047339757,18,853,2619,4,0.01021847885846065,0.06052671392126019,-0.10619775925091944,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_allardi,Combined,4,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.954904761904762,0.8273619047619047,0.11950049,0.9047619047619048,0.9226,0.9136809523809524,19,387,4613,2,0.013300284936091,0.05035426438574922,0.33673550019560683,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_allardi,Combined,5,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.7676607666527021,0.5949675324675325,0.06386243,0.8181818181818182,0.7767857142857143,0.7974837662337663,18,775,2697,4,0.01825252063197423,0.09233992966698767,-0.3181313019036251,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_allardi,Combined,6,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.9841809523809524,0.8775619047619048,0.39067952,0.9047619047619048,0.9728,0.9387809523809524,19,136,4864,2,0.01474013162514894,0.05479202716790601,0.6912756089870739,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_allardi,Combined,7,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.7967899036447423,0.6136887306242147,0.05723314999999999,0.8181818181818182,0.7955069124423964,0.8068443653121073,18,710,2762,4,0.014843249992898,0.07634216788618767,-0.14831960548997994,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_allardi,Combined,8,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.9864380952380952,0.9202,0.18807122,1,0.9202,0.9601,21,399,4601,0,0.02012222835867689,0.07615247301070449,0.5165616846566439,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_allardi,Combined,9,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.8053257226644324,0.6131650607457058,0.08656297,0.7727272727272727,0.8404377880184332,0.8065825303728529,17,554,2918,5,0.01596774131677133,0.08365266063817745,-0.19049312395095175,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_allardi,Combined,10,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.9841142857142856,0.9045999999999998,0.10077508,1,0.9046,0.9523,21,477,4523,0,0.01756324224545501,0.05982411650735409,0.5991617346409417,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
Amphiprion_allardi,Combined,11,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.8154718265605362,0.634818810222036,0.13567205000000002,0.7272727272727273,0.9075460829493088,0.817409405111018,16,321,3151,6,0.01434387381347679,0.07384662365921112,0.12272496513188862,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11
Amphiprion_allardi,Combined,12,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.9950666666666668,0.977,0.49326833,1,0.977,0.9885,21,115,4885,0,0.01626475174775491,0.05969170847571601,0.7004967403975896,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12
Amphiprion_allardi,Combined,13,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.7785923753665689,0.5782624633431086,0.05048885999999999,0.8181818181818182,0.7600806451612904,0.7891312316715543,18,833,2639,4,0.01398405460911875,0.07929770432732876,-0.1763148957075716,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13
Amphiprion_allardi,Combined,14,lq,0.5,block_quadrant,4,4,86,10000,65,3688,21,5000,0.9864190476190476,0.91,0.18000288,1,0.91,0.955,21,450,4550,0,0.02401682670469716,0.08547111817355514,0.6715878783887478,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14
Amphiprion_allardi,Combined,15,lq,0.5,block_quadrant,4,2,86,10000,64,6528,22,3472,0.7836719731881022,0.5855676581483034,0.05459099999999999,0.7272727272727273,0.8582949308755761,0.7927838290741517,16,492,2980,6,0.01113500984483657,0.06446100691886299,-0.3909877680763305,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,15
