species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_chrysogaster,Combined,1,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.782875,0.6499999999999999,0.11065754,0.75,0.9,0.825,6,500,4500,2,0.01906583196179151,0.06585631932492506,0.2754007488741159,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_chrysogaster,Combined,2,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.81765,0.679,0.19048114,0.75,0.929,0.8395,6,355,4645,2,0.01735839950610434,0.06158840701469766,0.4270030508217045,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_chrysogaster,Combined,3,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8582,0.6632,0.11945507,0.75,0.9132,0.8316,6,434,4566,2,0.0158592519008713,0.05526144128319491,0.2346752304102756,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_chrysogaster,Combined,4,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.819525,0.6978,0.35339929000000003,0.75,0.9478,0.8489,6,261,4739,2,0.02408409081070338,0.08172138457369507,0.2826147666652819,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_chrysogaster,Combined,5,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8042,0.6428,0.15892112,0.75,0.8928,0.8214,6,536,4464,2,0.02540647904944448,0.08417054181220017,0.21610976158698192,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_chrysogaster,Combined,6,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.792975,0.6752,0.06826364,0.75,0.9252,0.8376,6,374,4626,2,0.01082896557058988,0.04010308788117518,-0.05098387521252536,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_chrysogaster,Combined,7,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8538,0.6776,0.1404128,0.75,0.9276,0.8388,6,362,4638,2,0.01572603771042769,0.05396080321910566,0.3599529849901972,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_chrysogaster,Combined,8,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.81475,0.6747999999999998,0.17754055000000002,0.75,0.9248,0.8373999999999999,6,376,4624,2,0.01693975034700517,0.06054815701616796,0.43053200165494176,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_chrysogaster,Combined,9,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.746025,0.5695999999999999,0.01570817,0.75,0.8196,0.7847999999999999,6,902,4098,2,0.02447658873477483,0.08003113924632582,0.16314840068008118,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_chrysogaster,Combined,10,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.79975,0.6383999999999999,0.09053142,0.75,0.8884,0.8191999999999999,6,558,4442,2,0.02058767440635579,0.06841763924038956,0.09733285267845752,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
Amphiprion_chrysogaster,Combined,11,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.830475,0.7069999999999999,0.24963596,0.75,0.957,0.8534999999999999,6,215,4785,2,0.01343251970342265,0.05169819920397484,0.144271873892067,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11
Amphiprion_chrysogaster,Combined,12,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8224,0.6648000000000001,0.12046253,0.75,0.9148,0.8324,6,426,4574,2,0.01726411172314809,0.05972495854326121,0.08991701628390837,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12
Amphiprion_chrysogaster,Combined,13,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.811275,0.696,0.25975836,0.75,0.946,0.848,6,270,4730,2,0.01917504516108312,0.06517223526481736,0.379134635671325,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13
Amphiprion_chrysogaster,Combined,14,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.83155,0.679,0.23147629,0.75,0.929,0.8395,6,355,4645,2,0.02099215529980206,0.07194260663985476,0.3670839015301826,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14
Amphiprion_chrysogaster,Combined,15,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.795425,0.653,0.18534397,0.75,0.903,0.8265,6,485,4515,2,0.02836425235690705,0.09096953752828688,0.32629680136016237,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,15
Amphiprion_chrysogaster,Combined,16,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.83215,0.6894,0.20558168,0.75,0.9394,0.8447,6,303,4697,2,0.01432393479646194,0.05381785969060945,0.418397291558753,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,16
Amphiprion_chrysogaster,Combined,17,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.7868,0.6484000000000001,0.05963061,0.75,0.8984,0.8242,6,508,4492,2,0.01426812367603212,0.05054569278507258,-0.07786628214276602,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,17
Amphiprion_chrysogaster,Combined,18,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8072,0.706,0.42389424,0.75,0.956,0.853,6,220,4780,2,0.02488051247731057,0.08386028095175806,0.5061308339279791,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,18
Amphiprion_chrysogaster,Combined,19,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.822925,0.6916,0.32292748,0.75,0.9416,0.8458,6,292,4708,2,0.02221090780391877,0.07600006531560383,0.4301185108838504,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,19
Amphiprion_chrysogaster,Combined,20,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8295,0.6796,0.17335693000000002,0.75,0.9296,0.8398,6,352,4648,2,0.01699896050869081,0.05931665919504588,0.15480558473621336,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,20
Amphiprion_chrysogaster,Combined,21,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.796525,0.685,0.17801767000000002,0.75,0.935,0.8425,6,325,4675,2,0.01882212324535917,0.06307642553800348,0.3633759833329081,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,21
Amphiprion_chrysogaster,Combined,22,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.817575,0.6301999999999999,0.06524925,0.75,0.8802,0.8150999999999999,6,599,4401,2,0.01531080473786715,0.05571596702594813,-0.06396158890298637,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,22
Amphiprion_chrysogaster,Combined,23,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8406,0.6692,0.12676013,0.75,0.9192,0.8346,6,404,4596,2,0.01435113803654896,0.05173738974389117,0.28687578007720405,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,23
Amphiprion_chrysogaster,Combined,24,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.830625,0.667,0.06650487,0.75,0.917,0.8335,6,415,4585,2,0.01071245771100622,0.04035344872807955,-0.15810616316938847,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,24
Amphiprion_chrysogaster,Combined,25,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.812475,0.7042000000000002,0.24415957,0.75,0.9542,0.8521000000000001,6,229,4771,2,0.01317689662473933,0.04999973905757746,0.33463961730403013,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,25
Amphiprion_chrysogaster,Combined,26,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.83205,0.7050000000000001,0.30402196000000004,0.75,0.955,0.8525,6,225,4775,2,0.0155005714759841,0.05972118114625966,0.49254364702486114,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,26
Amphiprion_chrysogaster,Combined,27,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.805775,0.7109999999999999,0.22862702,0.75,0.961,0.8554999999999999,6,195,4805,2,0.01221750596948818,0.04508897849481458,0.3364935764026674,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,27
Amphiprion_chrysogaster,Combined,28,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.85975,0.7034,0.15734177000000002,0.75,0.9534,0.8517,6,233,4767,2,0.00921774108587472,0.03658373124053636,0.20034209657848967,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,28
Amphiprion_chrysogaster,Combined,29,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.814925,0.6858,0.11861815,0.75,0.9358,0.8429,6,321,4679,2,0.01237190856760327,0.04436839319679566,0.1075296277209626,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,29
Amphiprion_chrysogaster,Combined,30,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.80215,0.6678,0.06799211,0.75,0.9178,0.8339,6,411,4589,2,0.01103924424737569,0.04189017465716295,0.333485853740918,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,30
Amphiprion_chrysogaster,Combined,31,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.842325,0.6998,0.23937726,0.75,0.9498,0.8499,6,251,4749,2,0.01443328279146948,0.05412574919686182,0.13912645595728448,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,31
Amphiprion_chrysogaster,Combined,32,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.788225,0.6488,0.12911637,0.75,0.8988,0.8244,6,506,4494,2,0.02112645422636298,0.0715689379852851,0.30717775835959077,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,32
Amphiprion_chrysogaster,Combined,33,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.78835,0.6617999999999999,0.06826383999999999,0.75,0.9118,0.8309,6,441,4559,2,0.01243948753360459,0.04482637888856624,0.2470265583266059,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,33
Amphiprion_chrysogaster,Combined,34,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8338,0.7109999999999999,0.2875342,0.75,0.961,0.8554999999999999,6,195,4805,2,0.01262619430473125,0.05155600715361961,0.4457608275045786,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,34
Amphiprion_chrysogaster,Combined,35,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.7872,0.6337999999999999,0.06605032999999999,0.75,0.8838,0.8169,6,581,4419,2,0.01686220489369815,0.05966412077421706,0.12527775457992155,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,35
Amphiprion_chrysogaster,Combined,36,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.82835,0.7082000000000002,0.30838627,0.75,0.9582,0.8541000000000001,6,209,4791,2,0.01520862483578802,0.05585230702463728,0.3772806765726877,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,36
Amphiprion_chrysogaster,Combined,37,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.860825,0.7166000000000001,0.16619533,0.75,0.9666,0.8583000000000001,6,167,4833,2,0.00698306744411637,0.02880888906249965,0.28422769595341446,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,37
Amphiprion_chrysogaster,Combined,38,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.80675,0.7132000000000001,0.41022926,0.75,0.9632,0.8566,6,184,4816,2,0.01916526656706558,0.06787768949725553,0.5005689566320672,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,38
