species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_chrysogaster,EnvOnly,1,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.801875,0.6366,0.09252565,0.75,0.8866,0.8183,6,567,4433,2,0.02401485202001391,0.08778916000078327,0.1058685249971168,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_chrysogaster,EnvOnly,2,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.829725,0.6503999999999999,0.13971995,0.75,0.9004,0.8251999999999999,6,498,4502,2,0.02513216876086242,0.08712021231364821,0.28408054207559674,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_chrysogaster,EnvOnly,3,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8983,0.6840000000000002,0.00458005999999999,1,0.684,0.8420000000000001,8,1580,3420,0,0.01656953774167045,0.05602364203913806,0.13410013166301463,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_chrysogaster,EnvOnly,4,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.862175,0.6758,0.27030281,0.75,0.9258,0.8379,6,371,4629,2,0.02955402776758832,0.1041683374969357,0.4834662641535001,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_chrysogaster,EnvOnly,5,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.902475,0.6981999999999999,0.01119341,1,0.6982,0.8491,8,1509,3491,0,0.02638654715605438,0.08656982108675777,0.0991868117770948,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_chrysogaster,EnvOnly,6,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.865475,0.6652,0.05348211,0.75,0.9152,0.8326,6,424,4576,2,0.01185171338228249,0.04535472173720809,-0.04545552191119919,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_chrysogaster,EnvOnly,7,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.91015,0.7006000000000001,0.00407472999999999,1,0.7006,0.8503000000000001,8,1497,3503,0,0.0156487370435842,0.05282173950794261,0.264671312492792,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_chrysogaster,EnvOnly,8,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.89285,0.6576,0.12516757,0.75,0.9076,0.8288,6,462,4538,2,0.02153421036300136,0.07295560630059364,0.2752581649925037,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_chrysogaster,EnvOnly,9,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.761325,0.5659999999999998,0.03162575999999999,0.75,0.816,0.7829999999999999,6,920,4080,2,0.02522710357216327,0.08559226493280918,0.01668563188773557,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_chrysogaster,EnvOnly,10,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8538,0.6364000000000001,0.07591094,0.75,0.8864,0.8182,6,568,4432,2,0.02085621648982592,0.06901354570784929,0.22585285332718252,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_chrysogaster,EnvOnly,11,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8857,0.6743999999999999,0.13980175,0.75,0.9244,0.8371999999999999,6,378,4622,2,0.01640845898404829,0.06003732150135507,0.2346752304102756,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_chrysogaster,EnvOnly,12,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8594,0.6552,0.10570057,0.75,0.9052,0.8276,6,474,4526,2,0.0213717601425893,0.0733227631716216,0.19056334499481023,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_chrysogaster,EnvOnly,13,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.90555,0.6739999999999999,0.16282827,0.75,0.924,0.837,6,380,4620,2,0.02076573421165419,0.06878463336838075,0.38417130203232674,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_chrysogaster,EnvOnly,14,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.86935,0.6576,0.18219527,0.75,0.9076,0.8288,6,462,4538,2,0.02746440215065414,0.09829690005252142,0.08718591239989829,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_chrysogaster,EnvOnly,15,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.802925,0.6282000000000001,0.13030796,0.75,0.8782,0.8141,6,609,4391,2,0.03175024814310587,0.10736923997771684,0.04823050473185863,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_chrysogaster,EnvOnly,16,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.9253,0.7384,0.02971498,1,0.7384,0.8692,8,1308,3692,0,0.02009412138369476,0.07612981775065568,0.2452620829099873,PC1;PC2;PC3;PC4;rugosity,16
Amphiprion_chrysogaster,EnvOnly,17,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.829175,0.6308,0.04352723999999999,0.75,0.8808,0.8154,6,596,4404,2,0.0167728024578068,0.05869079907012078,0.18076101211713536,PC1;PC2;PC3;PC4;rugosity,17
Amphiprion_chrysogaster,EnvOnly,18,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.87655,0.6787999999999998,0.23546893,0.75,0.9288,0.8393999999999999,6,356,4644,2,0.02691924027692004,0.0972216986834053,0.2113513372446506,PC1;PC2;PC3;PC4;rugosity,18
Amphiprion_chrysogaster,EnvOnly,19,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.891525,0.6734,0.28815338,0.75,0.9234,0.8367,6,383,4617,2,0.02942373502739937,0.09891921172013292,0.4922886412365931,PC1;PC2;PC3;PC4;rugosity,19
Amphiprion_chrysogaster,EnvOnly,20,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.91255,0.7050000000000001,0.02429518,0.875,0.83,0.8525,7,850,4150,1,0.01963824846456361,0.06661298011403748,0.05138450303005126,PC1;PC2;PC3;PC4;rugosity,20
Amphiprion_chrysogaster,EnvOnly,21,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.851225,0.6792,0.18359308,0.75,0.9292,0.8396,6,354,4646,2,0.02210008284245866,0.07727953617934424,0.29848741488060304,PC1;PC2;PC3;PC4;rugosity,21
