species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_chrysogaster,HostOnly,1,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.852475,0.6322000000000001,0.08311518,0.75,0.8822,0.8161,6,589,4411,2,0.02240744976873912,0.07653132088606039,0.08645929541431206,rugosity;biotic_suitability,1
Amphiprion_chrysogaster,HostOnly,2,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.855875,0.6394,0.09740695,0.75,0.8894,0.8197,6,553,4447,2,0.02311335163644054,0.07683763721797301,0.18879886957819167,rugosity;biotic_suitability,2
Amphiprion_chrysogaster,HostOnly,3,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.853375,0.6177999999999999,0.06973656,0.75,0.8678,0.8089,6,661,4339,2,0.024137564518259592,0.07561769816277542,0.1817409679117172,rugosity;biotic_suitability,3
Amphiprion_chrysogaster,HostOnly,4,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.856525,0.6360000000000001,0.15404399000000002,0.75,0.886,0.8180000000000001,6,570,4430,2,0.03328781863323804,0.10759455269494408,0.31584109957473183,rugosity;biotic_suitability,4
Amphiprion_chrysogaster,HostOnly,5,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.853575,0.6118000000000001,0.12218271,0.75,0.8618,0.8059000000000001,6,691,4309,2,0.03397949091941591,0.10620639956187082,0.13626599374984052,rugosity;biotic_suitability,5
Amphiprion_chrysogaster,HostOnly,6,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.8498,0.6198000000000001,0.05316753,0.75,0.8698,0.8099000000000001,6,651,4349,2,0.019924592473021,0.06816383685301314,-0.05822768874841425,rugosity;biotic_suitability,6
Amphiprion_chrysogaster,HostOnly,7,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.861675,0.6312,0.08894781,0.75,0.8812,0.8156,6,594,4406,2,0.02093917219792183,0.06889222279734801,0.20467914832775921,rugosity;biotic_suitability,7
Amphiprion_chrysogaster,HostOnly,8,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.85605,0.6308,0.09589106,0.75,0.8808,0.8154,6,596,4404,2,0.02471403586710003,0.08030429994356597,0.04890739659654818,rugosity;biotic_suitability,8
Amphiprion_chrysogaster,HostOnly,9,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.836425,0.585,0.0579198,0.75,0.835,0.7925,6,825,4175,2,0.03508018893226261,0.10978949475449332,-0.13904693239779645,rugosity;biotic_suitability,9
Amphiprion_chrysogaster,HostOnly,10,lq,0.5,block_quadrant,4,4,25,10000,17,2024,8,5000,0.853775,0.6158000000000001,0.06896416,0.75,0.8658,0.8079000000000001,6,671,4329,2,0.02464435295645678,0.07835625231257888,-0.20821888263599583,rugosity;biotic_suitability,10
