species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_chrysopterus,EnvOnly,1,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8294680586626896,0.5847750434998757,0.09079295,0.85,0.7347750434998758,0.7923875217499379,34,1067,2956,6,0.04159052088078485,0.15104926746314074,0.2679264359372714,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_chrysopterus,EnvOnly,2,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8563190072086869,0.569650515557989,0.12179154,0.8923076923076924,0.6773428232502966,0.7848252577789945,58,272,571,7,0.07600621275146503,0.2500510964900408,0.8360902255639098,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_chrysopterus,EnvOnly,3,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8881784615384616,0.7202153846153847,0.12358054,0.9846153846153848,0.7356,0.8601076923076924,64,1322,3678,1,0.05467832668605123,0.18184391690167911,0.4603234624142575,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_chrysopterus,EnvOnly,4,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8233345761869252,0.5573266219239374,0.09981759,0.875,0.6823266219239373,0.7786633109619687,35,1278,2745,5,0.04418931633208421,0.16619685704580173,0.6679203180128442,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_chrysopterus,EnvOnly,5,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8555342640751893,0.5758737111050278,0.17256678,0.7692307692307693,0.8066429418742586,0.7879368555525139,50,163,680,15,0.06764366377603744,0.22837590180173611,0.6305494636772538,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_chrysopterus,EnvOnly,6,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.9346492307692308,0.8052307692307692,0.16301718,0.9692307692307692,0.836,0.9026153846153846,63,820,4180,2,0.02891087869824148,0.12084633944355612,0.7720092478912439,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_chrysopterus,EnvOnly,7,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8398769574944072,0.5595575441213025,0.26712402,0.7,0.8595575441213025,0.7797787720606513,28,565,3458,12,0.04303166665037245,0.1607391193260532,0.3788706220859443,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_chrysopterus,EnvOnly,8,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8724883657267999,0.675152842412629,0.14485362000000002,0.9230769230769232,0.7520759193357058,0.8375764212063145,60,209,634,5,0.07349117292130425,0.238788595030976,0.5265467817119168,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_chrysopterus,EnvOnly,9,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.9105476923076924,0.7386307692307692,0.14797018,0.9692307692307692,0.7694,0.8693153846153846,63,1153,3847,2,0.04178206918123943,0.1496097051034054,0.8307000094268355,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_chrysopterus,EnvOnly,10,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8451528709917971,0.5631866766094955,0.07281161,0.9,0.6631866766094954,0.7815933383047478,36,1355,2668,4,0.03915317993138546,0.14715959749968144,0.3418892267030533,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_chrysopterus,EnvOnly,11,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8473035860936217,0.5899625878273564,0.15431064,0.8307692307692308,0.7591933570581257,0.7949812939136782,54,203,640,11,0.0729020667747663,0.2425790855492457,0.8234856585202246,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_chrysopterus,EnvOnly,12,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.870963076923077,0.7126153846153847,0.09853144,0.9846153846153848,0.728,0.8563076923076923,64,1360,3640,1,0.05803616265182253,0.18664678065119533,0.33646991714674623,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_chrysopterus,EnvOnly,13,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8298347004722844,0.5687608749689286,0.09643597,0.875,0.6937608749689287,0.7843804374844643,35,1232,2791,5,0.04802884461119528,0.1740492483610275,0.6270676691729323,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_chrysopterus,EnvOnly,14,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8499680627794507,0.5532256592754812,0.16080438000000002,0.8153846153846154,0.7378410438908659,0.7766128296377406,53,221,622,12,0.07855643393718559,0.25877245090962603,0.8761766969995808,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_chrysopterus,EnvOnly,15,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8561907692307692,0.692476923076923,0.17565615,0.9230769230769232,0.7694,0.8462384615384615,60,1153,3847,5,0.06991244951066758,0.22858727750452204,0.00981510916057044,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_chrysopterus,EnvOnly,16,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8352224707929405,0.5213522247079294,0.07939227,0.8,0.7213522247079294,0.7606761123539647,32,1121,2902,8,0.03841274003571091,0.1394452558998427,0.4218897963068583,PC1;PC2;PC3;PC4;rugosity,16
Amphiprion_chrysopterus,EnvOnly,17,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.865900173373483,0.6276667579158683,0.12753041,0.9384615384615383,0.6892052194543298,0.8138333789579342,61,262,581,4,0.07323567127899716,0.2437659114110118,0.5741160391238003,PC1;PC2;PC3;PC4;rugosity,17
Amphiprion_chrysopterus,EnvOnly,18,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.912633846153846,0.7520307692307693,0.15218641000000002,0.9692307692307692,0.7828,0.8760153846153846,63,1086,3914,2,0.0356606115784593,0.1345523995359385,0.33522372825332897,PC1;PC2;PC3;PC4;rugosity,18
Amphiprion_chrysopterus,EnvOnly,19,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8329729057916977,0.5835694755157843,0.09726949,0.9,0.6835694755157843,0.7917847377578922,36,1273,2750,4,0.04190858665973614,0.15996555893014455,0.32869502136442896,PC1;PC2;PC3;PC4;rugosity,19
Amphiprion_chrysopterus,EnvOnly,20,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.858965234054202,0.6076831827721509,0.15675488,0.8615384615384616,0.7461447212336892,0.8038415913860755,56,214,629,9,0.07195015238025065,0.2441254551472941,0.7158548154297105,PC1;PC2;PC3;PC4;rugosity,20
Amphiprion_chrysopterus,EnvOnly,21,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8806061538461538,0.7084615384615385,0.14660330000000002,0.9384615384615383,0.77,0.8542307692307692,61,1150,3850,4,0.05826211905865145,0.19102585912532943,0.2934538076779582,PC1;PC2;PC3;PC4;rugosity,21
Amphiprion_chrysopterus,EnvOnly,22,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8370432513049962,0.5840293313447675,0.14093181000000002,0.85,0.7340293313447676,0.7920146656723838,34,1070,2953,6,0.05034656882341293,0.18544577186504368,0.48890563818507743,PC1;PC2;PC3;PC4;rugosity,22
Amphiprion_chrysopterus,EnvOnly,23,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8412446391094078,0.5474769595766036,0.27583428,0.7384615384615385,0.8090154211150652,0.7737384797883018,48,161,682,17,0.08079082234737234,0.2671849925944132,0.7609022556390977,PC1;PC2;PC3;PC4;rugosity,23
Amphiprion_chrysopterus,EnvOnly,24,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8621446153846154,0.7146307692307692,0.18778381,0.9692307692307692,0.7454,0.8573153846153846,63,1273,3727,2,0.08321978838549722,0.27038822696338766,0.2213857932323255,PC1;PC2;PC3;PC4;rugosity,24
Amphiprion_chrysopterus,EnvOnly,25,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8293313447675864,0.5666666666666667,0.07524694,0.9,0.6666666666666666,0.7833333333333333,36,1341,2682,4,0.04518499198132487,0.16327564986507578,0.503399810620169,PC1;PC2;PC3;PC4;rugosity,25
Amphiprion_chrysopterus,EnvOnly,26,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8481248289077471,0.5685737749794688,0.17009338000000002,0.8461538461538461,0.7224199288256228,0.7842868874897344,55,234,609,10,0.07771674116750855,0.25750901442745,0.886799611415702,PC1;PC2;PC3;PC4;rugosity,26
Amphiprion_chrysopterus,EnvOnly,27,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.9304953846153846,0.8030307692307692,0.18859476,0.9692307692307692,0.8338,0.9015153846153846,63,831,4169,2,0.03450379937698994,0.128462100155907,0.6334863231325721,PC1;PC2;PC3;PC4;rugosity,27
Amphiprion_chrysopterus,EnvOnly,28,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8338491175739497,0.6164118816803381,0.28521834,0.775,0.8414118816803381,0.8082059408401691,31,638,3385,9,0.05358564521728635,0.20217814559939024,0.3675497867646511,PC1;PC2;PC3;PC4;rugosity,28
Amphiprion_chrysopterus,EnvOnly,29,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8496578154941145,0.5699060133223834,0.15650035,0.7846153846153846,0.7852906287069988,0.7849530066611917,51,181,662,14,0.06614455068053558,0.2246240544529699,0.835529324458363,PC1;PC2;PC3;PC4;rugosity,29
Amphiprion_chrysopterus,EnvOnly,30,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.9529846153846154,0.8124153846153845,0.16187780000000002,0.9846153846153848,0.8278,0.9062076923076924,64,861,4139,1,0.02689302593110003,0.11528538719640564,0.9167624543168508,PC1;PC2;PC3;PC4;rugosity,30
Amphiprion_chrysopterus,EnvOnly,31,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8392555306984837,0.5417350236142182,0.16660136,0.8,0.7417350236142183,0.7708675118071091,32,1039,2984,8,0.04980200788785201,0.18356297654479176,0.5129748388341889,PC1;PC2;PC3;PC4;rugosity,31
Amphiprion_chrysopterus,EnvOnly,32,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8142896249657815,0.521306688566475,0.12734137,0.7692307692307693,0.7520759193357058,0.7606533442832375,50,209,634,15,0.07278775332745605,0.24638230315141452,0.6337619812795177,PC1;PC2;PC3;PC4;rugosity,32
Amphiprion_chrysopterus,EnvOnly,33,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8951476923076923,0.7420153846153847,0.14277794000000002,0.9846153846153848,0.7574,0.8710076923076924,64,1213,3787,1,0.05303135320020829,0.17831958221037067,0.4203803515973525,PC1;PC2;PC3;PC4;rugosity,33
Amphiprion_chrysopterus,EnvOnly,34,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8272744220730798,0.5358811831966195,0.06711985,0.95,0.5858811831966194,0.7679405915983097,38,1666,2357,2,0.04783237112798427,0.17332295955913182,0.5371007641149668,PC1;PC2;PC3;PC4;rugosity,34
Amphiprion_chrysopterus,EnvOnly,35,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8642029382242905,0.5908933296833654,0.0995403,0.9384615384615383,0.6524317912218268,0.7954466648416827,61,293,550,4,0.06909507614893261,0.23261194025091095,0.79789286840168006,PC1;PC2;PC3;PC4;rugosity,35
Amphiprion_chrysopterus,EnvOnly,36,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.9092461538461538,0.7626153846153847,0.14663811000000002,0.9846153846153848,0.778,0.8813076923076923,64,1110,3890,1,0.04092793568444087,0.1450515947834383,0.5150608250711246,PC1;PC2;PC3;PC4;rugosity,36
Amphiprion_chrysopterus,EnvOnly,37,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8231667909520258,0.5611981108625406,0.10220033,0.9,0.6611981108625404,0.7805990554312703,36,1363,2660,4,0.05067621364896697,0.18717430735712723,0.46275408133831875,PC1;PC2;PC3;PC4;rugosity,37
Amphiprion_chrysopterus,EnvOnly,38,lqh,0.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8652066794415549,0.6419016333607082,0.13724608000000002,0.9384615384615383,0.7034400948991696,0.8209508166803541,61,250,593,4,0.07198324858285012,0.2404609804977754,0.47389210354072514,PC1;PC2;PC3;PC4;rugosity,38
Amphiprion_chrysopterus,EnvOnly,39,lqh,0.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.907086153846154,0.7564153846153847,0.14965267000000002,0.9846153846153848,0.7718,0.8782076923076924,64,1141,3859,1,0.04473996861068396,0.15499974806736022,0.8623027271767695,PC1;PC2;PC3;PC4;rugosity,39
Amphiprion_chrysopterus,EnvOnly,40,lqh,0.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8343649018145662,0.5574633358190404,0.25827549,0.725,0.8324633358190405,0.7787316679095202,29,674,3349,11,0.04686179849748494,0.17239922075764802,0.4212110113594513,PC1;PC2;PC3;PC4;rugosity,40
