species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_chrysopterus,HostOnly,1,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8201031568481233,0.5539522744220731,0.08094264,0.85,0.7039522744220731,0.7769761372110365,34,1191,2832,6,0.04676890467713179,0.16299972167111682,-0.2074917173160859,rugosity;biotic_suitability,1
Amphiprion_chrysopterus,HostOnly,2,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8688383976640205,0.6173555981385164,0.3439898,0.7846153846153846,0.8327402135231317,0.8086777990692582,51,141,702,14,0.08247211351670443,0.2602441215160014,0.881849807657406,rugosity;biotic_suitability,2
Amphiprion_chrysopterus,HostOnly,3,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8281138461538462,0.5558153846153848,0.09032049,0.9846153846153848,0.5712,0.7779076923076924,64,2144,2856,1,0.07759396238936074,0.24562529594329985,0.712781954887218,rugosity;biotic_suitability,3
Amphiprion_chrysopterus,HostOnly,4,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8381058911260254,0.5978436490181456,0.11867505,0.875,0.7228436490181457,0.7989218245090728,35,1115,2908,5,0.05050084617579373,0.1774677688853609,0.2749272943364345,rugosity;biotic_suitability,4
Amphiprion_chrysopterus,HostOnly,5,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8642576877452323,0.6256227758007118,0.21206626,0.8,0.8256227758007118,0.8128113879003559,52,147,696,13,0.07247608473153883,0.2350389615673076,0.7353383458646616,rugosity;biotic_suitability,5
Amphiprion_chrysopterus,HostOnly,6,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.867156923076923,0.6256923076923075,0.17686611000000002,0.9076923076923076,0.718,0.8128461538461538,59,1410,3590,6,0.05683393747337029,0.1944339402277756,0.8135338345864661,rugosity;biotic_suitability,6
Amphiprion_chrysopterus,HostOnly,7,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8483718617946806,0.5877951777280637,0.11394802,0.9,0.6877951777280636,0.7938975888640318,36,1256,2767,4,0.05474874263293746,0.1866116768013599,0.16471329997779435,rugosity;biotic_suitability,7
Amphiprion_chrysopterus,HostOnly,8,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8682179030933479,0.6078656811752898,0.30077399,0.7846153846153846,0.8232502965599051,0.8039328405876449,51,149,694,14,0.0842036748439777,0.2666385178503051,0.902934792855256,rugosity;biotic_suitability,8
Amphiprion_chrysopterus,HostOnly,9,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8538584615384616,0.608323076923077,0.23556267,0.8769230769230769,0.7314,0.8041615384615385,57,1343,3657,8,0.06596492157945077,0.21630043282862824,0.6947368421052631,rugosity;biotic_suitability,9
Amphiprion_chrysopterus,HostOnly,10,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8413248819289088,0.5672321650509571,0.11472241,0.825,0.742232165050957,0.7836160825254785,33,1037,2986,7,0.04919763197408894,0.1708926470293333,0.11505784686637488,rugosity;biotic_suitability,10
Amphiprion_chrysopterus,HostOnly,11,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8647504334337075,0.6043069623140798,0.27487616000000004,0.7846153846153846,0.8196915776986952,0.8021534811570399,51,152,691,14,0.08021613410824008,0.2542708419205646,0.8418684246045576,rugosity;biotic_suitability,11
Amphiprion_chrysopterus,HostOnly,12,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8591261538461539,0.6188923076923079,0.2192703,0.9076923076923076,0.7112,0.8094461538461539,59,1444,3556,6,0.06731474077308579,0.22361305521829877,0.5490786398078561,rugosity;biotic_suitability,12
Amphiprion_chrysopterus,HostOnly,13,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8406102411135968,0.60008078548347,0.13185076,0.875,0.7250807854834701,0.800040392741735,35,1106,2917,5,0.05406461578527064,0.18597890366785505,0.1074381219083368,rugosity;biotic_suitability,13
Amphiprion_chrysopterus,HostOnly,14,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8631261976457706,0.5911853271283876,0.21143211,0.8153846153846154,0.7758007117437722,0.7955926635641938,53,189,654,12,0.08524211444605007,0.26473035314588894,0.8976676732302671,rugosity;biotic_suitability,14
Amphiprion_chrysopterus,HostOnly,15,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8241907692307693,0.5385692307692307,0.3065463,0.8307692307692308,0.7078,0.7692846153846153,54,1461,3539,11,0.08852575161840301,0.272222754379737,0.7935314589003949,rugosity;biotic_suitability,15
Amphiprion_chrysopterus,HostOnly,16,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8315560526969923,0.5724894357444694,0.07328872,0.875,0.6974894357444693,0.7862447178722347,35,1217,2806,5,0.04589148143690644,0.1588644869734638,-0.01818233995066686,rugosity;biotic_suitability,16
Amphiprion_chrysopterus,HostOnly,17,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.868035404690209,0.6185053380782919,0.32737947,0.8,0.8185053380782918,0.8092526690391459,52,153,690,13,0.08536663323374807,0.27109201803398525,0.7930777263911999,rugosity;biotic_suitability,17
Amphiprion_chrysopterus,HostOnly,18,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8432553846153846,0.5745230769230769,0.23051013,0.8769230769230769,0.6976,0.7872615384615385,57,1512,3488,8,0.06784317085622531,0.2243111488770435,0.5596089150918424,rugosity;biotic_suitability,18
Amphiprion_chrysopterus,HostOnly,19,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8366206810837683,0.5938665175242357,0.12842394,0.875,0.7188665175242357,0.7969332587621178,35,1131,2892,5,0.04848316600395265,0.1732120851678768,0.07575974979444526,rugosity;biotic_suitability,19
Amphiprion_chrysopterus,HostOnly,20,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8633816954101652,0.6078656811752898,0.24336342,0.7846153846153846,0.8232502965599051,0.8039328405876449,51,149,694,14,0.07774036547979249,0.24873371402425257,0.8663912184248432,rugosity;biotic_suitability,20
Amphiprion_chrysopterus,HostOnly,21,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8705538461538461,0.6179076923076923,0.22769604,0.8923076923076924,0.7256,0.8089538461538461,58,1372,3628,7,0.06306374364595173,0.21251391591557223,0.8721804511278196,rugosity;biotic_suitability,21
Amphiprion_chrysopterus,HostOnly,22,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.835893611732538,0.5906350981854338,0.14908787,0.875,0.7156350981854338,0.7953175490927169,35,1144,2879,5,0.05974222228395407,0.20828402738146176,0.4084172577508406,rugosity;biotic_suitability,22
Amphiprion_chrysopterus,HostOnly,23,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8554612647139338,0.6173190984578887,0.3487362,0.8,0.8173190984578885,0.8086595492289443,52,154,689,13,0.0890452293733983,0.28221908469362345,0.8600453901946313,rugosity;biotic_suitability,23
Amphiprion_chrysopterus,HostOnly,24,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.8551292307692308,0.6003076923076924,0.27298628,0.8923076923076924,0.708,0.8001538461538462,58,1460,3540,7,0.07759208194961065,0.24879462584603207,0.8461828353203262,rugosity;biotic_suitability,24
Amphiprion_chrysopterus,HostOnly,25,lqh,2.5,block_quadrant,4,1,210,10000,170,5977,40,4023,0.8347129008202834,0.5831779766343526,0.11431415,0.875,0.7081779766343524,0.7915889883171763,35,1174,2849,5,0.05667798062426021,0.1883371748036854,0.10061922607086522,rugosity;biotic_suitability,25
Amphiprion_chrysopterus,HostOnly,26,lqh,2.5,block_quadrant,4,2,210,10000,145,9157,65,843,0.8633634455698512,0.6125741399762754,0.30566315,0.8,0.8125741399762753,0.8062870699881377,52,158,685,13,0.08362734672959045,0.26394177120140244,0.8359671290518245,rugosity;biotic_suitability,26
Amphiprion_chrysopterus,HostOnly,27,lqh,2.5,block_quadrant,4,3,210,10000,145,4908,65,5000,0.866916923076923,0.6201076923076925,0.24688517,0.8923076923076924,0.7278,0.8100538461538462,58,1361,3639,7,0.0683363720159829,0.22305660969703753,0.8751879699248121,rugosity;biotic_suitability,27
