species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_ephippium,Combined,1,h,2,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9240142857142856,0.8166,0.42798802,1,0.8166,0.9083,14,917,4083,0,0.09632820972618009,0.31952670856869925,0.8329006530997706,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_ephippium,Combined,2,h,2,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8976397130457887,0.7445753254804712,0.45616892,1,0.7445753254804711,0.8722876627402356,14,412,1201,0,0.1252052775960779,0.3719099544923445,0.5019870680628085,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_ephippium,Combined,3,h,2,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9616285714285714,0.881,0.55203685,1,0.881,0.9405,14,595,4405,0,0.11630597715320812,0.353955718292942,0.7549569291338301,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_ephippium,Combined,4,h,2,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8665087237622886,0.666947126029581,0.47213811,0.9285714285714286,0.7383756974581525,0.8334735630147905,13,422,1191,1,0.1578829180689791,0.4799806966937621,0.8888998160538946,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_ephippium,Combined,5,h,2,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9455428571428572,0.8488,0.4882413,1,0.8488,0.9244,14,756,4244,0,0.10627466861032688,0.3317746107430681,0.6294191139873586,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_ephippium,Combined,6,h,2,block_quadrant,4,3,29,10000,15,8387,14,1613,0.87587459038172,0.690018598884067,0.40455221,1,0.6900185988840669,0.8450092994420335,14,500,1113,0,0.14370027251533735,0.44648536367267583,0.540147345104537,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_ephippium,Combined,7,h,2,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9529714285714286,0.8622000000000001,0.59300976,1,0.8622,0.9311,14,689,4311,0,0.14819930224868846,0.4273726688930865,0.696935371943684,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_ephippium,Combined,8,h,2,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8832698609512001,0.695465414932247,0.46302607,0.9285714285714286,0.7668939863608184,0.8477327074661235,13,376,1237,1,0.1317561003357015,0.4000095456234378,0.7410558088324442,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_ephippium,Combined,9,h,2,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9504857142857144,0.8679999999999999,0.51016693,1,0.868,0.934,14,660,4340,0,0.10627041563698753,0.3301216271254094,0.8063652653947064,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_ephippium,Combined,10,h,2,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8837569745815251,0.6588876096005669,0.33551412,0.9285714285714286,0.7303161810291382,0.8294438048002835,13,435,1178,1,0.10324528379371983,0.31271498837198336,0.6320827090717626,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
