species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_ephippium,EnvOnly,1,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.8964714285714286,0.7604,0.33431831,1,0.7604,0.8802,14,1198,3802,0,0.08303481222603838,0.28208569355670493,0.7348628533735552,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_ephippium,EnvOnly,2,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.9093525817022408,0.7228766274023557,0.44180646,1,0.7228766274023558,0.8614383137011778,14,447,1166,0,0.11681191192409694,0.3453933101103628,0.5716900349844308,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_ephippium,EnvOnly,3,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9433,0.8064,0.50223008,1,0.8064,0.9032,14,968,4032,0,0.11506108991010812,0.34454509458326454,0.8363613474772228,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_ephippium,EnvOnly,4,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.90058453635639,0.7830130192188469,0.5181702,1,0.7830130192188469,0.8915065096094235,14,350,1263,0,0.15036773268088804,0.4622322991556247,0.6655713164107857,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_ephippium,EnvOnly,5,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9201571428571428,0.81,0.4017011,1,0.81,0.905,14,950,4050,0,0.08607375294475886,0.2857847573370341,0.6661830628636054,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_ephippium,EnvOnly,6,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8845540696129661,0.6887786732796033,0.43718617,1,0.6887786732796032,0.8443893366398016,14,502,1111,0,0.1368184963019987,0.4279505075594697,0.4862712038482113,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_ephippium,EnvOnly,7,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9619714285714286,0.9076,0.62024167,1,0.9076,0.9538,14,462,4538,0,0.13877744908267314,0.3970339297270657,0.7608859102526822,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_ephippium,EnvOnly,8,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8969090426003011,0.6887786732796033,0.41021935,1,0.6887786732796032,0.8443893366398016,14,502,1111,0,0.13441252219376162,0.4031083757092244,0.6208400887329587,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_ephippium,EnvOnly,9,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9396428571428572,0.8548,0.5566374000000001,1,0.8548,0.9274,14,726,4274,0,0.11160881358504156,0.33407742504472687,0.6108939680000193,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_ephippium,EnvOnly,10,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8946506066778851,0.718404038614826,0.51363203,0.9285714285714286,0.7898326100433974,0.859202019307413,13,339,1274,1,0.11440510868942784,0.33202091913020143,0.4993465429030677,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_ephippium,EnvOnly,11,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9235285714285716,0.808,0.53752104,1,0.808,0.904,14,960,4040,0,0.1336382039603912,0.3791388132542928,0.5830701365214265,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_ephippium,EnvOnly,12,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8923478876981666,0.6937383756974582,0.32545067,1,0.6937383756974581,0.8468691878487291,14,494,1119,0,0.09514679153355202,0.30805493559413044,0.3242715981435865,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_ephippium,EnvOnly,13,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9284,0.7867999999999999,0.53508579,1,0.7868,0.8934,14,1066,3934,0,0.1686273130642846,0.509448515368913,0.8469481999769345,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_ephippium,EnvOnly,14,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.8613940306438757,0.7061376317420955,0.41055832,1,0.7061376317420954,0.8530688158710478,14,474,1139,0,0.14118994668215684,0.4317452278653018,0.5422814995794188,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_ephippium,EnvOnly,15,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.9221571428571428,0.8275999999999999,0.46033598,1,0.8276,0.9138,14,862,4138,0,0.10190909618917415,0.3256407033449168,0.7468195762344741,PC1;PC2;PC3;PC4;rugosity,15
