species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_ephippium,HostOnly,1,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6501857142857143,0.3629714285714285,0.43751017,0.9285714285714286,0.4344,0.6814857142857143,13,2828,2172,1,0.22644911115582195,0.6376569304577956,0.5567083939344268,rugosity;biotic_suitability,1
Amphiprion_ephippium,HostOnly,2,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.6261624302541847,0.4128952262864227,0.34909449000000004,1,0.4128952262864228,0.7064476131432114,14,947,666,0,0.1960338004856634,0.5742539225854566,0.3423082308240111,rugosity;biotic_suitability,2
Amphiprion_ephippium,HostOnly,3,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6703785714285714,0.4781714285714287,0.46797068000000003,0.9285714285714286,0.5496,0.7390857142857143,13,2252,2748,1,0.19983515331645524,0.5634004232393321,0.5699255595678122,rugosity;biotic_suitability,3
Amphiprion_ephippium,HostOnly,4,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.4814453989903463,0.15485785138605968,0.35214835,0.9285714285714286,0.22628642281463113,0.5774289256930298,13,1248,365,1,0.2163846841654636,0.6141575724872838,0.5157583227831498,rugosity;biotic_suitability,4
Amphiprion_ephippium,HostOnly,5,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6529714285714285,0.5109714285714286,0.52184288,0.9285714285714286,0.5824,0.7554857142857143,13,2088,2912,1,0.20831130635583545,0.5848289520207074,0.6340540117339518,rugosity;biotic_suitability,5
Amphiprion_ephippium,HostOnly,6,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.4409485430874148,0.14741829775927728,0.33339179,0.9285714285714286,0.2188468691878487,0.5737091488796386,13,1260,353,1,0.2394073600028073,0.6612656704870082,0.4098935278511101,rugosity;biotic_suitability,6
Amphiprion_ephippium,HostOnly,7,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6571642857142858,0.49157142857142855,0.51043618,0.9285714285714286,0.563,0.7457857142857143,13,2185,2815,1,0.2052560947830396,0.5773880836807032,0.6322000526353144,rugosity;biotic_suitability,7
Amphiprion_ephippium,HostOnly,8,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.5039854751572048,0.1964839252501993,0.50118831,0.6428571428571429,0.5536267823930564,0.5982419626250997,9,720,893,5,0.23647942983677783,0.6600807237907813,0.6695776262412543,rugosity;biotic_suitability,8
Amphiprion_ephippium,HostOnly,9,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6656571428571428,0.46117142857142857,0.4440962,0.9285714285714286,0.5326,0.7305857142857143,13,2337,2663,1,0.19917026287686251,0.561253436186066,0.4940531166532118,rugosity;biotic_suitability,9
Amphiprion_ephippium,HostOnly,10,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.6249667877070233,0.4208218935435304,0.35452714,0.9285714285714286,0.4922504649721017,0.7104109467717652,13,819,794,1,0.16914253817838135,0.5012046384255614,0.4913630489146847,rugosity;biotic_suitability,10
Amphiprion_ephippium,HostOnly,11,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6528428571428572,0.5087714285714287,0.52835793,0.9285714285714286,0.5802,0.7543857142857143,13,2099,2901,1,0.21485374095738968,0.600742111664321,0.6182953593955349,rugosity;biotic_suitability,11
Amphiprion_ephippium,HostOnly,12,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.4444690461429457,0.14493844655034982,0.28309411,0.9285714285714286,0.21636701797892127,0.5724692232751749,13,1264,349,1,0.23739100732656804,0.6579741015475217,0.1250997028371197,rugosity;biotic_suitability,12
Amphiprion_ephippium,HostOnly,13,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6627,0.4831714285714286,0.54210283,0.9285714285714286,0.5546,0.7415857142857143,13,2227,2773,1,0.24744288612782137,0.6850016287240038,0.6194981083943857,rugosity;biotic_suitability,13
Amphiprion_ephippium,HostOnly,14,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.49021344433619696,0.1728367726507838,0.38176045,0.9285714285714286,0.24426534407935524,0.5864183863253919,13,1219,394,1,0.23238147570187587,0.6519169253489492,0.3246634766578249,rugosity;biotic_suitability,14
Amphiprion_ephippium,HostOnly,15,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6354285714285715,0.4959714285714285,0.52680728,0.9285714285714286,0.5674,0.7479857142857143,13,2163,2837,1,0.2196554241579503,0.6165707141965356,0.2624262820281773,rugosity;biotic_suitability,15
Amphiprion_ephippium,HostOnly,16,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.474980072624214,0.15733770259498714,0.42561535,0.9285714285714286,0.2287662740235586,0.5786688512974936,13,1244,369,1,0.2356792286995984,0.6611779222267,0.5380382953573577,rugosity;biotic_suitability,16
Amphiprion_ephippium,HostOnly,17,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6448571428571429,0.47617142857142847,0.52542307,0.9285714285714286,0.5476,0.7380857142857142,13,2262,2738,1,0.23550570543750657,0.6569552465235153,0.6600094391148738,rugosity;biotic_suitability,17
Amphiprion_ephippium,HostOnly,18,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.4837038349127624,0.16291736781507393,0.34211648,0.9285714285714286,0.23434593924364536,0.581458683907537,13,1235,378,1,0.2240427044768351,0.6319630974045528,0.3793424574522695,rugosity;biotic_suitability,18
Amphiprion_ephippium,HostOnly,19,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6713357142857143,0.46874285714285713,0.54361637,0.8571428571428571,0.6116,0.7343714285714286,12,1942,3058,2,0.2491780358402611,0.6899087304971505,0.5998936937118965,rugosity;biotic_suitability,19
Amphiprion_ephippium,HostOnly,20,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.44978301301921886,0.15113807457266848,0.36603596,0.9285714285714286,0.22256664600123993,0.5755690372863342,13,1254,359,1,0.2329631797988576,0.6475779671923325,0.5296168247579152,rugosity;biotic_suitability,20
Amphiprion_ephippium,HostOnly,21,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6314642857142857,0.5009714285714286,0.52950889,0.9285714285714286,0.5724,0.7504857142857143,13,2138,2862,1,0.2105759078742328,0.5942304558764913,0.30437146645071383,rugosity;biotic_suitability,21
Amphiprion_ephippium,HostOnly,22,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.5904702860685501,0.4115224515100522,0.41834321,0.9285714285714286,0.4829510229386237,0.7057612257550261,13,834,779,1,0.2078823089964658,0.5989648813237424,0.4834662641535001,rugosity;biotic_suitability,22
Amphiprion_ephippium,HostOnly,23,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6158857142857143,0.24357142857142855,0.35562767,0.9285714285714286,0.315,0.6217857142857143,13,3425,1575,1,0.22217213359854457,0.6284101388738506,0.43060196419278546,rugosity;biotic_suitability,23
Amphiprion_ephippium,HostOnly,24,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.5963599326897528,0.42268178195022577,0.4095813,0.9285714285714286,0.4941103533787973,0.7113408909751129,13,816,797,1,0.19617044784231755,0.5689406980353607,0.5357490190755312,rugosity;biotic_suitability,24
Amphiprion_ephippium,HostOnly,25,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6591357142857143,0.5085714285714285,0.54405451,0.9285714285714286,0.58,0.7542857142857142,13,2100,2900,1,0.24020562894630915,0.6694100773612022,0.604756074122911,rugosity;biotic_suitability,25
Amphiprion_ephippium,HostOnly,26,h,1.5,block_quadrant,4,3,29,10000,15,8387,14,1613,0.48489947745992384,0.15919759100168274,0.32389487,0.9285714285714286,0.2306261624302542,0.5795987955008414,13,1241,372,1,0.20891017644989665,0.5981245200761518,0.3190716337914974,rugosity;biotic_suitability,26
Amphiprion_ephippium,HostOnly,27,h,1.5,block_quadrant,4,2,29,10000,15,4559,14,5000,0.6377928571428572,0.4555714285714285,0.5070729900000001,0.9285714285714286,0.527,0.7277857142857143,13,2365,2635,1,0.22271478179218385,0.6211016330485033,0.6201493184941721,rugosity;biotic_suitability,27
