species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_frenatus,Combined,1,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6985447703885732,0.33659960067577943,0.07798658,0.7352941176470589,0.6013054830287207,0.6682998003378897,50,1527,2303,18,0.04961957409269652,0.18553644689586493,-0.11369756949698548,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_frenatus,Combined,2,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8006087294391918,0.5293031990674784,0.17098306000000002,0.8928571428571429,0.6364460562103355,0.7646515995337392,50,1203,2106,6,0.07036572140245737,0.2479175290761027,0.32379554792482984,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_frenatus,Combined,3,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8952139231327049,0.6789642252840222,0.15227244,0.8392857142857143,0.8396785109983079,0.8394821126420111,47,379,1985,9,0.03547027893676552,0.12427425970953336,0.638876761810459,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_frenatus,Combined,4,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8524381583619364,0.690910166883655,0.21778336,0.9705882352941176,0.7203219315895373,0.8454550834418275,66,139,358,2,0.10542924114643398,0.31497940103161276,0.1509348272887849,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_frenatus,Combined,5,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6981684841038243,0.3311088926432193,0.03252139,0.7794117647058824,0.5516971279373368,0.6655544463216096,53,1717,2113,15,0.04094850994546638,0.15891363291195043,-0.09452109115747943,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_frenatus,Combined,6,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8370299615766524,0.564418469110219,0.37569565,0.7321428571428571,0.8322756119673618,0.7822092345551095,41,555,2754,15,0.07116431810895908,0.2401533607294607,0.40607225889822657,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_frenatus,Combined,7,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8727414189025864,0.6361493836113126,0.16199838,0.8214285714285714,0.8147208121827412,0.8180746918056563,46,438,1926,10,0.04181749778572115,0.1482881897982986,0.6575946344793469,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_frenatus,Combined,8,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8469345484672742,0.6232690259202274,0.11917393,0.9411764705882352,0.682092555331992,0.8116345129601137,64,158,339,4,0.10632407633686884,0.31143686997329495,0.12881378774706778,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_frenatus,Combined,9,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.7006796191061281,0.36618031024420206,0.03153517999999999,0.7941176470588235,0.5720626631853786,0.683090155122101,54,1639,2191,14,0.03598668102500423,0.14662295607004222,0.11667001468344568,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_frenatus,Combined,10,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8471646591546863,0.6081789923585028,0.24884473,0.8928571428571429,0.7153218495013599,0.8040894961792514,50,942,2367,6,0.07747027777338379,0.2643723973846567,0.236973446194984,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
Amphiprion_frenatus,Combined,11,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8678692289098381,0.6518914672467973,0.2114553,0.8392857142857143,0.812605752961083,0.8259457336233986,47,443,1921,9,0.04624627286788679,0.1650461549215809,0.6952931350324185,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11
Amphiprion_frenatus,Combined,12,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8384424192212097,0.6474138951355188,0.13513136,0.9411764705882352,0.7062374245472837,0.8237069475677594,64,146,351,4,0.11047890895077005,0.32144547979857646,-0.21448197089469184,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12
Amphiprion_frenatus,Combined,13,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6956995853171556,0.33589310397788363,0.0498309,0.7941176470588235,0.54177545691906,0.6679465519889418,54,1755,2075,14,0.04559094020412052,0.1734355887468801,0.07622695783004059,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13
Amphiprion_frenatus,Combined,14,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8435219962871822,0.61092582998748,0.19154856,0.9107142857142856,0.7002115442731943,0.80546291499374,51,992,2317,5,0.06556346845850494,0.22875296655893465,0.39909683813990654,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14
Amphiprion_frenatus,Combined,15,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8708152042542906,0.6201655789219243,0.17788909,0.8392857142857143,0.7808798646362098,0.8100827894609621,47,518,1846,9,0.04850804032105438,0.16495068332426013,0.7734858117173625,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,15
Amphiprion_frenatus,Combined,16,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8345070422535211,0.6447804473902239,0.1758104,0.9264705882352942,0.7183098591549296,0.8223902236951119,63,140,357,5,0.10765157592364932,0.3178935845353344,-0.12483939166958163,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,16
Amphiprion_frenatus,Combined,17,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6980072185532177,0.3356320073721393,0.01842805,0.7941176470588235,0.5415143603133159,0.6678160036860696,54,1756,2074,14,0.04004801892069998,0.15808716589872426,-0.23363746738358027,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,17
Amphiprion_frenatus,Combined,18,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8726201269265639,0.6546377843975306,0.29020607000000004,0.8392857142857143,0.8153520701118162,0.8273188921987653,47,611,2698,9,0.05672901679630021,0.20324993369888816,0.1951039241315237,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,18
Amphiprion_frenatus,Combined,19,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8664642252840222,0.6365723954556441,0.21483239,0.8214285714285714,0.8151438240270727,0.8182861977278221,46,437,1927,10,0.0461273954591815,0.16141139489790643,0.6102220740925784,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,19
Amphiprion_frenatus,Combined,20,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.872499704106995,0.6454018227009113,0.13912057,0.9411764705882352,0.704225352112676,0.8227009113504556,64,147,350,4,0.10093907904712028,0.3004876996742748,0.4996239187132416,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,20
Amphiprion_frenatus,Combined,21,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6900552910459223,0.34347258485639687,0.02859301,0.75,0.5934725848563969,0.6717362924281984,51,1557,2273,17,0.03791196415474027,0.14969789229178365,-0.1988748214047936,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,21
Amphiprion_frenatus,Combined,22,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8829059275568795,0.6761753658852481,0.30388778,0.8928571428571429,0.7833182230281052,0.838087682942624,50,717,2592,6,0.06798986887419436,0.23430018074328424,0.4457836380732541,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,22
Amphiprion_frenatus,Combined,23,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8793056562726613,0.6656997824510515,0.15670213000000002,0.8928571428571429,0.7728426395939086,0.8328498912255258,50,537,1827,6,0.04560075471700071,0.16038980999765476,0.5941012961871965,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,23
Amphiprion_frenatus,Combined,24,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8407207953603977,0.6053083205113032,0.17035488,0.8970588235294118,0.7082494969818913,0.8026541602556516,61,145,352,7,0.10762391050654373,0.32038729002129795,0.17440693969936708,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,24
Amphiprion_frenatus,Combined,25,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6904853325142067,0.3440024573798188,0.04493992999999999,0.7058823529411765,0.6381201044386423,0.6720012286899094,48,1386,2444,20,0.03892160825934412,0.15376802753889102,-0.3727484965807052,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,25
Amphiprion_frenatus,Combined,26,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8615356387341881,0.602793247852178,0.15295602,0.9285714285714286,0.6742218192807494,0.801396623926089,52,1078,2231,4,0.06504000750568881,0.22268559717057593,0.5858440378732968,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,26
Amphiprion_frenatus,Combined,27,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8671818346627991,0.5944222866811701,0.21853461,0.7678571428571429,0.8265651438240271,0.7972111433405851,43,410,1954,13,0.04467530551573002,0.15929357543007777,0.5613244628916841,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,27
Amphiprion_frenatus,Combined,28,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8275831459344302,0.6340987099064979,0.26458254000000003,0.9117647058823528,0.7223340040241448,0.8170493549532489,62,138,359,6,0.1145566294000584,0.3469913902616062,0.01515194995888905,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,28
Amphiprion_frenatus,Combined,29,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6587352173245278,0.2683458762094917,0.01504856,0.8529411764705882,0.41540469973890337,0.6341729381047458,58,2239,1591,10,0.04400473806720781,0.1678325840822692,-0.2939478292024476,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,29
Amphiprion_frenatus,Combined,30,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.80734900487847,0.5069399473297933,0.11167452,0.8928571428571429,0.6140828044726504,0.7534699736648967,50,1277,2032,6,0.06105443650210731,0.2130019047990589,0.3151560959993038,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,30
Amphiprion_frenatus,Combined,31,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8753701353637902,0.675852066715011,0.10360042,0.8928571428571429,0.7829949238578681,0.8379260333575055,50,513,1851,6,0.03556497078139432,0.13371624437574453,0.6736925634146261,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,31
Amphiprion_frenatus,Combined,32,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8508107468339449,0.6060776423245353,0.19809153,0.8676470588235294,0.738430583501006,0.8030388211622677,59,130,367,9,0.1021366584651931,0.3104627571884701,0.2987209273029472,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,32
Amphiprion_frenatus,Combined,33,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6640992167101828,0.2834126862233144,0.02796555,0.7941176470588235,0.48929503916449085,0.6417063431116572,54,1956,1874,14,0.04299168787364249,0.1662043996015392,-0.06017934765940704,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,33
Amphiprion_frenatus,Combined,34,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8731166083840608,0.6477410093683891,0.33747306,0.875,0.7727410093683892,0.8238705046841945,49,752,2557,7,0.08067960103806883,0.2694071509334043,0.22566198407111024,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,34
Amphiprion_frenatus,Combined,35,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8779912980420594,0.6952199661590526,0.22194727,0.875,0.8202199661590525,0.8476099830795263,49,425,1939,7,0.04618823414093952,0.16579894957530386,0.7093381538260225,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,35
Amphiprion_frenatus,Combined,36,h,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8637412711563499,0.6393656053970884,0.15840327,0.9411764705882352,0.6981891348088531,0.8196828026985442,64,150,347,4,0.10117041086976164,0.3060050189128584,0.27194021857714307,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,36
Amphiprion_frenatus,Combined,37,h,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6862041161111965,0.3051221010597449,0.10227772,0.5735294117647058,0.7315926892950392,0.6525610505298725,39,1028,2802,29,0.04072547675973449,0.1603466013069799,-0.10264224024639128,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,37
Amphiprion_frenatus,Combined,38,h,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8924416094633683,0.6736767689850192,0.4042518,0.8392857142857143,0.834391054699305,0.8368383844925096,47,548,2761,9,0.0815418763223018,0.2808721375317219,0.6998129170586312,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,38
Amphiprion_frenatus,Combined,39,h,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8822742929659173,0.6612581580855692,0.27129414,0.7678571428571429,0.8934010152284264,0.8306290790427846,43,252,2112,13,0.03674293417906649,0.13492251087110085,0.8296754734085217,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,39
