species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_frenatus,EnvOnly,1,lqh,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.652111810781754,0.2681922899708187,0.08029671,0.7352941176470589,0.5328981723237598,0.6340961449854093,50,1789,2041,18,0.0537371420844497,0.20293428994198515,-0.06325935857694796,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_frenatus,EnvOnly,2,lqh,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.7992973708068903,0.5407330656650693,0.2165556,0.8571428571428571,0.6835902085222122,0.7703665328325346,48,1047,2262,8,0.07474965349718045,0.265591040483596,0.23494491511432672,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_frenatus,EnvOnly,3,lqh,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8741917452260092,0.6227036499879139,0.16096608,0.8392857142857143,0.7834179357021996,0.811351824993957,47,512,1852,9,0.04304338808527817,0.15203479892576668,0.6814592433779694,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_frenatus,EnvOnly,4,lqh,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8688306308438869,0.6656704935495326,0.32064795,0.8970588235294118,0.7686116700201208,0.8328352467747663,61,115,382,7,0.1038940595747249,0.32812310189115274,0.49092317866800533,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_frenatus,EnvOnly,5,lqh,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6382237751497466,0.26644908616188,0.03422522999999999,0.75,0.5164490861618799,0.63322454308094,51,1852,1978,17,0.04348672850641247,0.17082352984455143,0.20933758679791323,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_frenatus,EnvOnly,6,lqh,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8462742304537408,0.6048007598324914,0.28455556,0.8571428571428571,0.7476579026896343,0.8024003799162457,48,835,2474,8,0.07882577532726064,0.27721249493683403,0.10058036944610252,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_frenatus,EnvOnly,7,lqh,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8576716219482717,0.6389291757312061,0.25493915,0.7857142857142857,0.8532148900169205,0.8194645878656031,44,347,2017,12,0.04443224120403608,0.1623620143776143,0.6330116574894646,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_frenatus,EnvOnly,8,lqh,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8683572020357438,0.6082376612616878,0.37157288,0.8235294117647058,0.7847082494969819,0.8041188306308439,56,107,390,12,0.10769842630171086,0.3363927696316501,0.83747202037325,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_frenatus,EnvOnly,9,lqh,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6434764245123636,0.3104745814774996,0.02544647,0.8235294117647058,0.4869451697127937,0.6552372907387498,56,1965,1865,12,0.03763414077412613,0.15560841596211114,0.12603863324373046,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_frenatus,EnvOnly,10,lqh,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.844061650045331,0.6090586279842851,0.27416045,0.875,0.7340586279842852,0.8045293139921426,49,880,2429,7,0.08093035937199336,0.28173026747674473,0.18939937448611313,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_frenatus,EnvOnly,11,lqh,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8540306985738458,0.6216461203770849,0.42503597,0.7142857142857143,0.9073604060913706,0.8108230601885424,40,219,2145,16,0.05467096932619352,0.18937678806587133,0.6799549183374,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_frenatus,EnvOnly,12,lqh,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8493904604095159,0.616907326310806,0.28773932,0.8382352941176471,0.778672032193159,0.808453663155403,57,110,387,11,0.107542403281212,0.3285845263258536,0.2139107795453187,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_frenatus,EnvOnly,13,lqh,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.65193518660728,0.30673475656581184,0.05052417,0.8088235294117647,0.497911227154047,0.6533673782829059,55,1923,1907,13,0.04779690334952748,0.18447336045316665,0.10454845471633446,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_frenatus,EnvOnly,14,lqh,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8420973103656694,0.6108448819237577,0.25663022,0.8571428571428571,0.7537020247809005,0.8054224409618789,48,815,2494,8,0.07031174463166512,0.2474659327740871,0.19773725694525376,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_frenatus,EnvOnly,15,lqh,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.863185883490452,0.6070522117476433,0.1897459,0.8392857142857143,0.7677664974619289,0.8035261058738217,47,549,1815,9,0.05202751314877452,0.1778112115921816,0.372584055189388,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_frenatus,EnvOnly,16,lqh,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8491241567049355,0.6255769913599241,0.31423353000000004,0.8529411764705882,0.772635814889336,0.812788495679962,58,113,384,10,0.10888153832333096,0.33718620547065886,0.16226530627186855,PC1;PC2;PC3;PC4;rugosity,16
Amphiprion_frenatus,EnvOnly,17,lqh,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.6198663799723545,0.2613807402856705,0.01387226,0.8676470588235294,0.393733681462141,0.6306903701428352,59,2322,1508,9,0.04258135978278707,0.17039439641654108,0.04394065488077825,PC1;PC2;PC3;PC4;rugosity,17
Amphiprion_frenatus,EnvOnly,18,lqh,0.5,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8707259422354617,0.6661755817467512,0.25153988,0.875,0.7911755817467513,0.8330877908733756,49,691,2618,7,0.05971985811437694,0.22112141446055364,0.02642216624998846,PC1;PC2;PC3;PC4;rugosity,18
Amphiprion_frenatus,EnvOnly,19,lqh,0.5,block_quadrant,4,3,248,10000,192,7636,56,2364,0.8485013294657965,0.6317379743775682,0.29342236,0.7857142857142857,0.8460236886632826,0.8158689871887841,44,364,2000,12,0.05052297753246385,0.17854421981110574,0.618508204226795,PC1;PC2;PC3;PC4;rugosity,19
Amphiprion_frenatus,EnvOnly,20,lqh,0.5,block_quadrant,4,4,248,10000,180,9503,68,497,0.8863770860456859,0.6676825659841401,0.31237893,0.8970588235294118,0.7706237424547284,0.83384128299207,61,114,383,7,0.10031434854587476,0.31576547575735014,0.7044228343701711,PC1;PC2;PC3;PC4;rugosity,20
Amphiprion_frenatus,EnvOnly,21,lqh,0.5,block_quadrant,4,1,248,10000,180,6170,68,3830,0.638457994163723,0.2842727691598832,0.01516829,0.8529411764705882,0.43133159268929505,0.6421363845799416,58,2178,1652,10,0.03871126519608707,0.1562057231792839,0.03887561007283428,PC1;PC2;PC3;PC4;rugosity,21
