species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_frenatus,HostOnly,1,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5621333128551682,0.18096298571647984,0.04447689,0.8676470588235294,0.3133159268929504,0.5904814928582399,59,2630,1200,9,0.08283164451708841,0.27396932263222545,0.14596309597585974,rugosity;biotic_suitability,1
Amphiprion_frenatus,HostOnly,2,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.7993891119457756,0.5365561455769978,0.30363113,0.8928571428571429,0.6436990027198549,0.7682780727884989,50,1179,2130,6,0.10524887461201042,0.3581473929683892,0.3615120079266281,rugosity;biotic_suitability,2
Amphiprion_frenatus,HostOnly,3,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.7597972564660382,0.4684856175972927,0.23494848,0.875,0.5934856175972927,0.7342428087986463,49,961,1403,7,0.12337319646397792,0.37837253773605056,0.4994359134690637,rugosity;biotic_suitability,3
Amphiprion_frenatus,HostOnly,4,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.902444076222038,0.7156764114096343,0.43633087,0.9852941176470588,0.7303822937625755,0.8578382057048172,67,134,363,1,0.11313109525311033,0.3523815940561914,0.8888663096321662,rugosity;biotic_suitability,4
Amphiprion_frenatus,HostOnly,5,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5714751958224543,0.17521886039010903,0.01788387,0.8676470588235294,0.30757180156657965,0.5876094301950545,59,2652,1178,9,0.07265135418016948,0.2425096272606547,0.11062466221328315,rugosity;biotic_suitability,5
Amphiprion_frenatus,HostOnly,6,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.7917907870310409,0.497188403920045,0.30204382,0.8392857142857143,0.6579026896343306,0.7485942019600225,47,1132,2177,9,0.11064716685768151,0.3605516535832903,0.4277113284216357,rugosity;biotic_suitability,6
Amphiprion_frenatus,HostOnly,7,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.7433904399323181,0.4460962049794537,0.42371554,0.7142857142857143,0.7318104906937394,0.7230481024897268,40,634,1730,16,0.13504714006868915,0.4077106748715545,0.6980068188242337,rugosity;biotic_suitability,7
Amphiprion_frenatus,HostOnly,8,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.895579358503965,0.7124215883536513,0.40548267,0.9558823529411764,0.7565392354124748,0.8562107941768257,65,121,376,3,0.10136839776940236,0.3125803845329914,0.8606508926979247,rugosity;biotic_suitability,8
Amphiprion_frenatus,HostOnly,9,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5613922592535708,0.1736522807556442,0.0182736,0.8676470588235294,0.3060052219321149,0.5868261403778221,59,2658,1172,9,0.07455285222058304,0.24812567647763437,0.089114311227367,rugosity;biotic_suitability,9
Amphiprion_frenatus,HostOnly,10,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8034796874325433,0.5627941112981909,0.35428692,0.8571428571428571,0.7056512541553339,0.7813970556490955,48,974,2335,8,0.11974443619355474,0.3916971891601426,0.4015266739105599,rugosity;biotic_suitability,10
Amphiprion_frenatus,HostOnly,11,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.7537089074208364,0.4496615905245347,0.39876711,0.75,0.6996615905245347,0.7248307952622673,42,710,1654,14,0.1490110168969465,0.4509980143379866,0.7724709083324224,rugosity;biotic_suitability,11
Amphiprion_frenatus,HostOnly,12,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.9180968161912652,0.7306781867676648,0.46886481,0.9117647058823528,0.8189134808853119,0.8653390933838324,62,90,407,6,0.09842455956598922,0.30687086537224445,0.8840292639795674,rugosity;biotic_suitability,12
Amphiprion_frenatus,HostOnly,13,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5723583166948242,0.15511442174781154,0.03177429,0.8676470588235294,0.287467362924282,0.5775572108739058,59,2729,1101,9,0.0755394869378574,0.25686798921931164,0.177711044907581,rugosity;biotic_suitability,13
Amphiprion_frenatus,HostOnly,14,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8401815395242412,0.6390040150239606,0.32833944000000004,0.8928571428571429,0.7461468721668177,0.8195020075119803,50,840,2469,6,0.09983216160164576,0.34085120757080917,0.577289293433673,rugosity;biotic_suitability,14
Amphiprion_frenatus,HostOnly,15,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.7425142011119168,0.43416122794295386,0.40313075,0.6964285714285714,0.7377326565143824,0.7170806139714769,39,620,1744,17,0.13550172058701848,0.42194382963321886,0.7306247365520447,rugosity;biotic_suitability,15
Amphiprion_frenatus,HostOnly,16,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.9187181915019528,0.7221564682210913,0.52310888,0.8529411764705882,0.869215291750503,0.8610782341105456,58,65,432,10,0.1024617496189947,0.3219613888813487,0.8592271516193555,rugosity;biotic_suitability,16
Amphiprion_frenatus,HostOnly,17,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5958262939640608,0.17835201965903869,0.01176165,0.8676470588235294,0.31070496083550914,0.5891760098295193,59,2640,1190,9,0.07169876531209037,0.2389151866172027,-0.10606364971222336,rugosity;biotic_suitability,17
Amphiprion_frenatus,HostOnly,18,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8441695807969607,0.6659003583300955,0.35370957000000003,0.8928571428571429,0.7730432154729525,0.8329501791650478,50,751,2558,6,0.09837929575738465,0.334164363573475,0.4404201025746005,rugosity;biotic_suitability,18
Amphiprion_frenatus,HostOnly,19,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.7541999033115785,0.4554024655547497,0.40625252,0.7142857142857143,0.7411167512690355,0.7277012327773749,40,612,1752,16,0.13490482417705266,0.4156460308170327,0.7604363080078665,rugosity;biotic_suitability,19
Amphiprion_frenatus,HostOnly,20,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.9350810746833944,0.7475440880577584,0.5316607,0.8823529411764706,0.8651911468812877,0.8737720440288792,60,67,430,8,0.09639779551329654,0.29975270823666417,0.6708071643674923,rugosity;biotic_suitability,20
Amphiprion_frenatus,HostOnly,21,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5834779603747504,0.18226846874520053,0.01253441,0.8676470588235294,0.31462140992167104,0.5911342343726003,59,2625,1205,9,0.06633846456990133,0.2270561704226461,0.14708623705904056,rugosity;biotic_suitability,21
Amphiprion_frenatus,HostOnly,22,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8575422009238872,0.7131254587056945,0.37653178,0.9464285714285714,0.766696887277123,0.8565627293528473,53,772,2537,3,0.1088331269885855,0.35759245005144946,0.4302070197183234,rugosity;biotic_suitability,22
Amphiprion_frenatus,HostOnly,23,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.7583544839255499,0.4684554024655547,0.37561998,0.7857142857142857,0.682741116751269,0.7342277012327774,44,750,1614,12,0.14629493041603717,0.4469431157727146,0.7909774436090226,rugosity;biotic_suitability,23
Amphiprion_frenatus,HostOnly,24,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.9170316013729436,0.7054385134335424,0.52524578,0.8382352941176471,0.8672032193158954,0.8527192567167712,57,66,431,11,0.10313409452126716,0.31986588388709797,0.905326573503082,rugosity;biotic_suitability,24
Amphiprion_frenatus,HostOnly,25,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.58395023805867,0.18592382122561824,0.01537651,0.8676470588235294,0.3182767624020888,0.5929619106128091,59,2611,1219,9,0.07080291402869719,0.23546170576262815,0.197350876413186,rugosity;biotic_suitability,25
Amphiprion_frenatus,HostOnly,26,lqh,1,block_quadrant,4,2,248,10000,192,6691,56,3309,0.8386327332383543,0.580597288779519,0.32577443,0.8392857142857143,0.7413115744938048,0.7902986443897595,47,856,2453,9,0.09561808702680816,0.32427142562826794,0.5645323213551521,rugosity;biotic_suitability,26
Amphiprion_frenatus,HostOnly,27,lqh,1,block_quadrant,4,3,248,10000,192,7636,56,2364,0.756518914672468,0.4688784143098865,0.30626867,0.7857142857142857,0.6831641285956007,0.7344392071549433,44,749,1615,12,0.1263964078449095,0.4016891909242194,0.6646616541353384,rugosity;biotic_suitability,27
Amphiprion_frenatus,HostOnly,28,lqh,1,block_quadrant,4,4,248,10000,180,9503,68,497,0.9168836548703988,0.7266540418984495,0.49493881,0.9117647058823528,0.8148893360160966,0.8633270209492248,62,92,405,6,0.10777336968353002,0.34839902270980644,0.903370931886038,rugosity;biotic_suitability,28
Amphiprion_frenatus,HostOnly,29,lqh,1,block_quadrant,4,1,248,10000,180,6170,68,3830,0.5505183535555215,0.14361849178313624,0.01369181,0.9117647058823528,0.2318537859007833,0.5718092458915681,62,2942,888,6,0.08186918224969741,0.2698079603697587,0.03473038626048003,rugosity;biotic_suitability,29
