species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_fuscocaudatus,HostOnly,1,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.369047619047619,0.05158730158730162,0.49142458,0.2857142857142857,0.7658730158730159,0.5257936507936508,2,59,193,5,0.16063960937129615,0.5602872825702573,0.1001001618472436,rugosity;biotic_suitability,1
Amphiprion_fuscocaudatus,HostOnly,2,l,0.5,block_quadrant,4,4,17,10000,11,5102,6,4898,0.6212059343949912,0.4133659997277801,0.32421993,0.8333333333333334,0.5800326663944467,0.70668299986389,5,2057,2841,1,0.13704699201263898,0.455089501367081,-0.4160553037034121,rugosity;biotic_suitability,2
Amphiprion_fuscocaudatus,HostOnly,3,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.4897959183673469,0.26190476190476186,0.3898441,0.5714285714285714,0.6904761904761905,0.6309523809523809,4,78,174,3,0.14989017441632227,0.5249074413410804,-0.1284612575751281,rugosity;biotic_suitability,3
Amphiprion_fuscocaudatus,HostOnly,4,l,0.5,block_quadrant,4,4,17,10000,11,5102,6,4898,0.718796787804546,0.515040152443174,0.503352,0.8333333333333334,0.6817068191098408,0.757520076221587,5,1559,3339,1,0.24395977894655732,0.6809671002540735,0.2900792313645354,rugosity;biotic_suitability,4
Amphiprion_fuscocaudatus,HostOnly,5,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.4801587301587302,0.24603174603174605,0.3649487,0.5714285714285714,0.6746031746031746,0.623015873015873,4,82,170,3,0.14211786987136205,0.521757094460941,-0.144271873892067,rugosity;biotic_suitability,5
Amphiprion_fuscocaudatus,HostOnly,6,l,0.5,block_quadrant,4,4,17,10000,11,5102,6,4898,0.5273240778549068,0.33129168368041384,0.1731069,0.8333333333333334,0.4979583503470804,0.6656458418402069,5,2459,2439,1,0.0820578847898045,0.3099308105884789,-0.6144072508178294,rugosity;biotic_suitability,6
Amphiprion_fuscocaudatus,HostOnly,7,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.4784580498866214,0.23809523809523817,0.37421993,0.5714285714285714,0.6666666666666666,0.6190476190476191,4,84,168,3,0.14570835360905687,0.5309241928207906,-0.01183069304225389,rugosity;biotic_suitability,7
Amphiprion_fuscocaudatus,HostOnly,8,l,0.5,block_quadrant,4,4,17,10000,11,5102,6,4898,0.5454607322716755,0.3455832312508509,0.14562016,0.8333333333333334,0.5122498979175174,0.6727916156254254,5,2389,2509,1,0.06970497126752732,0.2696401011252355,-0.6119883246335073,rugosity;biotic_suitability,8
Amphiprion_fuscocaudatus,HostOnly,9,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.3412698412698413,0,-1e-4,1,0,0.5,7,252,0,0,0.1621591125693982,0.5618237183786007,0.03229037478943342,rugosity;biotic_suitability,9
Amphiprion_fuscocaudatus,HostOnly,10,l,0.5,block_quadrant,4,4,17,10000,11,5102,6,4898,0.6212059343949912,0.4133659997277801,0.45607887,0.8333333333333334,0.5800326663944467,0.70668299986389,5,2057,2841,1,0.2189406584577408,0.6318081449771402,-0.44418874785916895,rugosity;biotic_suitability,10
Amphiprion_fuscocaudatus,HostOnly,11,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.42517006802721086,0.1944444444444444,0.48596554,0.42857142857142855,0.7658730158730159,0.5972222222222222,3,59,193,4,0.162220212913087,0.5551266948614381,-0.22908523800000724,rugosity;biotic_suitability,11
Amphiprion_fuscocaudatus,HostOnly,12,l,0.5,block_quadrant,4,4,17,10000,11,5102,6,4898,0.5215394038383013,0.3282292092010346,0.11577418,0.8333333333333334,0.4948958758677011,0.6641146046005173,5,2474,2424,1,0.05212959551507802,0.22052394105431208,-0.5181017117406379,rugosity;biotic_suitability,12
Amphiprion_fuscocaudatus,HostOnly,13,l,0.5,block_quadrant,4,1,17,10000,10,9748,7,252,0.3956916099773243,0.05158730158730162,0.48148098,0.2857142857142857,0.7658730158730159,0.5257936507936508,2,59,193,5,0.15590769208829136,0.5567741696441056,0.1403192198128323,rugosity;biotic_suitability,13
