species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_latezonatus,HostOnly,1,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.8878101402373247,0.8155339805825244,0.2145021,1,0.8155339805825242,0.9077669902912622,9,38,168,0,0.05553264567868576,0.20368502956932497,0.06410716446712957,rugosity;biotic_suitability,1
Amphiprion_latezonatus,HostOnly,2,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.866,0.7366888888888887,0.56677031,0.8888888888888888,0.8478,0.8683444444444444,8,761,4239,1,0.1290508366889141,0.38347069889182506,0.275332492619727,rugosity;biotic_suitability,2
Amphiprion_latezonatus,HostOnly,3,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.8705501618122977,0.7864077669902914,0.10993015,1,0.7864077669902912,0.8932038834951457,9,44,162,0,0.05246340332137678,0.1625842229432132,-0.19429779717466716,rugosity;biotic_suitability,3
Amphiprion_latezonatus,HostOnly,4,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.8874222222222222,0.7258,0.47347902,1,0.7258,0.8629,9,1371,3629,0,0.14441452659990106,0.4281975662557917,0.5580416886898231,rugosity;biotic_suitability,4
Amphiprion_latezonatus,HostOnly,5,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.8770226537216829,0.737864077669903,0.06497409999999999,1,0.7378640776699029,0.8689320388349515,9,54,152,0,0.04443048609197766,0.15535376555697103,-0.49045668151006017,rugosity;biotic_suitability,5
Amphiprion_latezonatus,HostOnly,6,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.8737555555555555,0.8344,0.56660157,1,0.8344,0.9172,9,828,4172,0,0.14580703909856155,0.4348429724905822,0.3355614753802923,rugosity;biotic_suitability,6
Amphiprion_latezonatus,HostOnly,7,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.8781014023732471,0.7815533980582523,0.09872529,1,0.7815533980582524,0.8907766990291262,9,45,161,0,0.04762629445326183,0.16343840462228368,-0.3853022637634227,rugosity;biotic_suitability,7
Amphiprion_latezonatus,HostOnly,8,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.8378666666666666,0.6912,0.38348354,1,0.6912,0.8456,9,1544,3456,0,0.12512181179990975,0.3787188872495848,0.3466903514451725,rugosity;biotic_suitability,8
Amphiprion_latezonatus,HostOnly,9,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.8295577130528586,0.6316073354908305,0.04735855999999999,0.8888888888888888,0.7427184466019418,0.8158036677454152,8,53,153,1,0.04727848454687529,0.16659286206338994,-0.7545344595440199,rugosity;biotic_suitability,9
Amphiprion_latezonatus,HostOnly,10,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.8384666666666667,0.6661999999999999,0.23204918,1,0.6662,0.8331,9,1669,3331,0,0.09390591560483916,0.28963061819575303,0.3394563377648945,rugosity;biotic_suitability,10
Amphiprion_latezonatus,HostOnly,11,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.9056094929881338,0.820388349514563,0.12712359,1,0.8203883495145631,0.9101941747572816,9,37,169,0,0.04261036982072781,0.14734495976521872,0.03957313280948724,rugosity;biotic_suitability,11
Amphiprion_latezonatus,HostOnly,12,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.8698666666666667,0.6619999999999999,0.25334466,1,0.662,0.831,9,1690,3310,0,0.1048303344562526,0.3195481725755128,0.28921761938741664,rugosity;biotic_suitability,12
Amphiprion_latezonatus,HostOnly,13,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.9018338727076592,0.7475728155339807,0.03061235,1,0.7475728155339806,0.8737864077669903,9,52,154,0,0.03680553399098294,0.1290247687560533,-0.17343464358892366,rugosity;biotic_suitability,13
Amphiprion_latezonatus,HostOnly,14,h,1.5,block_quadrant,4,3,33,10000,24,301,9,5000,0.8252444444444444,0.6476,0.24399469,1,0.6476,0.8238,9,1762,3238,0,0.09602557622226818,0.306810045012786,0.40649896447346107,rugosity;biotic_suitability,14
Amphiprion_latezonatus,HostOnly,15,h,1.5,block_quadrant,4,2,33,10000,24,9794,9,206,0.8392664509169363,0.674757281553398,0.02977676,1,0.6747572815533981,0.837378640776699,9,67,139,0,0.05000148280774178,0.1708824437920213,-0.5951190357119043,rugosity;biotic_suitability,15
