species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_latifasciatus,EnvOnly,1,lqh,0.5,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9111528592375366,0.8294538123167157,0.2207728,0.9090909090909092,0.9203629032258064,0.9147269061583578,10,158,1826,1,0.01558508103420232,0.07640157844338083,0.23335334047877915,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_latifasciatus,EnvOnly,2,lqh,0.5,block_quadrant,4,3,36,10000,25,9696,11,304,0.63127990430622,0.3723086124401913,0.91564094,0.4545454545454546,0.9177631578947368,0.6861543062200957,5,25,279,6,0.3001593209836191,0.8872590565434,0.15272349200000482,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_latifasciatus,EnvOnly,3,lqh,0.5,block_quadrant,4,4,36,10000,29,2417,7,5000,0.9124,0.8488,0.01882003,1,0.8488,0.9244,7,756,4244,0,0.01098289713356384,0.03966452600094763,-0.5055555725233322,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_latifasciatus,EnvOnly,4,lqh,0.5,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9343383431085044,0.8798570381231672,0.17834358,0.9090909090909092,0.970766129032258,0.9399285190615836,10,58,1926,1,0.00709108499385641,0.0449642635598811,0.41358562297966744,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_latifasciatus,EnvOnly,5,lqh,0.5,block_quadrant,4,3,36,10000,25,9696,11,304,0.6465311004784688,0.4315191387559809,0.87501283,0.4545454545454546,0.9769736842105264,0.7157595693779905,5,7,297,6,0.16761835177905704,0.5745561352804673,0.27273313146719513,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_latifasciatus,EnvOnly,6,lqh,0.5,block_quadrant,4,4,36,10000,29,2417,7,5000,0.9281142857142856,0.7845428571428572,0.15921310000000002,0.8571428571428571,0.9274,0.8922714285714286,6,363,4637,1,0.01676611867370725,0.07086148572879404,-0.4273375722358944,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_latifasciatus,EnvOnly,7,lqh,0.5,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9154142228739004,0.8571755865102639,0.11093795,0.9090909090909092,0.9480846774193548,0.928587793255132,10,103,1881,1,0.0055381892999773,0.03513141897398984,-0.03269162856415295,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_latifasciatus,EnvOnly,8,lqh,0.5,block_quadrant,4,3,36,10000,25,9696,11,304,0.5263157894736842,0.22697368421052633,1.7861e-4,1,0.22697368421052633,0.6134868421052632,11,235,69,0,0.36695813019882584,1.3676343192577909,0.01229797419858204,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_latifasciatus,EnvOnly,9,lqh,0.5,block_quadrant,4,4,36,10000,29,2417,7,5000,0.9596,0.8574000000000002,0.05876645,1,0.8574,0.9287,7,713,4287,0,0.01454397952844813,0.06007153032356044,-0.155273836662438,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_latifasciatus,EnvOnly,10,lqh,0.5,block_quadrant,4,2,36,10000,25,8016,11,1984,0.8983229472140762,0.7901392961876832,0.14848152,0.9090909090909092,0.8810483870967742,0.8950696480938416,10,236,1748,1,0.01368178777037957,0.0649434892650087,0.19792149324705316,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_latifasciatus,EnvOnly,11,lqh,0.5,block_quadrant,4,3,36,10000,25,9696,11,304,0.6447368421052632,0.41836124401913866,0.89654813,0.4545454545454546,0.9638157894736842,0.7091806220095693,5,11,293,6,0.25427517082774137,0.7381757468313676,0.25961304303307053,PC1;PC2;PC3;PC4;rugosity,11
