species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_latifasciatus,HostOnly,1,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9156433284457478,0.7326796187683284,0.21630837,0.9090909090909092,0.8235887096774194,0.8663398093841642,10,350,1634,1,0.02990777204669538,0.13886018544577036,0.330923010431954,rugosity;biotic_suitability,1
Amphiprion_latifasciatus,HostOnly,2,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8421052631578947,0.6264952153110048,0.81071917,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.08614860901078171,0.3000729982930527,0.1075296277209626,rugosity;biotic_suitability,2
Amphiprion_latifasciatus,HostOnly,3,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.8625142857142857,0.6954,0.0119049,1,0.6954,0.8477,7,1523,3477,0,0.01661823504889252,0.05808330644422945,-0.3023657730402704,rugosity;biotic_suitability,3
Amphiprion_latifasciatus,HostOnly,4,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9167888563049852,0.7281433284457477,0.03808622,0.9090909090909092,0.8190524193548387,0.8640716642228738,10,359,1625,1,0.00699501143343912,0.04358684155202834,0.1008712554448004,rugosity;biotic_suitability,4
Amphiprion_latifasciatus,HostOnly,5,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8160885167464115,0.5705741626794258,0.58785184,0.6363636363636364,0.9342105263157896,0.7852870813397129,7,20,284,4,0.07803189038502038,0.27552270527350703,0.1091641785709966,rugosity;biotic_suitability,5
Amphiprion_latifasciatus,HostOnly,6,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.8808,0.7162,0.06633472,1,0.7162,0.8581,7,1419,3581,0,0.02205764024122543,0.09556569800745351,-0.32803285253522163,rugosity;biotic_suitability,6
Amphiprion_latifasciatus,HostOnly,7,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9097782258064516,0.8047562316715542,0.05621399,0.9090909090909092,0.8956653225806451,0.9023781158357772,10,207,1777,1,0.00686513259260107,0.03847062537617318,0.02986578607168181,rugosity;biotic_suitability,7
Amphiprion_latifasciatus,HostOnly,8,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8525717703349283,0.6264952153110048,0.7403449400000001,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.0892571672990188,0.30702289662740145,0.13348505510188458,rugosity;biotic_suitability,8
Amphiprion_latifasciatus,HostOnly,9,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.9226285714285716,0.7616,0.12396972,1,0.7616,0.8808,7,1192,3808,0,0.02838844415907921,0.11977692476075712,-0.19170372284288356,rugosity;biotic_suitability,9
Amphiprion_latifasciatus,HostOnly,10,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.920133797653959,0.8057642961876832,0.14741725,0.9090909090909092,0.8966733870967742,0.9028821480938416,10,205,1779,1,0.01678061050192302,0.06690672766191097,0.2106662101544534,rugosity;biotic_suitability,10
Amphiprion_latifasciatus,HostOnly,11,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8292464114832536,0.6264952153110048,0.69999963,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.10864982665112728,0.3507022642946292,0.14672218978964455,rugosity;biotic_suitability,11
Amphiprion_latifasciatus,HostOnly,12,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.9232285714285714,0.7835999999999999,0.07117593,1,0.7836,0.8917999999999999,7,1082,3918,0,0.02253686427734628,0.08827423179919167,-0.3537625400915067,rugosity;biotic_suitability,12
Amphiprion_latifasciatus,HostOnly,13,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.8975898093841642,0.7906433284457477,0.037313,0.9090909090909092,0.8815524193548387,0.8953216642228738,10,235,1749,1,0.00642850933900586,0.03560827905033783,0.10917195732578194,rugosity;biotic_suitability,13
Amphiprion_latifasciatus,HostOnly,14,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8032296650717703,0.6133373205741628,0.6260800400000001,0.6363636363636364,0.9769736842105264,0.8066686602870814,7,7,297,4,0.0716505676229685,0.2610920193580027,-0.1192338298407916,rugosity;biotic_suitability,14
Amphiprion_latifasciatus,HostOnly,15,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.8372571428571428,0.6724000000000001,0.03750166,1,0.6724,0.8362,7,1638,3362,0,0.02113171545464778,0.08756078598838157,-0.31942871214085516,rugosity;biotic_suitability,15
Amphiprion_latifasciatus,HostOnly,16,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9003390762463344,0.7669538123167157,0.15601123,0.9090909090909092,0.8578629032258065,0.8834769061583578,10,282,1702,1,0.01426614049061618,0.08054405969174806,0.06084814675857014,rugosity;biotic_suitability,16
Amphiprion_latifasciatus,HostOnly,17,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.840011961722488,0.6264952153110048,0.68891818,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.05739525717805201,0.22618164411912392,0.23139476996276723,rugosity;biotic_suitability,17
Amphiprion_latifasciatus,HostOnly,18,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.8587428571428571,0.6888000000000001,0.0629752,1,0.6888,0.8444,7,1556,3444,0,0.02872785184804311,0.11605900839769424,-0.32609396153686376,rugosity;biotic_suitability,18
Amphiprion_latifasciatus,HostOnly,19,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9029967008797654,0.7160465542521994,0.05866295,0.9090909090909092,0.8069556451612904,0.8580232771260997,10,383,1601,1,0.01026398632942594,0.06171821961947599,0.10825400138869162,rugosity;biotic_suitability,19
Amphiprion_latifasciatus,HostOnly,20,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8412081339712919,0.6264952153110048,0.79902027,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.11650641557518723,0.3715618066714392,0.2509162086257689,rugosity;biotic_suitability,20
Amphiprion_latifasciatus,HostOnly,21,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.7341428571428571,0.5855999999999999,0.05252884,1,0.5856,0.7928,7,2072,2928,0,0.04058706609509036,0.15319955350084818,-0.3893373528450827,rugosity;biotic_suitability,21
Amphiprion_latifasciatus,HostOnly,22,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.90258431085044,0.7402401026392962,0.15977507000000002,0.9090909090909092,0.8311491935483871,0.8701200513196481,10,335,1649,1,0.01726829851001943,0.10144532128311778,0.24372127399974627,rugosity;biotic_suitability,22
Amphiprion_latifasciatus,HostOnly,23,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8319377990430622,0.6264952153110048,0.80494205,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.09333063261505192,0.32079761736635565,0.1482245279713017,rugosity;biotic_suitability,23
Amphiprion_latifasciatus,HostOnly,24,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.8703428571428572,0.7061999999999999,0.0478805,1,0.7062,0.8531,7,1469,3531,0,0.02395361132243333,0.09665664150747416,-0.28656742074451663,rugosity;biotic_suitability,24
Amphiprion_latifasciatus,HostOnly,25,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9114736070381232,0.7180626832844574,0.10759749,0.9090909090909092,0.8089717741935484,0.8590313416422287,10,379,1605,1,0.02059125184458705,0.0930308112912498,0.08389036009099232,rugosity;biotic_suitability,25
Amphiprion_latifasciatus,HostOnly,26,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.833732057416268,0.6264952153110048,0.80639695,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.07819878332602517,0.2792154051734106,-0.12447867983673663,rugosity;biotic_suitability,26
Amphiprion_latifasciatus,HostOnly,27,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.7649142857142858,0.5853999999999999,0.05316013,1,0.5854,0.7927,7,2073,2927,0,0.02356514496810574,0.1105932193380913,-0.10401382592585302,rugosity;biotic_suitability,27
Amphiprion_latifasciatus,HostOnly,28,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.8929618768328446,0.7484879032258065,0.07983454999999999,1,0.7484879032258065,0.8742439516129032,11,499,1485,0,0.02064393024367635,0.0996989538062008,0.24840438834385875,rugosity;biotic_suitability,28
Amphiprion_latifasciatus,HostOnly,29,lqh,1,block_quadrant,4,3,36,10000,25,9696,11,304,0.8331339712918661,0.6264952153110048,0.6978657,0.6363636363636364,0.9901315789473684,0.8132476076555024,7,3,301,4,0.10270941620010994,0.340710259713881,-0.00141695661155837,rugosity;biotic_suitability,29
Amphiprion_latifasciatus,HostOnly,30,lqh,1,block_quadrant,4,4,36,10000,29,2417,7,5000,0.8203714285714285,0.6642000000000001,0.08490451,1,0.6642,0.8321000000000001,7,1679,3321,0,0.03614429220007742,0.14332595219855174,-0.16132763239437128,rugosity;biotic_suitability,30
Amphiprion_latifasciatus,HostOnly,31,lqh,1,block_quadrant,4,2,36,10000,25,8016,11,1984,0.9126649560117304,0.7563691348973607,0.13253105,0.9090909090909092,0.8472782258064516,0.8781845674486803,10,303,1681,1,0.01824251584372586,0.09009569384711222,0.20672832240328445,rugosity;biotic_suitability,31
