species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_leucokranos,HostOnly,1,h,3,block_quadrant,4,2,19,10000,10,9574,9,426,0.9687010954616588,0.9460093896713616,0.27228512,1,0.9460093896713616,0.9730046948356808,9,23,403,0,0.02622989569069473,0.09929777180250632,0.1961583031921151,rugosity;biotic_suitability,1
Amphiprion_leucokranos,HostOnly,2,h,3,block_quadrant,4,3,19,10000,10,2673,9,5000,0.9309111111111112,0.8153999999999999,0.25459865000000004,1,0.8154,0.9077,9,923,4077,0,0.06476419094627213,0.20812194066424103,0.3834074456857671,rugosity;biotic_suitability,2
Amphiprion_leucokranos,HostOnly,3,h,3,block_quadrant,4,2,19,10000,10,9574,9,426,0.9715701617110069,0.9413145539906104,0.30206613,1,0.9413145539906104,0.9706572769953052,9,25,401,0,0.02303333576545144,0.09306309605329012,0.4228066580203694,rugosity;biotic_suitability,3
Amphiprion_leucokranos,HostOnly,4,h,3,block_quadrant,4,3,19,10000,10,2673,9,5000,0.9277333333333332,0.8304,0.25644479000000003,1,0.8304,0.9152,9,848,4152,0,0.05614889963075138,0.18624244389436564,0.43753434727839946,rugosity;biotic_suitability,4
Amphiprion_leucokranos,HostOnly,5,h,3,block_quadrant,4,2,19,10000,10,9574,9,426,0.9697443922796036,0.943661971830986,0.48029262,1,0.943661971830986,0.971830985915493,9,24,402,0,0.03538861598806837,0.13392650236315762,0.6928708347426252,rugosity;biotic_suitability,5
Amphiprion_leucokranos,HostOnly,6,h,3,block_quadrant,4,3,19,10000,10,2673,9,5000,0.9126444444444444,0.7922,0.09139076,1,0.7922,0.8961,9,1039,3961,0,0.04085231838639813,0.1409026530720361,-0.13834289277321493,rugosity;biotic_suitability,6
Amphiprion_leucokranos,HostOnly,7,h,3,block_quadrant,4,2,19,10000,10,9574,9,426,0.9597026604068858,0.903755868544601,0.5183772,1,0.903755868544601,0.9518779342723004,9,41,385,0,0.06553400135758719,0.23245197485759792,0.6759038475491358,rugosity;biotic_suitability,7
Amphiprion_leucokranos,HostOnly,8,h,3,block_quadrant,4,3,19,10000,10,2673,9,5000,0.9106666666666666,0.7915999999999999,0.17476987000000002,1,0.7916,0.8957999999999999,9,1042,3958,0,0.0633419852050769,0.19992123769686967,0.18176246583099168,rugosity;biotic_suitability,8
Amphiprion_leucokranos,HostOnly,9,h,3,block_quadrant,4,2,19,10000,10,9574,9,426,0.9647887323943662,0.943661971830986,0.39258058,1,0.943661971830986,0.971830985915493,9,24,402,0,0.0383579573055984,0.1606440683498593,0.34714719771265323,rugosity;biotic_suitability,9
Amphiprion_leucokranos,HostOnly,10,h,3,block_quadrant,4,3,19,10000,10,2673,9,5000,0.9105111111111112,0.7896000000000001,0.17713802,1,0.7896,0.8948,9,1052,3948,0,0.06365613689029918,0.2019114865476392,0.18176246583099168,rugosity;biotic_suitability,10
Amphiprion_leucokranos,HostOnly,11,h,3,block_quadrant,4,2,19,10000,10,9574,9,426,0.970266040688576,0.9389671361502347,0.54053111,1,0.9389671361502347,0.9694835680751174,9,26,400,0,0.04581245002390422,0.18017831448843696,0.6760734086800665,rugosity;biotic_suitability,11
