species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_melanopus,EnvOnly,1,h,0.5,block_quadrant,4,1,401,10000,348,8190,53,1810,0.9063171062232878,0.6751589700823519,0.62228098,0.7547169811320755,0.9204419889502764,0.837579485041176,40,144,1666,13,0.11677667289243124,0.3658552668216706,0.47630062897385805,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_melanopus,EnvOnly,2,h,0.5,block_quadrant,4,2,401,10000,253,9236,148,764,0.6820698316117164,0.3153035234187067,0.11640976,0.9121621621621622,0.4031413612565445,0.6576517617093534,135,456,308,13,0.13748949653490403,0.4267905251898687,0.7736842105263159,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_melanopus,EnvOnly,3,h,0.5,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7094033783783784,0.3542540540540542,0.02830284,0.8040540540540541,0.5502,0.6771270270270271,119,2249,2751,29,0.06962064038025499,0.2405744923635647,-0.38371788299095655,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_melanopus,EnvOnly,4,h,0.5,block_quadrant,4,1,401,10000,348,8190,53,1810,0.9001772125508183,0.665412279787345,0.35665945,0.9245283018867924,0.7408839779005525,0.8327061398936725,49,469,1341,4,0.09974619979816796,0.3366094132744513,0.83032685774712,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_melanopus,EnvOnly,5,h,0.5,block_quadrant,4,2,401,10000,253,9236,148,764,0.6342242111221169,0.24748832602235749,0.06555244,0.8783783783783784,0.36910994764397903,0.6237441630111787,130,482,282,18,0.14113427506421403,0.45205517972393106,0.3378675182651466,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_melanopus,EnvOnly,6,h,0.5,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7016905405405406,0.3973135135135135,0.06377653999999999,0.7635135135135135,0.6338,0.6986567567567568,113,1831,3169,35,0.06459248165381105,0.22911101867874745,-0.3000086091860032,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_melanopus,EnvOnly,7,h,0.5,block_quadrant,4,1,401,10000,348,8190,53,1810,0.9084019597623268,0.6987803606796623,0.46929974,0.8490566037735849,0.8497237569060774,0.8493901803398312,45,272,1538,8,0.10353586457787664,0.34106900392810374,0.6951873801259778,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_melanopus,EnvOnly,8,h,0.5,block_quadrant,4,2,401,10000,253,9236,148,764,0.7572077968020376,0.451004669591057,0.12737162000000002,0.8986486486486487,0.5523560209424084,0.7255023347955285,133,342,422,15,0.1266216057637032,0.3909738534331356,0.5410632715395112,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_melanopus,EnvOnly,9,h,0.5,block_quadrant,4,3,401,10000,253,2722,148,5000,0.694525,0.35132432432432426,0.07336653,0.8243243243243243,0.527,0.6756621621621621,122,2365,2635,26,0.07818798449983677,0.2699158380573727,0.05793831587487892,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_melanopus,EnvOnly,10,h,0.5,block_quadrant,4,1,401,10000,348,8190,53,1810,0.9134264567914104,0.6933388929427708,0.47302348,0.8679245283018868,0.825414364640884,0.8466694464713854,46,316,1494,7,0.1158779491114608,0.3732914845000489,0.73454148595487,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_melanopus,EnvOnly,11,h,0.5,block_quadrant,4,2,401,10000,253,9236,148,764,0.6959459459459459,0.34215367199660385,0.11507214,0.8918918918918919,0.450261780104712,0.6710768359983019,132,420,344,16,0.1335136967091964,0.41585933659467417,0.8073717319582725,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_melanopus,EnvOnly,12,h,0.5,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7239547297297297,0.4024540540540542,0.06641007,0.8040540540540541,0.5984,0.7012270270270271,119,2008,2992,29,0.06338655656605119,0.21967070049310972,-0.173258311004828,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_melanopus,EnvOnly,13,h,0.5,block_quadrant,4,1,401,10000,348,8190,53,1810,0.9116126342124464,0.6998019389137915,0.52070192,0.8301886792452831,0.8696132596685083,0.8499009694568957,44,236,1574,9,0.1126553211273376,0.3668447337478521,0.7581626333247881,PC1;PC2;PC3;PC4;rugosity,13
