species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_melanopus,HostOnly,1,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8578859585114146,0.6822370478473887,0.37188562,0.981132075471698,0.7011049723756906,0.84111852392369435,52,541,1269,1,0.1159857396797732,0.3660461612161945,0.35910275745181924,rugosity;biotic_suitability,1
Amphiprion_melanopus,HostOnly,2,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.6835379227394934,0.3866209141078252,0.10752608,0.9324324324324323,0.45418848167539266,0.6933104570539126,138,417,347,10,0.13948505159816924,0.4232036464400197,0.5630413826079781,rugosity;biotic_suitability,2
Amphiprion_melanopus,HostOnly,3,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7308439189189189,0.43305945945945945,0.25416893,0.7094594594594594,0.7236,0.7165297297297297,105,1382,3618,43,0.07782627892700959,0.2600080622307485,0.8015037593984963,rugosity;biotic_suitability,3
Amphiprion_melanopus,HostOnly,4,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8575211091420828,0.6529552798915876,0.27616465,0.981132075471698,0.6718232044198895,0.8264776399457938,52,594,1216,1,0.0938594022787886,0.3089241647232628,0.3402430547332106,rugosity;biotic_suitability,4
Amphiprion_melanopus,HostOnly,5,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.6326853686146879,0.3421182963067779,0.06543259,0.9324324324324323,0.4096858638743455,0.671059148153389,138,451,313,10,0.14519887253278985,0.4528605690833487,0.1505458242267321,rugosity;biotic_suitability,5
Amphiprion_melanopus,HostOnly,6,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7516013513513513,0.4035891891891892,0.29504599000000004,0.6891891891891891,0.7144,0.7017945945945946,102,1428,3572,46,0.0884481819674355,0.2915569230753395,0.81203007518797,rugosity;biotic_suitability,6
Amphiprion_melanopus,HostOnly,7,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8766496403627645,0.6601376003335766,0.32912148,0.981132075471698,0.6790055248618785,0.8300688001667883,52,581,1229,1,0.10261138869737985,0.3333654505836926,0.656086156728138,rugosity;biotic_suitability,7
Amphiprion_melanopus,HostOnly,8,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.7473379793405971,0.4723715862459317,0.11301233,0.9121621621621622,0.5602094240837696,0.7361857931229658,135,336,428,13,0.13188111456104257,0.39769202863304526,0.4924704380066016,rugosity;biotic_suitability,8
Amphiprion_melanopus,HostOnly,9,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7846385135135135,0.4421621621621621,0.36697548,0.6621621621621622,0.78,0.721081081081081,98,1100,3900,50,0.08830922662329221,0.29020274962349224,0.9413533834586466,rugosity;biotic_suitability,9
Amphiprion_melanopus,HostOnly,10,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8846971750234546,0.6761596997810904,0.37897728,0.981132075471698,0.6950276243093922,0.8380798498905452,52,552,1258,1,0.1092684384363286,0.3500070830635006,0.3751699949216993,rugosity;biotic_suitability,10
Amphiprion_melanopus,HostOnly,11,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.6884286118579312,0.4036366209141078,0.0921169,0.9324324324324323,0.4712041884816754,0.7018183104570539,138,404,360,10,0.13614391079878638,0.414093110571596,0.5039488885907721,rugosity;biotic_suitability,11
Amphiprion_melanopus,HostOnly,12,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7652804054054054,0.4438756756756757,0.39191096,0.6756756756756757,0.7682,0.7219378378378378,100,1159,3841,48,0.1022335743324256,0.3308155385183068,0.8626591440380237,rugosity;biotic_suitability,12
Amphiprion_melanopus,HostOnly,13,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8717189617429375,0.6468779318252893,0.31876941000000003,0.981132075471698,0.6657458563535912,0.8234389659126446,52,605,1205,1,0.10690209990568188,0.3465836734289332,0.33635900159698673,rugosity;biotic_suitability,13
Amphiprion_melanopus,HostOnly,14,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.7561111504174332,0.4411702278194425,0.12891763,0.918918918918919,0.5222513089005235,0.7205851139097212,136,365,399,12,0.1257661288864078,0.3869003639705514,0.7340677069643603,rugosity;biotic_suitability,14
Amphiprion_melanopus,HostOnly,15,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7792304054054054,0.4544486486486488,0.37024157,0.6486486486486487,0.8058,0.7272243243243244,96,971,4029,52,0.08291321760185788,0.27726755084971944,0.9729323308270678,rugosity;biotic_suitability,15
Amphiprion_melanopus,HostOnly,16,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8723548420723444,0.6568226832065047,0.32546066,0.981132075471698,0.6756906077348066,0.8284113416032524,52,587,1223,1,0.1025646053837044,0.33801783147039455,0.5003661936534044,rugosity;biotic_suitability,16
Amphiprion_melanopus,HostOnly,17,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.7263159756615254,0.4619003820574501,0.17088441,0.9121621621621622,0.5497382198952879,0.730950191028725,135,344,420,13,0.13046662940296333,0.3898037093068108,0.5302899322103144,rugosity;biotic_suitability,17
Amphiprion_melanopus,HostOnly,18,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7669621621621622,0.4321621621621623,0.37098663,0.6621621621621622,0.77,0.71608108108108115,98,1150,3850,50,0.0891992101840344,0.2905635525911142,0.9398496240601504,rugosity;biotic_suitability,18
Amphiprion_melanopus,HostOnly,19,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8675492546648598,0.6529552798915876,0.28750517000000003,0.981132075471698,0.6718232044198895,0.8264776399457938,52,594,1216,1,0.0959878865479248,0.3188838284240836,0.3658778054322881,rugosity;biotic_suitability,19
Amphiprion_melanopus,HostOnly,20,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.726616669025046,0.4370312721098062,0.12917040000000002,0.9121621621621622,0.524869109947644,0.7185156360549031,135,363,401,13,0.13311351940497204,0.39935758749401673,0.3585693740795571,rugosity;biotic_suitability,20
Amphiprion_melanopus,HostOnly,21,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7770804054054052,0.44518918918918926,0.35095237,0.6891891891891891,0.756,0.7225945945945946,102,1220,3780,46,0.0873974011952444,0.28249766011591726,0.9037593984962408,rugosity;biotic_suitability,21
Amphiprion_melanopus,HostOnly,22,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8610340873553632,0.6579276555821953,0.30479518,0.981132075471698,0.6767955801104972,0.8289638277910977,52,585,1225,1,0.09848856419448608,0.3235116489309893,0.5212399308812427,rugosity;biotic_suitability,22
Amphiprion_melanopus,HostOnly,23,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.6926117871798501,0.3774586104429036,0.05821108,0.9324324324324323,0.4450261780104712,0.6887293052214518,138,424,340,10,0.13581650408086912,0.42648377047739816,0.4334087005705229,rugosity;biotic_suitability,23
Amphiprion_melanopus,HostOnly,24,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7707777027027027,0.4394324324324326,0.34383896,0.6824324324324325,0.757,0.7197162162162163,101,1215,3785,47,0.08719809893072684,0.2867400842525843,0.9040993493822508,rugosity;biotic_suitability,24
Amphiprion_melanopus,HostOnly,25,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8618263317001981,0.6363806942562285,0.29176826,0.981132075471698,0.6552486187845303,0.8181903471281142,52,624,1186,1,0.1003985968744834,0.33099757024042487,0.5162484236619882,rugosity;biotic_suitability,25
Amphiprion_melanopus,HostOnly,26,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.7191081788594877,0.41279892457902934,0.09762034,0.9324324324324323,0.4803664921465969,0.7063994622895147,138,397,367,10,0.13265343555824183,0.40549700692651136,0.6077473163900655,rugosity;biotic_suitability,26
Amphiprion_melanopus,HostOnly,27,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7647837837837838,0.421945945945946,0.27691179,0.6959459459459459,0.726,0.710972972972973,103,1370,3630,45,0.08067404153383714,0.268368701711376,0.926315789473684,rugosity;biotic_suitability,27
Amphiprion_melanopus,HostOnly,28,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8719482956322319,0.6551652246429689,0.32281833,0.981132075471698,0.6740331491712708,0.8275826123214844,52,590,1220,1,0.10759421181254888,0.3496791429459718,0.3279252248382127,rugosity;biotic_suitability,28
Amphiprion_melanopus,HostOnly,29,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.710538417999151,0.4167256261497098,0.07532177999999999,0.9324324324324323,0.4842931937172774,0.7083628130748549,138,394,370,10,0.13484208069458398,0.4145893711455728,0.5838978327130656,rugosity;biotic_suitability,29
Amphiprion_melanopus,HostOnly,30,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7509283783783783,0.4318756756756757,0.32826018,0.6756756756756757,0.7562,0.7159378378378378,100,1219,3781,48,0.08930170737805446,0.29274643334537304,0.8627304107665905,rugosity;biotic_suitability,30
Amphiprion_melanopus,HostOnly,31,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8706869592411133,0.6535077660794331,0.30741329,0.981132075471698,0.6723756906077348,0.8267538830397165,52,593,1217,1,0.09798327314010548,0.3253715239655394,0.5163507660007455,rugosity;biotic_suitability,31
Amphiprion_melanopus,HostOnly,32,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.6614104287533606,0.3682963067779821,0.07456062,0.9324324324324323,0.43586387434554974,0.684148153388991,138,431,333,10,0.14106255004577525,0.437974841490176,0.37034272759776093,rugosity;biotic_suitability,32
Amphiprion_melanopus,HostOnly,33,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7558898648648649,0.4290756756756755,0.29958419000000003,0.6756756756756757,0.7534,0.7145378378378378,100,1233,3767,48,0.08320521528109698,0.27417948451335783,0.9157894736842106,rugosity;biotic_suitability,33
Amphiprion_melanopus,HostOnly,34,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8630668195559262,0.6275409152507037,0.31626559,0.981132075471698,0.6464088397790055,0.8137704576253518,52,640,1170,1,0.11068698828498218,0.3589929116951069,0.34462157748356015,rugosity;biotic_suitability,34
Amphiprion_melanopus,HostOnly,35,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.6644527380783926,0.3761497099193434,0.08934233999999999,0.9324324324324323,0.443717277486911,0.6880748549596717,138,425,339,10,0.1394750017950735,0.4269970557631317,0.5886341727265224,rugosity;biotic_suitability,35
Amphiprion_melanopus,HostOnly,36,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7661351351351351,0.4204756756756755,0.31559711,0.6756756756756757,0.7448,0.7102378378378378,100,1276,3724,48,0.08931767055173302,0.2945643507822946,0.9172932330827068,rugosity;biotic_suitability,36
Amphiprion_melanopus,HostOnly,37,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.853830918377984,0.6728447826540185,0.31913821000000003,0.981132075471698,0.6917127071823205,0.8364223913270092,52,558,1252,1,0.09755163757589544,0.3193534871076687,0.4948283695549204,rugosity;biotic_suitability,37
Amphiprion_melanopus,HostOnly,38,lqh,1,block_quadrant,4,2,401,10000,253,9236,148,764,0.7581187208150559,0.4841516909579737,0.13036440999999999,0.9121621621621622,0.5719895287958116,0.7420758454789869,135,327,437,13,0.12921586217881906,0.3871033059194613,0.35015099950010664,rugosity;biotic_suitability,38
Amphiprion_melanopus,HostOnly,39,lqh,1,block_quadrant,4,3,401,10000,253,2722,148,5000,0.7760648648648648,0.44318918918918904,0.35397007,0.6891891891891891,0.754,0.7215945945945945,102,1230,3770,46,0.09169722258789724,0.29869257388326703,0.9108688120648136,rugosity;biotic_suitability,39
Amphiprion_melanopus,HostOnly,40,lqh,1,block_quadrant,4,1,401,10000,348,8190,53,1810,0.8657145835505056,0.668424893151256,0.31729831000000003,0.981132075471698,0.687292817679558,0.834212446575628,52,566,1244,1,0.10122777178649964,0.326037000477441,0.3626096236191775,rugosity;biotic_suitability,40
