species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_nigripes,EnvOnly,1,lqh,0.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.88392799116137,0.6216936374861897,0.19394029,0.9565217391304348,0.6651718983557549,0.8108468187430948,44,224,445,2,0.07325110731062216,0.2548280747594482,0.6804840298399578,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_nigripes,EnvOnly,2,lqh,0.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.9254,0.6913096774193548,0.20926226,0.8387096774193549,0.8526,0.8456548387096774,26,737,4263,5,0.03109496203229778,0.14670770125943036,0.623800178591569,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_nigripes,EnvOnly,3,lqh,0.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.34087481146304677,0.07541478129713419,0.03272581999999999,1,0.07541478129713423,0.5377073906485671,31,613,50,0,0.5492743289536864,3.701164072772484,0.0460380636399255,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_nigripes,EnvOnly,4,lqh,0.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.890577123308047,0.6783132530120481,0.11983738,0.8222222222222222,0.856091030789826,0.8391566265060241,37,430,2558,8,0.0210486673544997,0.09776153007456592,0.21714338158107424,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_nigripes,EnvOnly,5,lqh,0.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8700201468772341,0.6142197959316307,0.22496353,0.9565217391304348,0.6576980568011959,0.8071098979658153,44,229,440,2,0.09056528525028935,0.29837269012242906,0.3876257981591218,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_nigripes,EnvOnly,6,lqh,0.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.9213225806451611,0.7007354838709676,0.48800484,0.7419354838709677,0.9588,0.8503677419354838,23,206,4794,8,0.05069187046851125,0.21143530733069585,0.7942653904510142,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_nigripes,EnvOnly,7,lqh,0.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4340972120858269,0.11331679073614565,0.37095509,0.6774193548387096,0.4358974358974359,0.5566583953680728,21,374,289,10,0.4639147734211621,2.355456945830998,0.46079518835326017,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_nigripes,EnvOnly,8,lqh,0.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.8508180871634687,0.6068273092369476,0.10647517,0.7333333333333333,0.8734939759036144,0.8034136546184738,33,378,2610,12,0.01914057096530459,0.09046909562820776,0.17540972988316336,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_nigripes,EnvOnly,9,lqh,0.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8830181321895106,0.6590628452589848,0.29947893000000003,0.9565217391304348,0.70254110612855,0.8295314226294924,44,199,470,2,0.10110270333759816,0.3326345258403874,0.5740907898190173,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_nigripes,EnvOnly,10,lqh,0.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8762064516129032,0.6252193548387095,0.44776815,0.6774193548387096,0.9478,0.8126096774193547,21,261,4739,10,0.04351580907635482,0.1821597575496904,0.6674211458707722,PC1;PC2;PC3;PC4;rugosity,10
