species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_nigripes,HostOnly,1,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8330733736270878,0.5559238318060702,0.30157382,0.9565217391304348,0.5994020926756353,0.7779619159030351,44,268,401,2,0.1100663962031286,0.3352375621719907,0.4616614055021016,rugosity;biotic_suitability,1
Amphiprion_nigripes,HostOnly,2,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8762967741935483,0.6290516129032258,0.42757682,0.8064516129032258,0.8226,0.8145258064516129,25,887,4113,6,0.06229505531810118,0.20171917576689968,0.3472343503784135,rugosity;biotic_suitability,2
Amphiprion_nigripes,HostOnly,3,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4854035907166837,0.1584683501192039,0.20782274,0.8387096774193549,0.31975867269984914,0.579234175059602,26,451,212,5,0.29857784414902466,0.8206065004445293,-0.02516453194105191,rugosity;biotic_suitability,3
Amphiprion_nigripes,HostOnly,4,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.9139595418711884,0.7036813922356091,0.28089104000000004,0.8666666666666667,0.8370147255689424,0.8518406961178046,39,487,2501,6,0.04522390951955415,0.1478094802859822,0.6423428139626094,rugosity;biotic_suitability,4
Amphiprion_nigripes,HostOnly,5,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8093520504321831,0.5627152791317345,0.32440946000000004,0.9782608695652174,0.5844544095665172,0.7813576395658672,45,278,391,1,0.1248405575001852,0.3768296712244326,0.721657072710394,rugosity;biotic_suitability,5
Amphiprion_nigripes,HostOnly,6,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8496645161290323,0.5796193548387096,0.5078006,0.6774193548387096,0.9022,0.7898096774193548,21,489,4511,10,0.0805444737588052,0.26184267716154264,0.5976804666800993,rugosity;biotic_suitability,6
Amphiprion_nigripes,HostOnly,7,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4616844256312947,0.16323651048508725,0.18560147,0.935483870967742,0.2277526395173454,0.5816182552425436,29,512,151,2,0.3642166745548366,1.0109786808783154,-0.2042086288754203,rugosity;biotic_suitability,7
Amphiprion_nigripes,HostOnly,8,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.915595716198126,0.7117135207496652,0.38597828,0.8666666666666667,0.8450468540829986,0.8558567603748326,39,463,2525,6,0.05264260576297291,0.17221771738387312,0.8505720938064925,rugosity;biotic_suitability,8
Amphiprion_nigripes,HostOnly,9,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8057126145447455,0.5541691037889127,0.39069768,0.8695652173913043,0.6846038863976084,0.7770845518944564,40,211,458,6,0.12898363363650175,0.3838345238411346,0.6453105295774851,rugosity;biotic_suitability,9
Amphiprion_nigripes,HostOnly,10,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8206774193548387,0.528367741935484,0.13837494,0.8709677419354839,0.6574,0.764183870967742,27,1713,3287,4,0.06679582813421546,0.2198255621919595,0.6892402252128454,rugosity;biotic_suitability,10
Amphiprion_nigripes,HostOnly,11,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4667931688804554,0.15418673672943117,0.19373255,0.935483870967742,0.2187028657616893,0.5770933683647156,29,518,145,2,0.3453630376344622,0.933589490149873,-0.01229162913480924,rugosity;biotic_suitability,11
Amphiprion_nigripes,HostOnly,12,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.9090287074222816,0.7061579651941097,0.23105065,0.8888888888888888,0.8172690763052208,0.8530789825970548,40,546,2442,5,0.04289672536648352,0.14499073271011537,0.6697161881828961,rugosity;biotic_suitability,12
Amphiprion_nigripes,HostOnly,13,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8241372587248976,0.56014817703256,0.42568786,0.8695652173913043,0.6905829596412556,0.78007408851628,40,207,462,6,0.12932551770718825,0.38109839818246394,0.8926795659155211,rugosity;biotic_suitability,13
Amphiprion_nigripes,HostOnly,14,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8879741935483871,0.7002516129032257,0.46858633,0.8064516129032258,0.8938,0.8501258064516128,25,531,4469,6,0.06014934254401167,0.1977124537678352,0.3860748817406522,rugosity;biotic_suitability,14
Amphiprion_nigripes,HostOnly,15,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4840655865323797,0.16172821485914457,0.240629,0.935483870967742,0.22624434389140272,0.5808641074295723,29,513,150,2,0.34610216017127293,0.9216434467985184,-0.04192467752952717,rugosity;biotic_suitability,15
Amphiprion_nigripes,HostOnly,16,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.907459467499628,0.6991298527443104,0.21533042,0.8888888888888888,0.8102409638554217,0.8495649263721552,40,567,2421,5,0.04273319004139143,0.14420248132809618,0.7575974979444525,rugosity;biotic_suitability,16
Amphiprion_nigripes,HostOnly,17,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8011633196854487,0.5612205108208228,0.2488855,0.9782608695652174,0.5829596412556054,0.7806102554104114,45,279,390,1,0.11514175805963169,0.35749772530606827,0.7419711996675028,rugosity;biotic_suitability,17
Amphiprion_nigripes,HostOnly,18,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8648,0.5727935483870967,0.456714,0.7741935483870968,0.7986,0.7863967741935484,24,1007,3993,7,0.07545113235966115,0.24670948704633636,0.3857929896312461,rugosity;biotic_suitability,18
Amphiprion_nigripes,HostOnly,19,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4849413710893787,0.15720332798131653,0.18144657,0.935483870967742,0.22171945701357465,0.5786016639906583,29,516,147,2,0.3277806752796739,0.8786331236017579,-0.15622752743384555,rugosity;biotic_suitability,19
Amphiprion_nigripes,HostOnly,20,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.9147181317864048,0.7149263721552879,0.36105253,0.8444444444444444,0.8704819277108434,0.8574631860776439,38,387,2601,7,0.04804847089271418,0.16200474749571894,0.6613873557430545,rugosity;biotic_suitability,20
Amphiprion_nigripes,HostOnly,21,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8183206602976538,0.5439656853187755,0.30565595,0.9565217391304348,0.5874439461883408,0.7719828426593878,44,276,393,2,0.122937610279865,0.36578749264447386,0.4838004465814472,rugosity;biotic_suitability,21
Amphiprion_nigripes,HostOnly,22,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.868716129032258,0.5868516129032257,0.34333705000000003,0.8064516129032258,0.7804,0.7934258064516129,25,1098,3902,6,0.06183697071376851,0.20381114295357008,0.7894165928581196,rugosity;biotic_suitability,22
Amphiprion_nigripes,HostOnly,23,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4541429475015813,0.1662531017369726,0.14333447000000002,0.935483870967742,0.2307692307692308,0.5831265508684863,29,510,153,2,0.3477863180187295,0.961291684089718,-0.19979113238047275,rugosity;biotic_suitability,23
Amphiprion_nigripes,HostOnly,24,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.9080544399821509,0.6910307898259704,0.39743508,0.8222222222222222,0.8688085676037484,0.8455153949129852,37,392,2596,8,0.05245537744699797,0.17217704427956748,0.5871739919977383,rugosity;biotic_suitability,24
Amphiprion_nigripes,HostOnly,25,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.7891076883083122,0.5313251446025866,0.1848676,0.9782608695652174,0.5530642750373692,0.7656625723012933,45,299,370,1,0.11926654478194922,0.36018078736621073,0.35923835407803506,rugosity;biotic_suitability,25
Amphiprion_nigripes,HostOnly,26,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.885541935483871,0.6503354838709678,0.48732901,0.7419354838709677,0.9084,0.8251677419354839,23,458,4542,8,0.06155211995171505,0.20209699967674313,0.7375893759380852,rugosity;biotic_suitability,26
Amphiprion_nigripes,HostOnly,27,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.4831898019753807,0.16450153262297484,0.27642842,0.8387096774193549,0.3257918552036199,0.5822507663114874,26,447,216,5,0.3134752904102096,0.8370350983712569,-0.11849309407887272,rugosity;biotic_suitability,27
Amphiprion_nigripes,HostOnly,28,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.9150899895879816,0.7346050870147254,0.35497901,0.8888888888888888,0.8457161981258366,0.8673025435073627,40,461,2527,5,0.04945458439474418,0.16477095427263175,0.8332134796471763,rugosity;biotic_suitability,28
Amphiprion_nigripes,HostOnly,29,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.7903749918762591,0.5537466692662636,0.25813374,0.9782608695652174,0.5754857997010463,0.7768733346331318,45,284,385,1,0.12114122560469195,0.3619314180001922,0.7303239880184523,rugosity;biotic_suitability,29
Amphiprion_nigripes,HostOnly,30,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8622451612903226,0.6068516129032258,0.3944388,0.8064516129032258,0.8004,0.8034258064516129,25,998,4002,6,0.06504840277123108,0.21114151876909557,0.5669513938430762,rugosity;biotic_suitability,30
Amphiprion_nigripes,HostOnly,31,lqh,1.5,block_quadrant,4,3,153,10000,122,9337,31,663,0.48601177443682186,0.1885369532428356,0.11962626,1,0.1885369532428356,0.5942684766214178,31,538,125,0,0.32200709370278213,0.898242190427236,0.04505501638019683,rugosity;biotic_suitability,31
Amphiprion_nigripes,HostOnly,32,lqh,1.5,block_quadrant,4,4,153,10000,108,7012,45,2988,0.9099137289900342,0.692235609103079,0.42773717,0.8,0.892235609103079,0.8461178045515395,36,322,2666,9,0.05727423752743996,0.19382101149871803,0.8264209784544003,rugosity;biotic_suitability,32
Amphiprion_nigripes,HostOnly,33,lqh,1.5,block_quadrant,4,1,153,10000,107,9331,46,669,0.8022681484369922,0.5642100474426464,0.2787408,0.9782608695652174,0.585949177877429,0.7821050237213232,45,277,392,1,0.12294512989769256,0.3759555899532323,0.7424455479855636,rugosity;biotic_suitability,33
Amphiprion_nigripes,HostOnly,34,lqh,1.5,block_quadrant,4,2,153,10000,122,4320,31,5000,0.8854,0.6166774193548388,0.47463108,0.7096774193548387,0.907,0.8083387096774194,22,465,4535,9,0.05811538806396334,0.19162181174716336,0.7398752934254967,rugosity;biotic_suitability,34
