species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_ocellaris,Combined,1,lqh,1,block_quadrant,4,1,591,10000,439,7268,152,2732,0.6928339562302536,0.29062957540263534,0.39032899,0.5,0.7906295754026355,0.6453147877013177,76,572,2160,76,0.11056525839442401,0.3613499879709887,0.8541353383458646,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_ocellaris,Combined,2,lqh,1,block_quadrant,4,2,591,10000,447,6949,144,3051,0.8193158436213992,0.4953089151098,0.28392957,0.8958333333333334,0.5994755817764668,0.7476544575549,129,1222,1829,15,0.10611506272185714,0.3438946618424783,0.420181199400128,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_ocellaris,Combined,3,lqh,1,block_quadrant,4,3,591,10000,446,6791,145,3209,0.7468252006748262,0.4105371745414299,0.18404047,0.7586206896551724,0.6519164848862574,0.705268587270715,110,1117,2092,35,0.08104090868995105,0.27692360649669634,0.8691729323308272,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_ocellaris,Combined,4,lqh,1,block_quadrant,4,4,591,10000,441,8992,150,1008,0.8450793650793651,0.5958333333333332,0.30467763000000003,0.8666666666666667,0.7291666666666666,0.7979166666666666,130,273,735,20,0.10873175321233484,0.33481228071358166,0.28206094510677543,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_ocellaris,Combined,5,lqh,1,block_quadrant,4,1,591,10000,439,7268,152,2732,0.633835343299684,0.26347576481467216,0.28645676000000003,0.5460526315789473,0.7174231332357247,0.6317378824073361,83,772,1960,69,0.10122862265647424,0.3540839437494815,0.790522808819256,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_ocellaris,Combined,6,lqh,1,block_quadrant,4,2,591,10000,447,6949,144,3051,0.8360567118249026,0.5432030481809242,0.30897394,0.8263888888888888,0.7168141592920354,0.7716015240904621,119,864,2187,25,0.09427708359572096,0.31228802251216614,0.6827067669172933,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_ocellaris,Combined,7,lqh,1,block_quadrant,4,3,591,10000,446,6791,145,3209,0.7627265986825845,0.4330149042026199,0.25447445,0.7655172413793103,0.6674976628233095,0.71650745210131,111,1067,2142,34,0.0920579336048426,0.31165153339931656,0.912781954887218,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_ocellaris,Combined,8,lqh,1,block_quadrant,4,4,591,10000,441,8992,150,1008,0.8056679894179894,0.5381746031746033,0.2802424,0.8933333333333333,0.6448412698412699,0.7690873015873017,134,358,650,16,0.12857080928657108,0.38551033533396967,0.4446953854812136,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_ocellaris,Combined,9,lqh,1,block_quadrant,4,1,591,10000,439,7268,152,2732,0.6772631386298836,0.2793500038529708,0.43092738,0.45394736842105265,0.825402635431918,0.6396750019264854,69,477,2255,83,0.1103878959381126,0.361179195071481,0.8406015037593986,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_ocellaris,Combined,10,lqh,1,block_quadrant,4,2,591,10000,447,6949,144,3051,0.8405497742088204,0.5308095706325795,0.45584107,0.7222222222222222,0.8085873484103573,0.7654047853162897,104,584,2467,40,0.11542776039505848,0.3685407610139122,0.9567507258021822,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
