species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_percula,EnvOnly,1,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.891013190472125,0.7479083070093058,0.43423965,0.903846153846154,0.844062153163152,0.8739541535046529,47,281,1521,5,0.10668597894690728,0.3559037366973272,0.5638784865593739,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_percula,EnvOnly,2,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.9225918858375508,0.7564091927320997,0.36981977,0.9411764705882352,0.8152327221438646,0.8782045963660499,48,131,578,3,0.08737333822013141,0.30772631211708706,0.7425198000358019,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_percula,EnvOnly,3,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6844549019607843,0.402513725490196,0.11507502,0.7843137254901961,0.6182,0.701256862745098,40,1909,3091,11,0.13118375927725415,0.6046988748992318,-0.13486913175727386,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_percula,EnvOnly,4,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9128692478442756,0.7800947664987621,0.5187281,0.903846153846154,0.8762486126526082,0.890047383249381,47,223,1579,5,0.10672916628456146,0.3486259569568159,0.3105830254477303,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_percula,EnvOnly,5,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8949915650322188,0.691529079897121,0.32818756,0.9411764705882352,0.7503526093088858,0.8457645399485605,48,177,532,3,0.09674844489157564,0.3378080269279039,0.415773918731042,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_percula,EnvOnly,6,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6602588235294118,0.3605058823529412,0.12381106,0.7647058823529411,0.5958,0.6802529411764706,39,2021,2979,12,0.13823361415591903,0.6166729235539505,0.01818233995066686,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_percula,EnvOnly,7,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9147261589686672,0.7414197899769488,0.43505113,0.9423076923076924,0.7991120976692564,0.8707098949884744,49,362,1440,3,0.1176510111801826,0.37798184584127176,0.5243471733902217,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_percula,EnvOnly,8,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.9018501617854476,0.7441300920932548,0.44907854,0.8823529411764706,0.8617771509167842,0.8720650460466274,45,98,611,6,0.0995344111881038,0.341842665161358,0.727037135194219,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_percula,EnvOnly,9,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.664721568627451,0.33733725490196065,0.06851388,0.8431372549019608,0.4942,0.6686686274509803,43,2529,2471,8,0.13270322692182468,0.5577653188644984,0.0015151949958889,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_percula,EnvOnly,10,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.8937345257406301,0.7675019209425424,0.40754776,0.9423076923076924,0.8251942286348501,0.8837509604712712,49,315,1487,3,0.09615630906375662,0.32435167935323417,0.3410198653604553,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_percula,EnvOnly,11,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8898752730993666,0.7335656406427169,0.25740603,0.9803921568627452,0.7531734837799718,0.8667828203213584,50,175,534,1,0.08012429238234924,0.28122717617796134,0.2511114476045494,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_percula,EnvOnly,12,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6769607843137255,0.384721568627451,0.11060515,0.803921568627451,0.5808,0.6923607843137255,41,2096,2904,10,0.12351169172535896,0.5044571903299085,0.02259038706452301,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_percula,EnvOnly,13,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9079174848458976,0.77917698283958,0.52518937,0.8846153846153846,0.8945615982241953,0.88958849141979,46,190,1612,6,0.10491938470116184,0.3508264801475518,0.5000470628976332,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_percula,EnvOnly,14,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8502170967117454,0.6645924942614565,0.31581642,0.9607843137254902,0.7038081805359662,0.8322962471307283,49,210,499,2,0.10567368136882012,0.3500248487745124,0.6602028434399655,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_percula,EnvOnly,15,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6555450980392157,0.3344588235294119,0.16719563,0.6470588235294118,0.6874,0.667229411764706,33,1563,3437,18,0.12496203815822712,0.6098004559968425,-0.3288010793561472,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_percula,EnvOnly,16,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9140111414667464,0.7209083923845299,0.46564267,0.8846153846153846,0.8362930077691454,0.8604541961922649,46,295,1507,6,0.10850031323913378,0.354686042655283,0.4983300122556898,PC1;PC2;PC3;PC4;rugosity,16
Amphiprion_percula,EnvOnly,17,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8693824497358887,0.6451229292845486,0.26137906,0.9215686274509804,0.7235543018335684,0.8225614646422743,47,196,513,4,0.08401196580900477,0.29117168291884554,0.4056071156262857,PC1;PC2;PC3;PC4;rugosity,17
Amphiprion_percula,EnvOnly,18,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6688078431372549,0.39850588235294104,0.14776170000000002,0.7647058823529411,0.6338,0.6992529411764705,39,1831,3169,12,0.13301672712055596,0.5748023088087694,0.1996237061577366,PC1;PC2;PC3;PC4;rugosity,18
Amphiprion_percula,EnvOnly,19,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9202008452147188,0.7675232647485699,0.54992001,0.8846153846153846,0.8829078801331853,0.883761632374285,46,211,1591,6,0.11100736663404707,0.3603218750923539,0.5270035991549462,PC1;PC2;PC3;PC4;rugosity,19
Amphiprion_percula,EnvOnly,20,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8734201720180315,0.6772864293813434,0.27780919,0.9607843137254902,0.7165021156558533,0.8386432146906717,49,201,508,2,0.08999401950359033,0.3112534351149351,0.7298455092626094,PC1;PC2;PC3;PC4;rugosity,20
Amphiprion_percula,EnvOnly,21,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6986705882352942,0.3677764705882351,0.03014393,0.9411764705882352,0.4266,0.6838882352941176,48,2867,2133,3,0.1061060509782083,0.38744843499491466,0.11073465964221615,PC1;PC2;PC3;PC4;rugosity,21
Amphiprion_percula,EnvOnly,22,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9029443780414924,0.7549304191923505,0.41311181,0.9230769230769232,0.8318534961154272,0.8774652095961752,48,303,1499,4,0.09762542730925874,0.3266466092655687,0.4747088648857718,PC1;PC2;PC3;PC4;rugosity,22
Amphiprion_percula,EnvOnly,23,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.9017948505213088,0.7171935064575901,0.33535161,0.9019607843137256,0.8152327221438646,0.858596753228795,46,131,578,5,0.08245653429761605,0.2865726343639258,0.6863026328429641,PC1;PC2;PC3;PC4;rugosity,23
Amphiprion_percula,EnvOnly,24,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.671721568627451,0.392521568627451,0.1301784,0.803921568627451,0.5886,0.6962607843137255,41,2057,2943,10,0.12357027551229732,0.4721356280231712,0.04754750834943126,PC1;PC2;PC3;PC4;rugosity,24
Amphiprion_percula,EnvOnly,25,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.906476777939042,0.7723256211047556,0.508845,0.903846153846154,0.8684794672586016,0.8861628105523778,47,237,1565,5,0.1207795083910874,0.3865711520422303,0.6824533083792333,PC1;PC2;PC3;PC4;rugosity,25
Amphiprion_percula,EnvOnly,26,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8923919356176886,0.7337039188030643,0.33271238000000003,0.9607843137254902,0.7729196050775741,0.8668519594015321,49,161,548,2,0.09270010989275958,0.317815325549307,0.5785058225969213,PC1;PC2;PC3;PC4;rugosity,26
Amphiprion_percula,EnvOnly,27,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6619725490196079,0.33571372549019607,0.16063595,0.7843137254901961,0.5514,0.667856862745098,40,2243,2757,11,0.1233007092543183,0.45551284286919014,0.28463887701298995,PC1;PC2;PC3;PC4;rugosity,27
Amphiprion_percula,EnvOnly,28,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.923413088021856,0.7573422692734568,0.48624949,0.903846153846154,0.853496115427303,0.8786711346367284,47,264,1538,5,0.11181997815732782,0.3651145880087986,0.5375529540533829,PC1;PC2;PC3;PC4;rugosity,28
Amphiprion_percula,EnvOnly,29,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.9175862164329766,0.7425813766973643,0.37606779,0.9019607843137256,0.840620592383639,0.8712906883486822,46,113,596,5,0.0890394163380992,0.31279963518987197,0.7221521719128845,PC1;PC2;PC3;PC4;rugosity,29
Amphiprion_percula,EnvOnly,30,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6878274509803921,0.33292156862745115,0.0852057,0.803921568627451,0.529,0.6664607843137256,41,2355,2645,10,0.10233829980203628,0.3701022499013806,0.02272792493833357,PC1;PC2;PC3;PC4;rugosity,30
Amphiprion_percula,EnvOnly,31,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9046091949116366,0.7760180995475112,0.50376727,0.9230769230769232,0.8529411764705882,0.8880090497737556,48,265,1537,4,0.11532158342140691,0.37496919943560064,0.3563033692953657,PC1;PC2;PC3;PC4;rugosity,31
Amphiprion_percula,EnvOnly,32,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.911972123122874,0.7454022511684504,0.42489001,0.9019607843137256,0.843441466854725,0.8727011255842252,46,111,598,5,0.09901579946788526,0.3415686021117367,0.472300861364822,PC1;PC2;PC3;PC4;rugosity,32
Amphiprion_percula,EnvOnly,33,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.7116039215686274,0.41932156862745096,0.07015152,0.803921568627451,0.6154,0.7096607843137255,41,1923,3077,10,0.11596470509194862,0.5539136880717078,0.07611172426781367,PC1;PC2;PC3;PC4;rugosity,33
Amphiprion_percula,EnvOnly,34,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9113111500042688,0.7800947664987621,0.55362197,0.903846153846154,0.8762486126526082,0.890047383249381,47,223,1579,5,0.12499629598111596,0.3913306398918613,0.4808518921906485,PC1;PC2;PC3;PC4;rugosity,34
Amphiprion_percula,EnvOnly,35,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8531485937111093,0.637794186786139,0.23270245,0.9607843137254902,0.6770098730606487,0.8188970933930695,49,229,480,2,0.08407049643527306,0.2919352532069064,0.6220266114002816,PC1;PC2;PC3;PC4;rugosity,35
Amphiprion_percula,EnvOnly,36,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.6891529411764706,0.3846666666666665,0.19202569,0.6666666666666666,0.718,0.6923333333333332,34,1410,3590,17,0.11294302134136656,0.5506481869229308,-0.28424392374246366,PC1;PC2;PC3;PC4;rugosity,36
Amphiprion_percula,EnvOnly,37,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9043530692393068,0.7543754802356357,0.47497313,0.9230769230769232,0.8312985571587126,0.8771877401178179,48,304,1498,4,0.12068075223184342,0.38526314480614626,0.5300765064386486,PC1;PC2;PC3;PC4;rugosity,37
Amphiprion_percula,EnvOnly,38,h,0.5,block_quadrant,4,2,205,10000,154,9291,51,709,0.8688569927265688,0.6620481761110648,0.28173252,0.9215686274509804,0.7404795486600846,0.8310240880555324,47,184,525,4,0.0861829624902095,0.29870377306148066,0.4395815530324309,PC1;PC2;PC3;PC4;rugosity,38
Amphiprion_percula,EnvOnly,39,h,0.5,block_quadrant,4,3,205,10000,154,2632,51,5000,0.701321568627451,0.3956745098039216,0.16545622,0.6862745098039216,0.7094,0.6978372549019608,35,1453,3547,16,0.12094821707504784,0.4937622806714837,-0.08151001431331072,PC1;PC2;PC3;PC4;rugosity,39
Amphiprion_percula,EnvOnly,40,h,0.5,block_quadrant,4,1,205,10000,153,8198,52,1802,0.9124957312387943,0.7688038931102195,0.49693714,0.9230769230769232,0.8457269700332963,0.8844019465551097,48,278,1524,4,0.1088487291945075,0.34778032661699154,0.4871581465144602,PC1;PC2;PC3;PC4;rugosity,40
