species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_perideraion,EnvOnly,1,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.800808309837381,0.5266786416272207,0.37946255,0.78301886792452835,0.7436597737026922,0.7633393208136103,83,657,1906,23,0.1087820190405181,0.3639744829789608,0.8877192982456141,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_perideraion,EnvOnly,2,lqh,0.5,block_quadrant,4,2,675,10000,443,7994,232,2006,0.713282566094819,0.30948103963970164,0.30839711000000003,0.5387931034482759,0.7706879361914257,0.6547405198198508,125,460,1546,107,0.10918853131495944,0.35981412670338775,0.5654135338345865,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_perideraion,EnvOnly,3,lqh,0.5,block_quadrant,4,3,675,10000,443,5021,232,4979,0.6872320643253388,0.3081303543849687,0.18815966,0.646551724137931,0.6615786302470376,0.6540651771924844,150,1685,3294,82,0.07895218618580097,0.27538996470131577,0.6070175438596491,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_perideraion,EnvOnly,4,lqh,0.5,block_quadrant,4,4,675,10000,570,9548,105,452,0.7987568478718922,0.5097977243994942,0.28496993000000004,0.8571428571428571,0.6526548672566371,0.7548988621997471,90,157,295,15,0.14807054434542596,0.4534492405848703,0.8785258236925698,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_perideraion,EnvOnly,5,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.8160138104668027,0.5272197233489644,0.43181628,0.6981132075471698,0.8291065158017947,0.7636098616744822,74,438,2125,32,0.1119062406638018,0.3712827550152557,0.9157894736842106,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_perideraion,EnvOnly,6,lqh,0.5,block_quadrant,4,2,675,10000,443,7994,232,2006,0.7110543369890329,0.31710901777426326,0.39114031,0.4741379310344827,0.8429710867397806,0.6585545088871316,110,315,1691,122,0.11330387414444842,0.369893197600528,0.5286150573098384,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_perideraion,EnvOnly,7,lqh,0.5,block_quadrant,4,3,675,10000,443,5021,232,4979,0.6944399235409409,0.3146188128068923,0.19349711,0.6681034482758621,0.6465153645310303,0.6573094064034462,155,1760,3219,77,0.08985542668035354,0.2987861694727829,0.7609022556390977,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_perideraion,EnvOnly,8,lqh,0.5,block_quadrant,4,4,675,10000,570,9548,105,452,0.7974504846186262,0.5148967551622419,0.30593513,0.8666666666666667,0.6482300884955752,0.7574483775811209,91,159,293,14,0.15253740724448217,0.46524834676675864,0.8694998734491531,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_perideraion,EnvOnly,9,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.7868653332253623,0.5047004174058995,0.4440575,0.660377358490566,0.8443230589153335,0.7523502087029498,70,399,2164,36,0.11535704084204682,0.38409420870517114,0.924812030075188,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_perideraion,EnvOnly,10,lqh,0.5,block_quadrant,4,2,675,10000,443,7994,232,2006,0.7100874101832434,0.3071088458761646,0.3636602,0.4870689655172414,0.8200398803589233,0.6535544229380823,113,361,1645,119,0.11322464988771488,0.3689075027201256,0.6045112781954888,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_perideraion,EnvOnly,11,lqh,0.5,block_quadrant,4,3,675,10000,443,5021,232,4979,0.7006478935667736,0.32702609580929565,0.27576972,0.5818965517241379,0.7451295440851576,0.6635130479046478,135,1269,3710,97,0.08431170391934045,0.28531840509147954,0.6165413533834586,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_perideraion,EnvOnly,12,lqh,0.5,block_quadrant,4,4,675,10000,570,9548,105,452,0.7835651074589127,0.4633375474083439,0.26027798,0.8571428571428571,0.6061946902654868,0.7316687737041719,90,178,274,15,0.15269613231266743,0.4604946655579749,0.7761197021091356,PC1;PC2;PC3;PC4;rugosity,12
Amphiprion_perideraion,EnvOnly,13,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.8102643570697664,0.48923357798570377,0.39608313,0.6792452830188679,0.8099882949668358,0.7446167889928519,72,487,2076,34,0.10624609001059164,0.3588542580090736,0.9353383458646616,PC1;PC2;PC3;PC4;rugosity,13
Amphiprion_perideraion,EnvOnly,14,lqh,0.5,block_quadrant,4,2,675,10000,443,7994,232,2006,0.7039334582459518,0.29226974249664783,0.34377692,0.5086206896551724,0.7836490528414756,0.6461348712483239,118,434,1572,114,0.11458782729979552,0.37263347507738465,0.8379090475971942,PC1;PC2;PC3;PC4;rugosity,14
Amphiprion_perideraion,EnvOnly,15,lqh,0.5,block_quadrant,4,3,675,10000,443,5021,232,4979,0.7016070946250113,0.3299452528204667,0.22477702,0.6336206896551724,0.6963245631652942,0.6649726264102334,147,1512,3467,85,0.07570921035672441,0.2673713605864323,0.9025950243416814,PC1;PC2;PC3;PC4;rugosity,15
Amphiprion_perideraion,EnvOnly,16,lqh,0.5,block_quadrant,4,4,675,10000,570,9548,105,452,0.8016013485040033,0.5190265486725663,0.34396175,0.8,0.7190265486725663,0.7595132743362831,84,127,325,21,0.1478484141789988,0.4521324753454686,0.8344622377303992,PC1;PC2;PC3;PC4;rugosity,16
Amphiprion_perideraion,EnvOnly,17,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.7999654002164327,0.4943756947562923,0.41969222,0.6886792452830188,0.8056964494732735,0.7471878473781461,73,498,2065,33,0.11050402215479124,0.3673993577004304,0.9228070175438596,PC1;PC2;PC3;PC4;rugosity,17
Amphiprion_perideraion,EnvOnly,18,lqh,0.5,block_quadrant,4,2,675,10000,443,7994,232,2006,0.7146169250868085,0.3317375459827414,0.32559778,0.5431034482758621,0.7886340977068793,0.6658687729913707,126,424,1582,106,0.10934517451520408,0.35988632581883245,0.7634449580890055,PC1;PC2;PC3;PC4;rugosity,18
Amphiprion_perideraion,EnvOnly,19,lqh,0.5,block_quadrant,4,3,675,10000,443,5021,232,4979,0.7063450976861438,0.32951240035736307,0.21083417,0.6508620689655172,0.6786503313918457,0.6647562001786815,151,1600,3379,81,0.0814991295019335,0.27701038407916956,0.9037593984962408,PC1;PC2;PC3;PC4;rugosity,19
Amphiprion_perideraion,EnvOnly,20,lqh,0.5,block_quadrant,4,4,675,10000,570,9548,105,452,0.7922250316055626,0.48786346396965863,0.32613759000000003,0.8285714285714286,0.6592920353982301,0.7439317319848293,87,154,298,18,0.15552361625484828,0.47570362607300926,0.9138774621459524,PC1;PC2;PC3;PC4;rugosity,20
Amphiprion_perideraion,EnvOnly,21,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.8182848813669124,0.5489182046393157,0.36219568,0.78301886792452835,0.7658993367147874,0.7744591023196579,83,600,1963,23,0.10753566778105224,0.36178072861255894,0.6827067669172933,PC1;PC2;PC3;PC4;rugosity,21
Amphiprion_perideraion,EnvOnly,22,lqh,0.5,block_quadrant,4,2,675,10000,443,7994,232,2006,0.7276854780486128,0.33423006841544334,0.3178452,0.5431034482758621,0.7911266201395812,0.6671150342077217,126,419,1587,106,0.1070314267625704,0.3548314182616753,0.8,PC1;PC2;PC3;PC4;rugosity,22
Amphiprion_perideraion,EnvOnly,23,lqh,0.5,block_quadrant,4,3,675,10000,443,5021,232,4979,0.6581054220830939,0.2776947662942981,0.19344667,0.6508620689655172,0.6268326973287809,0.6388473831471491,151,1858,3121,81,0.11312516707625732,0.35998694348706184,-0.09774436090225563,PC1;PC2;PC3;PC4;rugosity,23
Amphiprion_perideraion,EnvOnly,24,lqh,0.5,block_quadrant,4,4,675,10000,570,9548,105,452,0.803898019384745,0.5356721449641804,0.35702444,0.8476190476190476,0.6880530973451328,0.7678360724820902,89,141,311,16,0.15481688337766075,0.4726598675196757,0.7787812588376583,PC1;PC2;PC3;PC4;rugosity,24
Amphiprion_perideraion,EnvOnly,25,lqh,0.5,block_quadrant,4,1,675,10000,569,7437,106,2563,0.7993396594497898,0.5289791591516428,0.34825441,0.8301886792452831,0.6987904799063598,0.7644895795758214,88,772,1791,18,0.1112818817838832,0.3699551254688243,0.9191425997879454,PC1;PC2;PC3;PC4;rugosity,25
