species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_polymnus,EnvOnly,1,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.6448355282584303,0.41384672926632415,0.44328438,0.5238095238095238,0.8900372054568003,0.7069233646331621,11,266,2153,10,0.07891604765165014,0.28007951858035685,0.32319553409535384,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_polymnus,EnvOnly,2,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.8020626323240982,0.4811986127888399,0.49799181,0.6363636363636364,0.8448349764252036,0.74059930639442,21,362,1971,12,0.12426956846952392,0.40321058699452905,0.8123890351364458,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_polymnus,EnvOnly,3,lqh,1.5,block_quadrant,4,3,107,10000,74,5455,33,4545,0.7789512284561789,0.4798679867986799,0.03168763999999999,1,0.4798679867986798,0.73993399339934,33,2364,2181,0,0.06379324415382359,0.2087754697828044,0.4143425727593295,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_polymnus,EnvOnly,4,lqh,1.5,block_quadrant,4,4,107,10000,87,9297,20,703,0.8643669985775249,0.6321479374110952,0.53801905,0.8,0.8321479374110953,0.8160739687055476,16,118,585,4,0.13270595089476014,0.39627387045185064,0.5804152883933645,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_polymnus,EnvOnly,5,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.7448571822279966,0.4183940628752536,0.48103313,0.5238095238095238,0.8945845390657297,0.7091970314376268,11,255,2164,10,0.08678511652505802,0.30317965796702734,0.20904596238961465,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_polymnus,EnvOnly,6,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.8509787112444634,0.5441946252061984,0.22615996,0.9393939393939394,0.6048006858122589,0.7720973126030992,31,922,1411,2,0.0850954202511861,0.2976113669593639,0.7394151579937858,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_polymnus,EnvOnly,7,lqh,1.5,block_quadrant,4,3,107,10000,74,5455,33,4545,0.7756042270893756,0.4781078107810781,0.02677069,1,0.4781078107810781,0.7390539053905391,33,2372,2173,0,0.0434326090476212,0.15671972986839788,-0.00909116997533343,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_polymnus,EnvOnly,8,lqh,1.5,block_quadrant,4,4,107,10000,87,9297,20,703,0.8511379800853485,0.5866287339971552,0.45684717,0.8,0.786628733997155,0.7933143669985776,16,150,553,4,0.12509731590036158,0.3924982867086523,0.6797092988391763,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_polymnus,EnvOnly,9,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.6479851965589873,0.43906376109765954,0.52919407,0.5238095238095238,0.9152542372881356,0.7195318805488298,11,205,2214,10,0.0864983247413115,0.30132965314176197,0.41637893694166306,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_polymnus,EnvOnly,10,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.790710361220434,0.49503175778357944,0.22885394,0.9090909090909092,0.5859408486926704,0.7475158788917897,30,966,1367,3,0.0992105390102684,0.33296634920116774,0.8915672761465082,PC1;PC2;PC3;PC4;rugosity,10
