species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_polymnus,HostOnly,1,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.8179098013740428,0.5419594873914839,0.20235947,1,0.541959487391484,0.770979743695742,21,1108,1311,0,0.10537082002583732,0.3544999688032667,0.42730184623744794,rugosity;biotic_suitability,1
Amphiprion_polymnus,HostOnly,2,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.812012105625479,0.5868890360960657,0.32557077,0.8787878787878788,0.7081011573081869,0.7934445180480328,29,681,1652,4,0.11459962840794316,0.3737621054415491,0.7650203857870224,rugosity;biotic_suitability,2
Amphiprion_polymnus,HostOnly,3,lqh,1.5,block_quadrant,4,3,107,10000,74,5455,33,4545,0.7426342634263426,0.391919191919192,0.03109556,0.9696969696969696,0.4222222222222222,0.695959595959596,32,2626,1919,1,0.08170394567946379,0.2534729250555443,0.3863747239516708,rugosity;biotic_suitability,3
Amphiprion_polymnus,HostOnly,4,lqh,1.5,block_quadrant,4,4,107,10000,87,9297,20,703,0.8418207681365576,0.643954480796586,0.48508005,0.9,0.7439544807965861,0.821977240398293,18,180,523,2,0.1456699134269334,0.42959065064589624,0.567417061604023,rugosity;biotic_suitability,4
Amphiprion_polymnus,HostOnly,5,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.8110199019665741,0.5319592905372152,0.1957522,0.9523809523809524,0.5795783381562629,0.7659796452686076,20,1017,1402,1,0.10143507798823276,0.32972895212749653,0.43040185760015415,rugosity;biotic_suitability,5
Amphiprion_polymnus,HostOnly,6,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.8661237319617088,0.6651989245216847,0.35217549000000004,0.9090909090909092,0.7561080154307758,0.8325994622608424,30,569,1764,3,0.08735141086540416,0.2970324957469505,0.8772979026196761,rugosity;biotic_suitability,6
Amphiprion_polymnus,HostOnly,7,lqh,1.5,block_quadrant,4,3,107,10000,74,5455,33,4545,0.7454412107877454,0.4187618761876189,0.02297542,0.9696969696969696,0.44906490649064906,0.7093809380938094,32,2504,2041,1,0.06331491120128496,0.20477896692113087,0.03484948490544481,rugosity;biotic_suitability,7
Amphiprion_polymnus,HostOnly,8,lqh,1.5,block_quadrant,4,4,107,10000,87,9297,20,703,0.8689900426742532,0.682574679943101,0.45844663,0.95,0.732574679943101,0.8412873399715505,19,188,515,1,0.12613069637948435,0.3793005268887321,0.8454996442031619,rugosity;biotic_suitability,8
Amphiprion_polymnus,HostOnly,9,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.8055473532943562,0.5183172897104273,0.22795004,0.9523809523809524,0.565936337329475,0.7591586448552137,20,1050,1369,1,0.1153054149309119,0.3647227807111106,0.307290728370231,rugosity;biotic_suitability,9
Amphiprion_polymnus,HostOnly,10,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.8273259816337399,0.5565860057930354,0.32183995,0.8484848484848485,0.7081011573081869,0.7782930028965177,28,681,1652,5,0.10289582844234696,0.3371367494347817,0.8979300292076303,rugosity;biotic_suitability,10
Amphiprion_polymnus,HostOnly,11,lqh,1.5,block_quadrant,4,3,107,10000,74,5455,33,4545,0.7565156515651565,0.4466646664666467,0.09104112,0.8787878787878788,0.5678767876787679,0.7233323332333234,29,1964,2581,4,0.06982553923903978,0.231518200318397,0.2727350992600029,rugosity;biotic_suitability,11
Amphiprion_polymnus,HostOnly,12,lqh,1.5,block_quadrant,4,4,107,10000,87,9297,20,703,0.8210526315789474,0.6429587482219061,0.42518609,1,0.6429587482219061,0.8214793741109531,20,251,452,0,0.1437946899981122,0.4204689570297429,0.8765693510098378,rugosity;biotic_suitability,12
Amphiprion_polymnus,HostOnly,13,lqh,1.5,block_quadrant,4,1,107,10000,86,7581,21,2419,0.8184216224728833,0.5177464123309514,0.25446381,0.8571428571428571,0.6606035551880942,0.7588732061654757,18,821,1598,3,0.10022529212792504,0.3282081416848864,0.436708111923966,rugosity;biotic_suitability,13
Amphiprion_polymnus,HostOnly,14,lqh,1.5,block_quadrant,4,2,107,10000,74,7667,33,2333,0.8653184221122499,0.6550416293236696,0.37802374,0.8787878787878788,0.7762537505357908,0.8275208146618348,29,522,1811,4,0.10930853118648295,0.355580406301153,0.8221956438966999,rugosity;biotic_suitability,14
Amphiprion_polymnus,HostOnly,15,lqh,1.5,block_quadrant,4,3,107,10000,74,5455,33,4545,0.7381538153815381,0.4133813381338134,0.01510251,0.9090909090909092,0.5042904290429043,0.7066906690669067,30,2253,2292,3,0.06359545247513435,0.19656101617844648,0.07238738710136167,rugosity;biotic_suitability,15
Amphiprion_polymnus,HostOnly,16,lqh,1.5,block_quadrant,4,4,107,10000,87,9297,20,703,0.8224039829302987,0.6214082503556186,0.43328528,0.95,0.6714082503556188,0.8107041251778093,19,231,472,1,0.14208161800381347,0.4212635309916104,0.7498585247543251,rugosity;biotic_suitability,16
