species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_rubrocinctus,Combined,1,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.9104345823095824,0.7458538083538082,0.03864481999999999,0.9375,0.8083538083538083,0.8729269041769041,30,156,658,2,0.03382086672682602,0.12581335625892767,0.3264433823791038,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_rubrocinctus,Combined,2,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9991323210412149,0.9978308026030368,0.67585608,1,0.9978308026030368,0.9989154013015183,5,2,920,0,0.00969642776005545,0.03620321819039952,0.5590169943749475,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_rubrocinctus,Combined,3,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.99708,0.987,0.4376828,1,0.987,0.9935,5,65,4935,0,0.00734341001732632,0.02531349817416591,0.4156570529412459,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_rubrocinctus,Combined,4,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9619464461317728,0.8775612193903048,0.15594680000000002,1,0.8775612193903048,0.9387806096951524,31,245,1756,0,0.02464823529697611,0.08518429923866169,0.5794683821539282,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_rubrocinctus,Combined,5,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.9039465601965602,0.7427057739557741,0.00938657,0.96875,0.773955773955774,0.871352886977887,31,184,630,1,0.0344870747219906,0.12791481542073402,0.20251856989089775,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_rubrocinctus,Combined,6,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.999349240780911,0.9978308026030368,0.59290742,1,0.9978308026030368,0.9989154013015183,5,2,920,0,0.00731660756817656,0.02820911832725354,0.5368754921931592,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_rubrocinctus,Combined,7,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.98764,0.94,0.20454178,1,0.94,0.97,5,300,4700,0,0.01318800718038829,0.04640222266199345,0.2982788153996981,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_rubrocinctus,Combined,8,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9747787396624268,0.9065467266366816,0.23754775,1,0.9065467266366816,0.9532733633183408,31,187,1814,0,0.02493514173480204,0.08267612578029526,0.6654842078931712,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_rubrocinctus,Combined,9,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8892045454545454,0.7316492628992628,0.00288188,0.96875,0.7628992628992629,0.8658246314496314,31,193,621,1,0.03786784602461224,0.1535307117965162,0.1688535768005015,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_rubrocinctus,Combined,10,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9982646420824296,0.9934924078091107,0.62048138,1,0.9934924078091106,0.9967462039045554,5,6,916,0,0.0109001108693695,0.03745343060336745,0.5139940529625884,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
Amphiprion_rubrocinctus,Combined,11,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.99712,0.9928,0.55781686,1,0.9928,0.9964,5,36,4964,0,0.0066199297888043,0.02192929679501159,0.4271689832060356,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11
Amphiprion_rubrocinctus,Combined,12,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9758104818558464,0.9030484757621188,0.09685755,1,0.9030484757621188,0.9515242378810594,31,194,1807,0,0.01685665271863629,0.0555920314402437,0.3005838813387359,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12
Amphiprion_rubrocinctus,Combined,13,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.9016431203931204,0.7439342751842752,0.00112394999999999,0.96875,0.7751842751842751,0.8719671375921376,31,183,631,1,0.03465515418406321,0.14521597115072968,0.2132235222300251,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13
Amphiprion_rubrocinctus,Combined,14,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9991323210412149,0.9978308026030368,0.69205985,1,0.9978308026030368,0.9989154013015183,5,2,920,0,0.00757118617677597,0.0297929346013049,0.4330127018922193,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14
Amphiprion_rubrocinctus,Combined,15,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.9834,0.9194,0.15973165,1,0.9194,0.9597,5,403,4597,0,0.0130088724010966,0.04952055870893526,0.0566905205473443,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,15
Amphiprion_rubrocinctus,Combined,16,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9712321258725476,0.9142686721155552,0.24483637,0.967741935483871,0.9465267366316842,0.9571343360577776,30,107,1894,1,0.01938544046218145,0.0663213099673919,0.6109801578395164,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,16
Amphiprion_rubrocinctus,Combined,17,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8850967444717445,0.7255067567567568,3.7062e-4,0.96875,0.7567567567567568,0.8627533783783784,31,198,616,1,0.03422330277661518,0.16282286006746077,0.2211410588276674,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,17
Amphiprion_rubrocinctus,Combined,18,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.996529284164859,0.9934924078091107,0.58700434,1,0.9934924078091106,0.9967462039045554,5,6,916,0,0.00804781790041977,0.02967916036514959,0.4883010428994925,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,18
Amphiprion_rubrocinctus,Combined,19,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.91536,0.839,0.36799512,1,0.839,0.9195,5,805,4195,0,0.09685232578156198,0.2993048930182839,0.32157974723944677,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,19
Amphiprion_rubrocinctus,Combined,20,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9774387000048362,0.9045477261369316,0.09127632,1,0.9045477261369316,0.9522738630684656,31,191,1810,0,0.01503721791887331,0.05025639578324416,0.6403041659055059,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,20
Amphiprion_rubrocinctus,Combined,21,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8975353194103194,0.7427057739557741,0.00126272,0.96875,0.773955773955774,0.871352886977887,31,184,630,1,0.0333116709534185,0.1539470971682506,0.09581377510014144,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,21
Amphiprion_rubrocinctus,Combined,22,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9939262472885032,0.9869848156182212,0.59621979,1,0.9869848156182212,0.9934924078091106,5,12,910,0,0.01591151349169539,0.05191820714850016,0.5308507752463354,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,22
Amphiprion_rubrocinctus,Combined,23,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.98944,0.955,0.33162241000000003,1,0.955,0.9775,5,225,4775,0,0.01595173657850532,0.05805888948629093,0.511595726661013,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,23
Amphiprion_rubrocinctus,Combined,24,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9799696925730684,0.9030484757621188,0.11845375,1,0.9030484757621188,0.9515242378810594,31,194,1807,0,0.016438394772171058,0.05537098773123409,0.7672649973442528,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,24
Amphiprion_rubrocinctus,Combined,25,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8930436117936118,0.7353347665847667,0.00102802999999999,0.96875,0.7665847665847666,0.8676673832923834,31,190,624,1,0.03480342733330307,0.15679536744584757,0.2495556539478,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,25
Amphiprion_rubrocinctus,Combined,26,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.993058568329718,0.9859002169197396,0.46988862,1,0.9859002169197396,0.99295010845987,5,13,909,0,0.00994790282806474,0.03836779611887751,0.7150996767672461,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,26
Amphiprion_rubrocinctus,Combined,27,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.9954,0.9844,0.40975717,1,0.9844,0.9922,5,78,4922,0,0.00845630652220573,0.03019306283178983,0.6269028836079107,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,27
Amphiprion_rubrocinctus,Combined,28,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9767938611339492,0.9067724202414922,0.33343277,0.967741935483871,0.9390304847576212,0.953386210120746,30,122,1879,1,0.02205503273151774,0.07165628523533749,0.8803879367807119,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,28
Amphiprion_rubrocinctus,Combined,29,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8907017813267812,0.7500767813267815,0.00259319,0.96875,0.7813267813267812,0.8750383906633907,31,178,636,1,0.03420257511511827,0.14611051639177372,0.14366919636343775,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,29
Amphiprion_rubrocinctus,Combined,30,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9980477223427332,0.9956616052060738,0.64063339,1,0.9956616052060736,0.9978308026030368,5,4,918,0,0.01328588300859356,0.04703121140640991,0.6324615622826931,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,30
Amphiprion_rubrocinctus,Combined,31,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.9982,0.993,0.50064051,1,0.993,0.9965,5,35,4965,0,0.00625573847873769,0.02217655994800396,0.46121776596001113,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,31
Amphiprion_rubrocinctus,Combined,32,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.974891586464832,0.9102706711160548,0.33039696,0.967741935483871,0.942528735632184,0.9551353355580274,30,115,1886,1,0.02145864772099164,0.07100765059704572,0.26336779544656774,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,32
Amphiprion_rubrocinctus,Combined,33,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.905213452088452,0.7402487714987716,0.0030952,0.96875,0.7714987714987716,0.8701243857493858,31,186,628,1,0.03256173766887107,0.12807442053882467,0.473637365178064,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,33
Amphiprion_rubrocinctus,Combined,34,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9989154013015183,0.9956616052060738,0.63680874,1,0.9956616052060736,0.9978308026030368,5,4,918,0,0.00995901676179425,0.03752908131609746,0.5601120336112039,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,34
Amphiprion_rubrocinctus,Combined,35,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.98736,0.9412,0.39409586,1,0.9412,0.9706,5,294,4706,0,0.02508930440667417,0.08414103502474926,0.4850584147324097,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,35
Amphiprion_rubrocinctus,Combined,36,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9676049072238074,0.9025487256371814,0.23134761,1,0.9025487256371814,0.9512743628185908,31,195,1806,0,0.02562738413086116,0.08365226154899037,0.4821672658125428,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,36
Amphiprion_rubrocinctus,Combined,37,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8998771498771498,0.7390202702702702,0.00217029,0.96875,0.7702702702702703,0.8695101351351351,31,187,627,1,0.03295134939923948,0.13974121191939642,0.29358533527377817,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,37
Amphiprion_rubrocinctus,Combined,38,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.985466377440347,0.9761388286334056,0.39823903,1,0.9761388286334056,0.9880694143167028,5,22,900,0,0.01269305481632908,0.04150596281226077,0.23350371377351267,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,38
Amphiprion_rubrocinctus,Combined,39,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.9968,0.9858,0.4811137,1,0.9858,0.9929,5,71,4929,0,0.00935965140982362,0.03175264219140499,0.4391327004495555,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,39
Amphiprion_rubrocinctus,Combined,40,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9776160306943302,0.9000499750124937,0.12318432,1,0.9000499750124937,0.9500249875062468,31,200,1801,0,0.01913496713605945,0.06370933927339006,0.8026947765623853,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,40
