species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_rubrocinctus,HostOnly,1,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8647496928746928,0.613713144963145,0.01586613,0.96875,0.644963144963145,0.8068565724815725,31,289,525,1,0.05820835387588403,0.18901557080039655,0.25546907577109285,rugosity;biotic_suitability,1
Amphiprion_rubrocinctus,HostOnly,2,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9878524945770064,0.9609544468546638,0.51636911,1,0.9609544468546638,0.980477223427332,5,36,886,0,0.02673513115365928,0.09439167764406696,0.6065918978028361,rugosity;biotic_suitability,2
Amphiprion_rubrocinctus,HostOnly,3,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.94484,0.8639999999999999,0.24331385,1,0.864,0.932,5,680,4320,0,0.04248771380640717,0.12801540989027602,0.25489765918310664,rugosity;biotic_suitability,3
Amphiprion_rubrocinctus,HostOnly,4,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9172591123792944,0.7818348890071094,0.17519351000000002,0.967741935483871,0.8140929535232384,0.8909174445035547,30,372,1629,1,0.03812318305970121,0.1269692296355731,0.7392220676936316,rugosity;biotic_suitability,4
Amphiprion_rubrocinctus,HostOnly,5,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8684351965601965,0.6210841523341524,0.01142541,0.96875,0.6523341523341524,0.8105420761670762,31,283,531,1,0.05347389374699719,0.1778181325683452,0.34110200517936096,rugosity;biotic_suitability,5
Amphiprion_rubrocinctus,HostOnly,6,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.982646420824295,0.945770065075922,0.38675452,1,0.945770065075922,0.972885032537961,5,50,872,0,0.01929024341590965,0.06783300752793574,0.638353633796406,rugosity;biotic_suitability,6
Amphiprion_rubrocinctus,HostOnly,7,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.92856,0.851,0.1638899,1,0.851,0.9255,5,745,4255,0,0.04262703802465063,0.12831911116389233,0.01451355710593298,rugosity;biotic_suitability,7
Amphiprion_rubrocinctus,HostOnly,8,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.938925698441102,0.8153181473779241,0.27827541,0.967741935483871,0.847576211894053,0.907659073688962,30,305,1696,1,0.04143822424720807,0.1363731793191497,0.7666903672837264,rugosity;biotic_suitability,8
Amphiprion_rubrocinctus,HostOnly,9,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.844095515970516,0.5848433660933661,0.33439803,0.71875,0.8660933660933661,0.792421683046683,23,109,705,9,0.05350360453622301,0.1888852588382824,0.5531233110664158,rugosity;biotic_suitability,9
Amphiprion_rubrocinctus,HostOnly,10,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9876355748373102,0.9685466377440348,0.53061333,1,0.9685466377440348,0.9842733188720174,5,29,893,0,0.02187945131017361,0.07608104198037906,0.6065918978028361,rugosity;biotic_suitability,10
Amphiprion_rubrocinctus,HostOnly,11,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.93052,0.8637999999999999,0.16626359000000002,1,0.8638,0.9319,5,681,4319,0,0.0422644807746289,0.12324736296008083,0.13834289277321493,rugosity;biotic_suitability,11
Amphiprion_rubrocinctus,HostOnly,12,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9346697618932468,0.813319146878174,0.19726404,0.967741935483871,0.8455772113943029,0.906659573439087,30,309,1692,1,0.03381685162591488,0.11107377832612648,0.570248147316882,rugosity;biotic_suitability,12
Amphiprion_rubrocinctus,HostOnly,13,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8705082923832924,0.6370546683046683,0.01235844,0.96875,0.6683046683046683,0.8185273341523341,31,270,544,1,0.05241491596588888,0.17283976281688138,0.7193426763997325,rugosity;biotic_suitability,13
Amphiprion_rubrocinctus,HostOnly,14,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9876355748373102,0.9598698481561824,0.49039071,1,0.9598698481561824,0.9799349240780912,5,37,885,0,0.02303760041692925,0.08236664718072119,0.5313056693521294,rugosity;biotic_suitability,14
Amphiprion_rubrocinctus,HostOnly,15,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.9402,0.8508,0.2200035,1,0.8508,0.9254,5,746,4254,0,0.04426415757331219,0.1353255662245575,0.2269342029014156,rugosity;biotic_suitability,15
Amphiprion_rubrocinctus,HostOnly,16,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.9283664619303252,0.7958278925053603,0.17647319,0.967741935483871,0.8280859570214892,0.8979139462526802,30,344,1657,1,0.0331949015327346,0.11492685851330274,0.5191037345019638,rugosity;biotic_suitability,16
Amphiprion_rubrocinctus,HostOnly,17,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8652103808353808,0.6093366093366095,0.00448672,1,0.6093366093366094,0.8046683046683047,32,318,496,0,0.04985832428238274,0.1747465015471856,0.5724221486826145,rugosity;biotic_suitability,17
Amphiprion_rubrocinctus,HostOnly,18,lqh,0.5,block_quadrant,4,2,73,10000,68,9078,5,922,0.9869848156182212,0.9696312364425164,0.47352502,1,0.9696312364425164,0.9848156182212582,5,28,894,0,0.0194401964165999,0.07020209740528859,0.5194749763098756,rugosity;biotic_suitability,18
Amphiprion_rubrocinctus,HostOnly,19,lqh,0.5,block_quadrant,4,3,73,10000,68,3737,5,5000,0.9352,0.8444,0.22327295,1,0.8444,0.9222,5,778,4222,0,0.04769426699712013,0.15158873544738985,0.2656528346760647,rugosity;biotic_suitability,19
Amphiprion_rubrocinctus,HostOnly,20,lqh,0.5,block_quadrant,4,4,73,10000,42,7999,31,2001,0.927721623059438,0.7938288920056102,0.11280394,0.967741935483871,0.8260869565217391,0.8969144460028051,30,348,1653,1,0.03082152325181569,0.10212636364342216,0.7936755988669084,rugosity;biotic_suitability,20
Amphiprion_rubrocinctus,HostOnly,21,lqh,0.5,block_quadrant,4,1,73,10000,41,9186,32,814,0.8351504914004914,0.5816953316953317,0.24478466,0.75,0.8316953316953317,0.7908476658476659,24,137,677,8,0.05898438297803309,0.19471275647885392,0.4084988035159821,rugosity;biotic_suitability,21
