species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_sandaracinos,EnvOnly,1,lqh,1,block_quadrant,4,1,194,10000,157,7580,37,2420,0.793265579629216,0.4894795622068351,0.27003622,0.7027027027027027,0.7867768595041322,0.7447397811034175,26,516,1904,11,0.06605638028529141,0.23292794592178195,0.2697047092682251,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_sandaracinos,EnvOnly,2,lqh,1,block_quadrant,4,2,194,10000,134,7688,60,2312,0.7955377739331027,0.5057093425605537,0.18436871,0.85,0.6557093425605537,0.7528546712802768,51,796,1516,9,0.08042954528139455,0.26610632683176383,0.5067669172932331,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_sandaracinos,EnvOnly,3,lqh,1,block_quadrant,4,3,194,10000,134,5403,60,4597,0.7915633384091074,0.5396961786672467,0.24165714,0.7833333333333333,0.7563628453339134,0.7698480893336234,47,1120,3477,13,0.05522437097095156,0.20591920662397264,0.21886948287833435,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_sandaracinos,EnvOnly,4,lqh,1,block_quadrant,4,4,194,10000,157,9329,37,671,0.9158778748942684,0.7300519595601562,0.39085427,0.972972972972973,0.7570789865871833,0.8650259797800781,36,163,508,1,0.11002652077420852,0.3416917991836413,0.921872185110693,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_sandaracinos,EnvOnly,5,lqh,1,block_quadrant,4,1,194,10000,157,7580,37,2420,0.7829461693098057,0.5132789814607996,0.31049403000000003,0.6756756756756757,0.837603305785124,0.7566394907303998,25,393,2027,12,0.06379572540090632,0.22663279466523656,0.35683165628468944,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_sandaracinos,EnvOnly,6,lqh,1,block_quadrant,4,2,194,10000,134,7688,60,2312,0.7756199538638985,0.45683391003460194,0.19366898,0.85,0.6068339100346021,0.728416955017301,51,909,1403,9,0.09405497785134216,0.30296141625323286,0.33696880908756105,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_sandaracinos,EnvOnly,7,lqh,1,block_quadrant,4,3,194,10000,134,5403,60,4597,0.7946668116887825,0.5038032049887606,0.257156,0.7833333333333333,0.7204698716554274,0.7519016024943803,47,1285,3312,13,0.06793971104312,0.24138943718196967,0.465361973529174,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_sandaracinos,EnvOnly,8,lqh,1,block_quadrant,4,4,194,10000,157,9329,37,671,0.9180126475208442,0.7432633826076449,0.43503277,0.945945945945946,0.797317436661699,0.8716316913038225,35,136,535,2,0.10371534016878144,0.32462603119843925,0.8963810865586083,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_sandaracinos,EnvOnly,9,lqh,1,block_quadrant,4,1,194,10000,157,7580,37,2420,0.7938574938574938,0.5345208845208846,0.34065125,0.7027027027027027,0.8318181818181818,0.7672604422604423,26,407,2013,11,0.07439861928271041,0.25893779679061685,0.1744917015390718,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_sandaracinos,EnvOnly,10,lqh,1,block_quadrant,4,2,194,10000,134,7688,60,2312,0.774747693194925,0.4513264129181085,0.34323262,0.7333333333333333,0.7179930795847751,0.7256632064590542,44,652,1660,16,0.10623197657542956,0.34026520505004443,0.3900606833140973,PC1;PC2;PC3;PC4;rugosity,10
