species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_sebae,Combined,1,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5554769230769231,0.2522923076923078,0.66729256,0.3076923076923077,0.9446,0.6261461538461539,4,277,4723,9,0.16204570912449612,0.46679153684422864,-0.14426894355008013,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_sebae,Combined,2,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.5860499333302681,0.338314405260012,0.08577525999999999,1,0.33831440526001194,0.669157202630006,13,1107,566,0,0.10224800835544576,0.39761970969403665,-0.6304483256379366,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_sebae,Combined,3,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5179230769230769,0.24369230769230787,0.6067172200000001,0.3076923076923077,0.936,0.6218461538461539,4,320,4680,9,0.12435548123051993,0.3808680342157417,-0.22055942707732668,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_sebae,Combined,4,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.512989102947262,0.19780219780219777,0.16679977000000001,0.7692307692307693,0.42857142857142855,0.5989010989010989,10,956,717,3,0.14731369244147516,0.4887382057503708,-0.5928637399838542,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_sebae,Combined,5,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5626769230769231,0.23769230769230765,0.66310275,0.3076923076923077,0.93,0.6188461538461538,4,350,4650,9,0.18559216615358076,0.5290709059689462,0.18075642153615065,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_sebae,Combined,6,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.653363373028645,0.2994620442319187,0.06229742999999999,1,0.2994620442319187,0.6497310221159593,13,1172,501,0,0.11127086644279607,0.3823169029518264,-0.4307550174697711,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_sebae,Combined,7,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5591538461538461,0.2195692307692307,0.71951781,0.2307692307692308,0.9888,0.6097846153846154,3,56,4944,10,0.20621983199117544,0.5744750994343445,0.04073476053178733,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_sebae,Combined,8,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.4517908869373304,0.1795025058623385,0.10613444,0.9230769230769232,0.25642558278541544,0.5897512529311693,12,1244,429,1,0.14186374873227478,0.5464267702111841,-0.7181414945637757,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_sebae,Combined,9,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5407846153846154,0.2906923076923076,0.7492148200000001,0.3076923076923077,0.983,0.6453461538461538,4,85,4915,9,0.1856777290532649,0.5262898789340734,0.05855621826444429,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_sebae,Combined,10,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.4701365580026668,0.2229527794381352,0.08970644,1,0.22295277943813507,0.6114763897190676,13,1300,373,0,0.14932018772354613,0.5378960812923405,-0.5719463819296027,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
