species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_sebae,EnvOnly,1,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.49024615384615383,0.2584923076923076,0.66986091,0.3076923076923077,0.9508,0.6292461538461538,4,246,4754,9,0.1676147486324155,0.49383292734048295,-0.155273836662438,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_sebae,EnvOnly,2,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.554324336751115,0.2529771483746379,0.15523787,0.6923076923076923,0.5606694560669456,0.626488574187319,9,735,938,4,0.10458701156056097,0.41711664368591417,-0.7017235188342128,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_sebae,EnvOnly,3,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.4884307692307692,0.20629230769230755,0.52362713,0.3076923076923077,0.8986,0.6031461538461538,4,507,4493,9,0.12016908514001648,0.3901291156141072,-0.3369104152316577,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_sebae,EnvOnly,4,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.5179088693733045,0.35026897788404066,0.13335397000000002,1,0.35026897788404066,0.6751344889420203,13,1087,586,0,0.15300211165917632,0.509470700459046,-0.5316319736570687,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_sebae,EnvOnly,5,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5068307692307692,0.24269230769230776,0.6737970600000001,0.3076923076923077,0.935,0.6213461538461539,4,325,4675,9,0.19546749273048664,0.5690908523853572,-0.09711687457092186,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_sebae,EnvOnly,6,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.6550646006712952,0.3224975860959125,0.30270588000000004,0.6153846153846154,0.7071129707112971,0.6612487930479563,8,490,1183,5,0.11429929077677378,0.39273291705528873,-0.5219141193135253,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_sebae,EnvOnly,7,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.5140461538461538,0.2704923076923076,0.7075888,0.3076923076923077,0.9628,0.6352461538461538,4,186,4814,9,0.22441172648669744,0.6270555655412456,-0.19056334499481023,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_sebae,EnvOnly,8,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.4087544254908272,0.12851165570830836,0.09347158,1,0.1285116557083084,0.5642558278541542,13,1458,215,0,0.14071378300902437,0.5481749601002549,-0.7057901666474455,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_sebae,EnvOnly,9,h,1,block_quadrant,4,2,34,10000,21,4800,13,5000,0.48741538461538464,0.2782923076923076,0.73456654,0.3076923076923077,0.9706,0.6391461538461538,4,147,4853,9,0.1951825634666806,0.5631404594993662,-0.0930172512762238,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_sebae,EnvOnly,10,h,1,block_quadrant,4,3,34,10000,21,8327,13,1673,0.4526644903213941,0.15798427513908697,0.08707339,0.9230769230769232,0.2349073520621638,0.5789921375695435,12,1280,393,1,0.1420168515693049,0.5315221168839382,-0.5197740114193646,PC1;PC2;PC3;PC4;rugosity,10
