species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_tricinctus,Combined,1,h,3,block_quadrant,4,1,33,10000,28,4285,5,5000,0.98108,0.9552,0.50425112,1,0.9552,0.9776,5,224,4776,0,0.0336351274800083,0.11635331615707448,0.43773564256339415,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1
Amphiprion_tricinctus,Combined,2,h,3,block_quadrant,4,2,33,10000,21,9568,12,432,0.9747299382716048,0.9351851851851852,0.44779358,1,0.9351851851851852,0.9675925925925926,12,28,404,0,0.03086091076466733,0.09667401480961069,0.46626051631412047,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2
Amphiprion_tricinctus,Combined,3,h,3,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9542445482866044,0.8982346832814123,0.17901428,1,0.8982346832814122,0.9491173416407062,12,392,3460,0,0.01983854585008541,0.07827475795955306,0.1358015162312334,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3
Amphiprion_tricinctus,Combined,4,h,3,block_quadrant,4,1,33,10000,28,4285,5,5000,0.99168,0.9776,0.71760208,1,0.9776,0.9888,5,112,4888,0,0.04643504335837021,0.14477405784200706,0.6786515736056552,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4
Amphiprion_tricinctus,Combined,5,h,3,block_quadrant,4,2,33,10000,21,9568,12,432,0.9618055555555556,0.9050925925925926,0.09760392,1,0.9050925925925926,0.9525462962962964,12,41,391,0,0.0278961855880019,0.08932419224516593,0.5958504779797784,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5
Amphiprion_tricinctus,Combined,6,h,3,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9745586708203532,0.9148494288681204,0.28342106,1,0.9148494288681204,0.9574247144340602,12,328,3524,0,0.02106736881708342,0.08710076106719346,0.5994318098111325,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6
Amphiprion_tricinctus,Combined,7,h,3,block_quadrant,4,1,33,10000,28,4285,5,5000,0.98712,0.9768,0.68596206,1,0.9768,0.9884,5,116,4884,0,0.03877648346367386,0.1263912915158678,0.6891976496446588,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7
Amphiprion_tricinctus,Combined,8,h,3,block_quadrant,4,2,33,10000,21,9568,12,432,0.9839891975308642,0.9282407407407408,0.32077906,1,0.9282407407407408,0.9641203703703703,12,31,401,0,0.02465222018417688,0.08520337047211907,0.5263898375972038,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8
Amphiprion_tricinctus,Combined,9,h,3,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9750346140533056,0.90134994807892,0.20810791,1,0.90134994807892,0.95067497403946,12,380,3472,0,0.01596008882762032,0.07277945813548244,0.4536908340740852,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9
Amphiprion_tricinctus,Combined,10,h,3,block_quadrant,4,1,33,10000,28,4285,5,5000,0.98976,0.9698,0.6596111,1,0.9698,0.9849,5,151,4849,0,0.04137022105615717,0.1331117377242909,0.5818549941690324,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10
Amphiprion_tricinctus,Combined,11,h,3,block_quadrant,4,2,33,10000,21,9568,12,432,0.9731867283950616,0.9120370370370372,0.12956852000000002,1,0.9120370370370372,0.9560185185185186,12,38,394,0,0.0224895152205493,0.08041611276826575,0.2860794159408606,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11
Amphiprion_tricinctus,Combined,12,h,3,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9771979923849082,0.9356178608515058,0.30076790000000003,1,0.9356178608515056,0.9678089304257528,12,248,3604,0,0.01861126636275195,0.08085285987037139,0.3211345258245877,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,12
Amphiprion_tricinctus,Combined,13,h,3,block_quadrant,4,1,33,10000,28,4285,5,5000,0.98456,0.9742,0.55249686,1,0.9742,0.9871,5,129,4871,0,0.02703473219566431,0.09228429674287585,0.19086797172237424,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,13
Amphiprion_tricinctus,Combined,14,h,3,block_quadrant,4,2,33,10000,21,9568,12,432,0.9554398148148148,0.8541666666666665,0.04192080999999999,1,0.8541666666666666,0.9270833333333331,12,63,369,0,0.02509299619962794,0.08886992612499722,0.02212586533128091,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,14
