species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Amphiprion_tricinctus,EnvOnly,1,lqh,1,block_quadrant,4,1,33,10000,28,4285,5,5000,0.99064,0.9786,0.47034356,1,0.9786,0.9893,5,107,4893,0,0.01584506158492806,0.05823808206317079,0.32695733498592583,PC1;PC2;PC3;PC4;rugosity,1
Amphiprion_tricinctus,EnvOnly,2,lqh,1,block_quadrant,4,2,33,10000,21,9568,12,432,0.9774305555555556,0.9351851851851852,0.28094898,1,0.9351851851851852,0.9675925925925926,12,28,404,0,0.02348286259537309,0.07217582957989403,0.28894981426822713,PC1;PC2;PC3;PC4;rugosity,2
Amphiprion_tricinctus,EnvOnly,3,lqh,1,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9192194530979576,0.7819314641744548,0.01429005,1,0.7819314641744548,0.8909657320872274,12,840,3012,0,0.01267564084153036,0.04974198155732125,-0.16293904212714933,PC1;PC2;PC3;PC4;rugosity,3
Amphiprion_tricinctus,EnvOnly,4,lqh,1,block_quadrant,4,1,33,10000,28,4285,5,5000,0.99524,0.9906,0.69822555,1,0.9906,0.9953,5,47,4953,0,0.02454195535967659,0.08223408256760603,0.5297448343665538,PC1;PC2;PC3;PC4;rugosity,4
Amphiprion_tricinctus,EnvOnly,5,lqh,1,block_quadrant,4,2,33,10000,21,9568,12,432,0.9681712962962964,0.9050925925925926,0.03189977999999999,1,0.9050925925925926,0.9525462962962964,12,41,391,0,0.02241485196454319,0.0731447822410726,-0.05669467095138407,PC1;PC2;PC3;PC4;rugosity,5
Amphiprion_tricinctus,EnvOnly,6,lqh,1,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9880148840429214,0.9553478712357216,0.18922864,1,0.9553478712357216,0.9776739356178608,12,172,3680,0,0.00706832793010444,0.0358846058396757,0.4185005305419898,PC1;PC2;PC3;PC4;rugosity,6
Amphiprion_tricinctus,EnvOnly,7,lqh,1,block_quadrant,4,1,33,10000,28,4285,5,5000,0.99396,0.987,0.69738778,1,0.987,0.9935,5,65,4935,0,0.02644686622075561,0.08782112552821658,0.6151960381972025,PC1;PC2;PC3;PC4;rugosity,7
Amphiprion_tricinctus,EnvOnly,8,lqh,1,block_quadrant,4,2,33,10000,21,9568,12,432,0.9870756172839508,0.9560185185185186,0.28942616,1,0.9560185185185184,0.9780092592592592,12,19,413,0,0.01723862378384793,0.0555811358822802,0.49985143366185186,PC1;PC2;PC3;PC4;rugosity,8
Amphiprion_tricinctus,EnvOnly,9,lqh,1,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9863707165109036,0.9517133956386292,0.14557127,1,0.9517133956386292,0.9758566978193146,12,186,3666,0,0.0061071747735666,0.03052739188540705,0.05554902222241384,PC1;PC2;PC3;PC4;rugosity,9
Amphiprion_tricinctus,EnvOnly,10,lqh,1,block_quadrant,4,1,33,10000,28,4285,5,5000,0.99456,0.9862,0.67015077,1,0.9862,0.9931,5,69,4931,0,0.02489637641302678,0.08460152042430599,0.5947612047605821,PC1;PC2;PC3;PC4;rugosity,10
Amphiprion_tricinctus,EnvOnly,11,lqh,1,block_quadrant,4,2,33,10000,21,9568,12,432,0.9747299382716048,0.9236111111111112,0.05538344999999999,1,0.9236111111111112,0.9618055555555556,12,33,399,0,0.01915770020097424,0.06158670031227242,0.4506499485879248,PC1;PC2;PC3;PC4;rugosity,11
Amphiprion_tricinctus,EnvOnly,12,lqh,1,block_quadrant,4,3,33,10000,21,6148,12,3852,0.9576194184839044,0.8909657320872273,0.08488463,1,0.8909657320872274,0.9454828660436136,12,420,3432,0,0.0088810801906724,0.03972031267042283,-0.34905437451100957,PC1;PC2;PC3;PC4;rugosity,12
