species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Cryptodendrum_adhaesivum,Host,1,h,2,block_quadrant,4,1,126,10000,94,7643,32,2357,0.8414430420025456,0.5829709376325838,0.33706671,0.8125,0.7704709376325838,0.7914854688162919,26,541,1816,6,0.08349236826663824,0.29743496223399774,0.7133722631372701,PC1;PC2;PC3;PC4;rugosity,1
Cryptodendrum_adhaesivum,Host,2,h,2,block_quadrant,4,2,126,10000,95,6689,31,3311,0.8119318790736645,0.5050418448768035,0.2253308,0.967741935483871,0.5372999093929326,0.7525209224384017,30,1532,1779,1,0.10582552332008324,0.360841265216006,0.4769947823731832,PC1;PC2;PC3;PC4;rugosity,2
Cryptodendrum_adhaesivum,Host,3,h,2,block_quadrant,4,3,126,10000,95,6871,31,3129,0.8078536892132908,0.4884174063650142,0.23276121,0.8709677419354839,0.6174496644295302,0.7442087031825071,27,1197,1932,4,0.11644233670340055,0.373843887328336,0.6987959731959118,PC1;PC2;PC3;PC4;rugosity,3
Cryptodendrum_adhaesivum,Host,4,h,2,block_quadrant,4,4,126,10000,94,8797,32,1203,0.7759247714048213,0.480803200332502,0.18422691,0.96875,0.5120532003325021,0.740401600166251,31,587,616,1,0.11227190329690176,0.3696472402082759,0.3469796540585593,PC1;PC2;PC3;PC4;rugosity,4
Cryptodendrum_adhaesivum,Host,5,h,2,block_quadrant,4,1,126,10000,94,7643,32,2357,0.8393614764531183,0.5873462028001697,0.2969313,0.875,0.7123462028001697,0.7936731014000848,28,678,1679,4,0.09449724195654575,0.3424209657450933,0.5928146017353618,PC1;PC2;PC3;PC4;rugosity,5
Cryptodendrum_adhaesivum,Host,6,h,2,block_quadrant,4,2,126,10000,95,6689,31,3311,0.790731773852554,0.5314348067536363,0.24258081,0.9032258064516128,0.6282090003020235,0.7657174033768182,28,1231,2080,3,0.09536442386395726,0.3332812611381386,0.25145092361525634,PC1;PC2;PC3;PC4;rugosity,6
Cryptodendrum_adhaesivum,Host,7,h,2,block_quadrant,4,3,126,10000,95,6871,31,3129,0.8160805781502902,0.4964277982247241,0.29107595000000003,0.8387096774193549,0.6577181208053692,0.748213899112362,26,1071,2058,5,0.121109271936387,0.41069756275406705,0.6286273090381408,PC1;PC2;PC3;PC4;rugosity,7
Cryptodendrum_adhaesivum,Host,8,h,2,block_quadrant,4,4,126,10000,94,8797,32,1203,0.7880299251870324,0.5443162926018288,0.27632391,0.9375,0.6068162926018288,0.7721581463009144,30,473,730,2,0.11549120976709512,0.379988735746796,0.6848681381417852,PC1;PC2;PC3;PC4;rugosity,8
Cryptodendrum_adhaesivum,Host,9,h,2,block_quadrant,4,1,126,10000,94,7643,32,2357,0.8467861688587187,0.6070083792957148,0.38008232,0.84375,0.7632583792957149,0.8035041896478574,27,558,1799,5,0.11611443905677248,0.395149951726974,0.718202428051341,PC1;PC2;PC3;PC4;rugosity,9
Cryptodendrum_adhaesivum,Host,10,h,2,block_quadrant,4,2,126,10000,95,6689,31,3311,0.7729416120263832,0.4292339318595883,0.09734364,0.967741935483871,0.4614919963757173,0.7146169659297942,30,1783,1528,1,0.08237552185728637,0.2806195839966904,0.4439449374165707,PC1;PC2;PC3;PC4;rugosity,10
