species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Entacmaea_quadricolor,Host,1,lqh,0.5,block_quadrant,4,1,598,10000,476,7549,122,2451,0.7712057975667342,0.42284179759348817,0.27795277,0.7622950819672131,0.660546715626275,0.7114208987967441,93,832,1619,29,0.10605066511646286,0.3670927970360122,0.9157894736842106,PC1;PC2;PC3;PC4;rugosity,1
Entacmaea_quadricolor,Host,2,lqh,0.5,block_quadrant,4,2,598,10000,421,6750,177,3250,0.7901912212081703,0.47304823989569744,0.19858455,0.8813559322033898,0.5916923076923077,0.7365241199478487,156,1327,1923,21,0.09428162296425,0.33055949626377945,0.8852952863751324,PC1;PC2;PC3;PC4;rugosity,2
Entacmaea_quadricolor,Host,3,lqh,0.5,block_quadrant,4,3,598,10000,421,6802,177,3198,0.6565667807916671,0.2483013747999281,0.20574442,0.672316384180791,0.575984990619137,0.624150687399964,119,1356,1842,58,0.09066062344110372,0.3243568456708633,0.918796992481203,PC1;PC2;PC3;PC4;rugosity,3
Entacmaea_quadricolor,Host,4,lqh,0.5,block_quadrant,4,4,598,10000,476,8899,122,1101,0.7921598844567532,0.48536352942928174,0.21572499,0.7950819672131147,0.6902815622161671,0.7426817647146409,97,341,760,25,0.10243128150675106,0.33964488315112545,0.8597217606854515,PC1;PC2;PC3;PC4;rugosity,4
Entacmaea_quadricolor,Host,5,lqh,0.5,block_quadrant,4,1,598,10000,476,7549,122,2451,0.7750750780878999,0.4469905224364763,0.30823432,0.6885245901639344,0.7584659322725418,0.7234952612182382,84,592,1859,38,0.09898283148584489,0.34637090679464067,0.8015037593984963,PC1;PC2;PC3;PC4;rugosity,5
Entacmaea_quadricolor,Host,6,lqh,0.5,block_quadrant,4,2,598,10000,421,6750,177,3250,0.8146327683615819,0.52348370273794,0.21788882,0.864406779661017,0.6590769230769231,0.76174185136897,153,1108,2142,24,0.09220381969558518,0.3234336798812401,0.8315789473684211,PC1;PC2;PC3;PC4;rugosity,6
Entacmaea_quadricolor,Host,7,lqh,0.5,block_quadrant,4,3,598,10000,421,6802,177,3198,0.6649600915826629,0.26418524289545364,0.1907074,0.655367231638418,0.6088180112570356,0.6320926214477268,116,1251,1947,61,0.07892548049063737,0.29425213184438126,0.8330827067669173,PC1;PC2;PC3;PC4;rugosity,7
Entacmaea_quadricolor,Host,8,lqh,0.5,block_quadrant,4,4,598,10000,476,8899,122,1101,0.7486971605544884,0.4325278063161657,0.20193388,0.7377049180327869,0.6948228882833788,0.7162639031580829,90,336,765,32,0.1018814731590172,0.3539748153089248,0.7789473684210527,PC1;PC2;PC3;PC4;rugosity,8
Entacmaea_quadricolor,Host,9,lqh,0.5,block_quadrant,4,1,598,10000,476,7549,122,2451,0.7438165084843256,0.3894629826567946,0.3059095,0.6885245901639344,0.70093839249286,0.6947314913283973,84,733,1718,38,0.1088699550427833,0.3720632260618107,0.9157894736842106,PC1;PC2;PC3;PC4;rugosity,9
Entacmaea_quadricolor,Host,10,lqh,0.5,block_quadrant,4,2,598,10000,421,6750,177,3250,0.7942590178183399,0.4699973924380705,0.18204166,0.8983050847457628,0.5716923076923077,0.7349986962190352,159,1392,1858,18,0.08945547810963085,0.3154078022407991,0.8947368421052632,PC1;PC2;PC3;PC4;rugosity,10
