species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Heteractis_crispa,Host,1,lqh,1.5,block_quadrant,4,1,83,10000,66,8338,17,1662,0.7376831599065619,0.4585899341686135,0.23360731,0.7058823529411765,0.7527075812274369,0.7292949670843067,12,411,1251,5,0.06712898204858163,0.25275808121622323,-0.1623860488381534,PC1;PC2;PC3;PC4;rugosity,1
Heteractis_crispa,Host,2,lqh,1.5,block_quadrant,4,2,83,10000,58,7038,25,2962,0.7848750844024308,0.5151924375422012,0.02264875,1,0.5151924375422012,0.7575962187711006,25,1436,1526,0,0.02780729613350262,0.11171328814756992,-0.22333460083133275,PC1;PC2;PC3;PC4;rugosity,2
Heteractis_crispa,Host,3,lqh,1.5,block_quadrant,4,3,83,10000,58,6197,25,3803,0.9013620825663948,0.7227872732053642,0.47762306,0.92,0.8027872732053641,0.8613936366026821,23,750,3053,2,0.15420271230675384,0.510761852081587,0.32642795207444353,PC1;PC2;PC3;PC4;rugosity,3
Heteractis_crispa,Host,4,lqh,1.5,block_quadrant,4,4,83,10000,67,8427,16,1573,0.7438413858868405,0.4529164017800382,0.19285953,0.6875,0.7654164017800381,0.7264582008900191,11,369,1204,5,0.05629338781150709,0.20474248767816297,-0.22333460083133275,PC1;PC2;PC3;PC4;rugosity,4
Heteractis_crispa,Host,5,lqh,1.5,block_quadrant,4,1,83,10000,66,8338,17,1662,0.75,0.5046365116443687,0.22126117,0.8235294117647058,0.681107099879663,0.7523182558221844,14,530,1132,3,0.0760661095074207,0.28008560951428374,-0.02207189013334123,PC1;PC2;PC3;PC4;rugosity,5
Heteractis_crispa,Host,6,lqh,1.5,block_quadrant,4,2,83,10000,58,7038,25,2962,0.772424037812289,0.5653342336259284,0.14735440000000002,0.96,0.6053342336259284,0.7826671168129642,24,1169,1793,1,0.06066274585224646,0.23729298979338065,-0.26801580876200076,PC1;PC2;PC3;PC4;rugosity,6
Heteractis_crispa,Host,7,lqh,1.5,block_quadrant,4,3,83,10000,58,6197,25,3803,0.912500657375756,0.701688140941362,0.40982453,0.84,0.861688140941362,0.850844070470681,21,526,3277,4,0.08701848003388522,0.30101152749685656,0.6858051577145314,PC1;PC2;PC3;PC4;rugosity,7
Heteractis_crispa,Host,8,lqh,1.5,block_quadrant,4,4,83,10000,67,8427,16,1573,0.7465034965034965,0.4721869040050857,0.23646106,0.75,0.7221869040050858,0.7360934520025428,12,437,1136,4,0.07688338226252826,0.27050889445910214,0.00768528500427064,PC1;PC2;PC3;PC4;rugosity,8
Heteractis_crispa,Host,9,lqh,1.5,block_quadrant,4,1,83,10000,66,8338,17,1662,0.736656756565442,0.4387343385007432,0.21421945,0.7058823529411765,0.7328519855595668,0.7193671692503716,12,444,1218,5,0.06209355382856173,0.2304267521809894,-0.27748423064059297,PC1;PC2;PC3;PC4;rugosity,9
Heteractis_crispa,Host,10,lqh,1.5,block_quadrant,4,2,83,10000,58,7038,25,2962,0.8163268062120189,0.5825523295070898,0.18531219,0.96,0.6225523295070898,0.7912761647535449,24,1118,1844,1,0.05981222472352864,0.24295924380069803,0.0745738202154982,PC1;PC2;PC3;PC4;rugosity,10
