species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Heteractis_magnifica,Host,1,lqh,0.5,block_quadrant,4,1,160,10000,140,9408,20,592,0.686402027027027,0.34594594594594597,0.18351941,0.65,0.6959459459459459,0.672972972972973,13,180,412,7,0.0622172169619871,0.2448283131067982,0.42151720700481904,PC1;PC2;PC3;PC4;rugosity,1
Heteractis_magnifica,Host,2,lqh,0.5,block_quadrant,4,2,160,10000,100,3629,60,5000,0.75256,0.41566666666666663,0.12427757,0.6166666666666667,0.799,0.7078333333333333,37,1005,3995,23,0.02724446869954846,0.12803479132619397,0.16061066956422393,PC1;PC2;PC3;PC4;rugosity,2
Heteractis_magnifica,Host,3,lqh,0.5,block_quadrant,4,3,160,10000,100,9542,60,458,0.8874636098981077,0.6140465793304222,0.91644724,0.7166666666666667,0.8973799126637555,0.8070232896652111,43,47,411,17,0.38424290780206966,1.0995808033160783,0.7410558088324442,PC1;PC2;PC3;PC4;rugosity,3
Heteractis_magnifica,Host,4,lqh,0.5,block_quadrant,4,4,160,10000,140,7421,20,2579,0.7525009693679721,0.43006979449398974,0.05237812,0.85,0.5800697944939899,0.7150348972469949,17,1083,1496,3,0.02209173968062061,0.10729448861379276,-0.6619398586415441,PC1;PC2;PC3;PC4;rugosity,4
Heteractis_magnifica,Host,5,lqh,0.5,block_quadrant,4,1,160,10000,140,9408,20,592,0.7299831081081081,0.4574324324324324,0.25513097,0.65,0.8074324324324325,0.7287162162162162,13,114,478,7,0.06566203315069218,0.2482578039802077,0.20457302578606928,PC1;PC2;PC3;PC4;rugosity,5
Heteractis_magnifica,Host,6,lqh,0.5,block_quadrant,4,2,160,10000,100,3629,60,5000,0.7499283333333333,0.4148666666666667,0.06302629,0.7166666666666667,0.6982,0.7074333333333334,43,1509,3491,17,0.02415981530703273,0.1097324387927594,-0.15010858167334998,PC1;PC2;PC3;PC4;rugosity,6
Heteractis_magnifica,Host,7,lqh,0.5,block_quadrant,4,3,160,10000,100,9542,60,458,0.8763646288209607,0.6286754002911208,0.86271328,0.8666666666666667,0.7620087336244541,0.8143377001455604,52,109,349,8,0.3612769093029802,1.030797798614831,0.7072620597897172,PC1;PC2;PC3;PC4;rugosity,7
Heteractis_magnifica,Host,8,lqh,0.5,block_quadrant,4,4,160,10000,140,7421,20,2579,0.7639201240791004,0.47462194649088785,0.05088855,0.95,0.5246219464908879,0.7373109732454439,19,1226,1353,1,0.02093914790113825,0.10646944492896716,-0.6178105347321079,PC1;PC2;PC3;PC4;rugosity,8
Heteractis_magnifica,Host,9,lqh,0.5,block_quadrant,4,1,160,10000,140,9408,20,592,0.7317567567567568,0.4070945945945945,0.07779762999999999,1,0.40709459459459457,0.7035472972972973,20,351,241,0,0.05650290368072147,0.2202483246198965,-0.10798575675413516,PC1;PC2;PC3;PC4;rugosity,9
Heteractis_magnifica,Host,10,lqh,0.5,block_quadrant,4,2,160,10000,100,3629,60,5000,0.734935,0.43166666666666664,0.03590177,0.7166666666666667,0.715,0.7158333333333333,43,1425,3575,17,0.01938457391464931,0.08878348281002152,-0.01829440474015731,PC1;PC2;PC3;PC4;rugosity,10
