species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Heteractis_malu,Host,1,h,1.5,block_quadrant,4,2,24,10000,16,9190,8,810,0.8938271604938272,0.6524691358024692,0.55996388,0.75,0.9024691358024692,0.8262345679012346,6,79,731,2,0.2147218202279764,0.6164690925307236,0.5539340962097754,PC1;PC2;PC3;PC4;rugosity,1
Heteractis_malu,Host,2,h,1.5,block_quadrant,4,3,24,10000,16,2482,8,5000,0.578025,0.25119999999999987,0.10427037,0.875,0.3762,0.6255999999999999,7,3119,1881,1,0.06215816474489751,0.24202001996254935,-0.599755768409162,PC1;PC2;PC3;PC4;rugosity,2
Heteractis_malu,Host,3,h,1.5,block_quadrant,4,2,24,10000,16,9190,8,810,0.9120370370370372,0.765432098765432,0.33828375,1,0.7654320987654321,0.882716049382716,8,190,620,0,0.10108397351721364,0.35099426143678186,0.44269725687428774,PC1;PC2;PC3;PC4;rugosity,3
Heteractis_malu,Host,4,h,1.5,block_quadrant,4,3,24,10000,16,2482,8,5000,0.532625,0.23560000000000003,0.12104923,0.625,0.6106,0.6178,5,1947,3053,3,0.03675337081771308,0.16510284167742398,-0.7035724261037788,PC1;PC2;PC3;PC4;rugosity,4
Heteractis_malu,Host,5,h,1.5,block_quadrant,4,2,24,10000,16,9190,8,810,0.8174382716049383,0.5067901234567902,0.44236596,0.75,0.7567901234567901,0.7533950617283951,6,197,613,2,0.17231248510436037,0.5288132272480647,0.31798644576475454,PC1;PC2;PC3;PC4;rugosity,5
Heteractis_malu,Host,6,h,1.5,block_quadrant,4,3,24,10000,16,2482,8,5000,0.513,0.1876,0.1871648,0.625,0.5626,0.5938,5,2187,2813,3,0.08089425565087854,0.27846355672363904,-0.5699255595678122,PC1;PC2;PC3;PC4;rugosity,6
Heteractis_malu,Host,7,h,1.5,block_quadrant,4,2,24,10000,16,9190,8,810,0.8819444444444444,0.7049382716049384,0.41044918,1,0.7049382716049383,0.8524691358024692,8,239,571,0,0.15483583092119252,0.4870545386688096,0.4722422092255505,PC1;PC2;PC3;PC4;rugosity,7
Heteractis_malu,Host,8,h,1.5,block_quadrant,4,3,24,10000,16,2482,8,5000,0.553225,0.29400000000000004,0.30348247,0.625,0.669,0.647,5,1655,3345,3,0.08478102251188857,0.28700723942705947,-0.3744997379247318,PC1;PC2;PC3;PC4;rugosity,8
Heteractis_malu,Host,9,h,1.5,block_quadrant,4,2,24,10000,16,9190,8,810,0.908641975308642,0.7021604938271606,0.49087511,0.875,0.8271604938271605,0.8510802469135803,7,140,670,1,0.1291307328155062,0.4119751884714914,0.4959340588854741,PC1;PC2;PC3;PC4;rugosity,9
Heteractis_malu,Host,10,h,1.5,block_quadrant,4,3,24,10000,16,2482,8,5000,0.5523875,0.24659999999999993,0.12000635,0.75,0.4966,0.6233,6,2517,2483,2,0.06877110090189992,0.24751977013679455,-0.4319724699824877,PC1;PC2;PC3;PC4;rugosity,10
