species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed
Stichodactyla_gigantea,Host,1,lqh,1.5,block_quadrant,4,1,106,10000,86,7935,20,2065,0.7349636803874092,0.44019370460048446,0.33383229000000003,0.8,0.6401937046004843,0.7200968523002422,16,743,1322,4,0.12753828177821952,0.4168631785062219,0.22860171923817713,PC1;PC2;PC3;PC4;rugosity,1
Stichodactyla_gigantea,Host,2,lqh,1.5,block_quadrant,4,2,106,10000,73,7401,33,2599,0.8288735760840417,0.5889677848123402,0.19671766,0.9090909090909092,0.6798768757214313,0.7944838924061701,30,832,1767,3,0.05670783300272444,0.2311594282274897,0.6159533231021661,PC1;PC2;PC3;PC4;rugosity,2
Stichodactyla_gigantea,Host,3,lqh,1.5,block_quadrant,4,3,106,10000,73,5858,33,4142,0.619507484307098,0.296321495983495,0.27694051000000003,0.7272727272727273,0.5690487687107677,0.6481607479917475,24,1785,2357,9,0.16784844679074137,0.5153847280426086,0.092076127279851,PC1;PC2;PC3;PC4;rugosity,3
Stichodactyla_gigantea,Host,4,lqh,1.5,block_quadrant,4,4,106,10000,86,8806,20,1194,0.7545644891122278,0.4077889447236181,0.18174531,0.85,0.5577889447236181,0.703894472361809,17,528,666,3,0.11091707235223576,0.36203732948142225,0.5267313419498616,PC1;PC2;PC3;PC4;rugosity,4
Stichodactyla_gigantea,Host,5,lqh,1.5,block_quadrant,4,1,106,10000,86,7935,20,2065,0.6995641646489104,0.39697336561743346,0.18170271,0.75,0.6469733656174335,0.6984866828087167,15,729,1336,5,0.06932887105093373,0.2582044037027439,-0.3105830254477303,PC1;PC2;PC3;PC4;rugosity,5
Stichodactyla_gigantea,Host,6,lqh,1.5,block_quadrant,4,2,106,10000,73,7401,33,2599,0.8072452108619865,0.5087387923093964,0.25865857000000003,0.8484848484848485,0.6602539438245479,0.7543693961546982,28,883,1716,5,0.0836383689651597,0.3108182464740821,0.4681052061195134,PC1;PC2;PC3;PC4;rugosity,6
Stichodactyla_gigantea,Host,7,lqh,1.5,block_quadrant,4,3,106,10000,73,5858,33,4142,0.6125865121519395,0.3151529783591589,0.24077558,0.7272727272727273,0.5878802510864317,0.6575764891795794,24,1707,2435,9,0.17451226184029722,0.5586943121023085,-0.02490583770684494,PC1;PC2;PC3;PC4;rugosity,7
Stichodactyla_gigantea,Host,8,lqh,1.5,block_quadrant,4,4,106,10000,86,8806,20,1194,0.7834170854271357,0.4689279731993299,0.21464329,0.85,0.61892797319933,0.7344639865996649,17,455,739,3,0.10661216057694356,0.3501173084237164,0.26877647702669144,PC1;PC2;PC3;PC4;rugosity,8
Stichodactyla_gigantea,Host,9,lqh,1.5,block_quadrant,4,1,106,10000,86,7935,20,2065,0.7225423728813559,0.4065375302663438,0.22691846,0.9,0.5065375302663438,0.7032687651331719,18,1019,1046,2,0.09742858741202946,0.3387291414872765,-0.12773453788554642,PC1;PC2;PC3;PC4;rugosity,9
Stichodactyla_gigantea,Host,10,lqh,1.5,block_quadrant,4,2,106,10000,73,7401,33,2599,0.739095456294379,0.4176431494630801,0.20037013,0.8181818181818182,0.599461331281262,0.7088215747315401,27,1041,1558,6,0.06938341888582253,0.2679397906840245,0.173729729043268,PC1;PC2;PC3;PC4;rugosity,10
