x,y,species
132.067,-11.183,Amphiprion_rubrocinctus
130.8,-12.45,Amphiprion_rubrocinctus
130.818,-12.418,Amphiprion_rubrocinctus
124.30194,-16.08333,Amphiprion_rubrocinctus
124.46417,-16.10972,Amphiprion_rubrocinctus
122.08333,-16.85,Amphiprion_rubrocinctus
130.733001709,-12.3830003738,Amphiprion_rubrocinctus
130.427,-12.523,Amphiprion_rubrocinctus
124.48389,-16.06861,Amphiprion_rubrocinctus
123.11667,-16.4,Amphiprion_rubrocinctus
124.21694,-15.33083,Amphiprion_rubrocinctus
123.18333,-16.41667,Amphiprion_rubrocinctus
123.35305,-15.71111,Amphiprion_rubrocinctus
123.5,-16.26667,Amphiprion_rubrocinctus
132.183,-11.25,Amphiprion_rubrocinctus
124.52166,-15.99138,Amphiprion_rubrocinctus
132,-11,Amphiprion_rubrocinctus
123.53333,-15.35,Amphiprion_rubrocinctus
114.67873,-21.62565,Amphiprion_rubrocinctus
116.6,-20.46667,Amphiprion_rubrocinctus
136.45,-13.8,Amphiprion_rubrocinctus
132.167,-11.217,Amphiprion_rubrocinctus
124.53694,-16.03,Amphiprion_rubrocinctus
113.95,-21.91667,Amphiprion_rubrocinctus
135.55,-12.033,Amphiprion_rubrocinctus
115.533,-20.4,Amphiprion_rubrocinctus
123.6,-16.13333,Amphiprion_rubrocinctus
124.17315,-16.01442,Amphiprion_rubrocinctus
122.233,-17.967,Amphiprion_rubrocinctus
123.19351,-15.52833,Amphiprion_rubrocinctus
124.41667,-15.53333,Amphiprion_rubrocinctus
130.85,-12.517,Amphiprion_rubrocinctus
131.483,-11.616,Amphiprion_rubrocinctus
132.05,-11.2,Amphiprion_rubrocinctus
123.4,-16.06666,Amphiprion_rubrocinctus
116.58333,-20.48333,Amphiprion_rubrocinctus
122.16667,-17.96667,Amphiprion_rubrocinctus
126.75,-13.75,Amphiprion_rubrocinctus
113.93949,-21.95183,Amphiprion_rubrocinctus
130.876,-12.554,Amphiprion_rubrocinctus
131,-12.15,Amphiprion_rubrocinctus
132.083,-11.067,Amphiprion_rubrocinctus
123.37167,-15.615,Amphiprion_rubrocinctus
123.33333,-16.15,Amphiprion_rubrocinctus
124.08333,-16.11667,Amphiprion_rubrocinctus
114.33333,-21.68333,Amphiprion_rubrocinctus
126.33333,-13.98333,Amphiprion_rubrocinctus
132.817,-11,Amphiprion_rubrocinctus
124.71667,-14.88333,Amphiprion_rubrocinctus
124.42778,-16.07777,Amphiprion_rubrocinctus
113.91066,-22.03736,Amphiprion_rubrocinctus
124.06667,-15.91667,Amphiprion_rubrocinctus
123.45,-16.08333,Amphiprion_rubrocinctus
131.967,-11.167,Amphiprion_rubrocinctus
124.16667,-15.28333,Amphiprion_rubrocinctus
113.8,-23.48333,Amphiprion_rubrocinctus
124.27472,-16.24027,Amphiprion_rubrocinctus
123.46667,-16.16667,Amphiprion_rubrocinctus
126.96667,-13.75,Amphiprion_rubrocinctus
113.75875,-23.16108,Amphiprion_rubrocinctus
113.844674,-22.191736,Amphiprion_rubrocinctus
113.888804,-22.096958,Amphiprion_rubrocinctus
113.553517,-22.636117,Amphiprion_rubrocinctus
113.884215,-22.100722,Amphiprion_rubrocinctus
113.867301,-22.15022,Amphiprion_rubrocinctus
113.754133,-23.144084,Amphiprion_rubrocinctus
113.944741,-21.932195,Amphiprion_rubrocinctus
122.213601,-18.005618,Amphiprion_rubrocinctus
116.788847,-20.583566,Amphiprion_rubrocinctus
114.179515,-21.828412,Amphiprion_rubrocinctus
130.844702,-12.378861,Amphiprion_rubrocinctus
113.70905,-23.091884,Amphiprion_rubrocinctus
113.685652,-23.022704,Amphiprion_rubrocinctus
113.795341,-22.724808,Amphiprion_rubrocinctus
131.088,-12.056,Amphiprion_rubrocinctus
113.662237,-22.605406,Amphiprion_rubrocinctus
113.618394,-22.643408,Amphiprion_rubrocinctus
135.6048,-11.9448,Amphiprion_rubrocinctus
136.4498,-13.6815,Amphiprion_rubrocinctus
115.5655,-20.3876,Amphiprion_rubrocinctus
115.5087,-20.366,Amphiprion_rubrocinctus
115.5508,-20.4599,Amphiprion_rubrocinctus
115.4629,-20.951,Amphiprion_rubrocinctus
113.7822,-23.3216,Amphiprion_rubrocinctus
114.15813,-21.86971,Amphiprion_rubrocinctus
123.0351,-16.3965,Amphiprion_rubrocinctus
123.0512,-16.436,Amphiprion_rubrocinctus
114.139151,-21.751943,Amphiprion_rubrocinctus
114.169461,-22.058662000000002,Amphiprion_rubrocinctus
130.89111,-12.3275,Amphiprion_rubrocinctus
114.97861,-21.4525,Amphiprion_rubrocinctus
113.746819,-23.12952,Amphiprion_rubrocinctus
123.358889,-16.053056,Amphiprion_rubrocinctus
